name,album,artist,id,release_date,popularity,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Dil Dhadakne Do,Dil Dhadakne Do,"Priyanka Chopra, Farhan Akhtar",3MzNYNwL7I4dhG4sa1VkK1,2015-05-02,43,60000,80.35714285714286,0.00101860116632,0.2406369076053146,1.0,0.0,1.0,-13.680996,0.084389456,0.2469816347113625,10,0,7
Pehli Baar,Dil Dhadakne Do,"Sukriti Kakar, Siddharth Mahadevan",39GcR1iJpR2RX629O0zuW5,2015-05-02,52,60000,125.0,0.0008865530157376,0.190419706635487,1.0,0.1447884142398834,1.0,-12.577085,0.071169175,0.2261235113331043,2,1,7
Gallan Goodiyaan,Dil Dhadakne Do,"Yashita Sharma, Manish Kumar Tipu, Farhan Akhtar, Shankar Mahadevan, Sukhwinder Singh",7hNYvX0qAKrxtVr1jGDmvR,2015-05-02,69,60000,119.6808510638298,0.0009040874005787,0.2742537611369089,1.0,0.0,1.0,-16.109646,0.09462491,0.2746674843304615,2,1,7
Girls Like To Swing,Dil Dhadakne Do,Sunidhi Chauhan,5JlZLXvZBEFD9u8OoJq6Yh,2015-05-02,46,60000,125.0,0.0008927844190075,0.2724151123133665,1.0,0.0130704566836357,1.0,-13.622675,0.08577543,0.3417611217753116,11,1,7
Phir Bhi Yeh Zindagi,Dil Dhadakne Do,"Farhan Akhtar, Vishal Dadlani, Divya Kumar, Alyssa Mendonsa, Sapna Pathak",3W21d8rM1wWjGuQevNYAl4,2015-05-02,35,60000,156.25,0.0012693727584915,0.2065947824553412,1.0,0.0,1.0,-15.657858,0.09690772,0.3486230102278392,1,0,7
Matargashti,Tamasha,Mohit Chauhan,5GeBgck1MU2tlIkMpsn8uT,2015-10-16,69,60000,100.44642857142856,0.0009906037369286,0.2409476162571098,1.0,0.0,1.0,-14.745060920715332,0.0892958119511604,0.2721277750399369,4,1,7
Heer Toh Badi Sad Hai,Tamasha,Mika Singh,7hhuXHAyn4egzc3do1Oiqe,2015-10-16,50,60000,90.7258064516129,0.0007357954433876,0.2797571230392374,1.0,0.0,1.0,-13.90285301208496,0.096730537712574,0.3505751734183762,7,1,7
Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh",3hkC9EHFZNQPXrtl8WPHnX,2015-10-16,74,60000,122.28260869565216,0.0012692223065917,0.1338911276884109,1.0,0.0428490117192268,1.0,-17.41440773010254,0.0960864499211311,0.1716192854460952,3,0,7
Wat Wat Wat,Tamasha,"Arijit Singh, Shashwat Singh",56QlBs4D15jQWukc0hLCDI,2015-10-16,54,60000,152.02702702702703,0.0010003430491799,0.2897401573053679,1.0,0.0,1.0,-14.338104248046877,0.0898598805069923,0.2694179390616666,2,1,7
Chali Kahani,Tamasha,"Sukhwinder Singh, Haricharan, Haripriya",3UTOTYn9nfA4Rfb4r9KWvi,2015-10-16,41,60000,156.25,0.001711876900416,0.2109112893818876,1.0,0.0,1.0,-20.14309883117676,0.1179502978920936,0.2349337813055888,11,1,7
Safarnama,Tamasha,Lucky Ali,6w458kA8WOAIZr1ublxnK9,2015-10-16,64,60000,119.6808510638298,0.001136984674305,0.1532318733614024,1.0,0.0,1.0,-18.151058197021484,0.09245515614748,0.1876666849906551,9,1,7
Parade De La Bastille,Tamasha,A.R. Rahman,53MF9dsgeuCmGNk4YlGAts,2015-10-16,36,60000,108.17307692307692,0.0010114236758782,0.175352506776573,0.6674352288246155,0.0563096329569816,1.0,-26.074369430541992,0.1027148067951202,0.2719358548955231,9,1,7
Wat Wat (Vengeance Mix),Tamasha,"Shashwat Singh, Pravin Mani, Hari Dafusia",2sxGB64lUiTzmY9dvZ6X3k,2015-10-16,31,60000,140.625,0.0012066120444401,0.4490963759220582,1.0,0.0,1.0,-12.968342781066896,0.0828583687543869,0.4384312248342042,2,1,7
Tu Koi Aur Hai,Tamasha,"A.R. Rahman, Alma Ferovic, Arjun Chandy",05M69jsBSxzHsXjQhxACe2,2015-10-16,42,60000,156.25,0.0015459087794821,0.1898139115546125,0.888860821723938,0.0051433048211038,1.0,-23.508281707763672,0.091194100677967,0.2185437256281382,0,1,7
Selfie Le Le Re,Bajrangi Bhaijaan,"Pritam, Vishal Dadlani, Nakash Aziz, Badshah, Mayur Puri",0Zz7AEZfBKP2U7sO0WJKER,2015-07-07,49,60000,130.8139534883721,0.0010543469324051,0.3121207271485069,1.0,0.0,1.0,-15.270188331604004,0.09122084826231,0.2906115286503111,11,1,7
Tu Chahiye,Bajrangi Bhaijaan,"Pritam, Atif Aslam, Amitabh Bhattacharya",3aaiAWCet6sbfOfLSn3g7i,2015-07-07,71,60000,133.92857142857142,0.0014079741696488,0.179858216178235,1.0,0.0,1.0,-18.54312896728516,0.0939332470297813,0.2089417139912289,7,1,7
Aaj Ki Party,Bajrangi Bhaijaan,"Pritam, Mika Singh, Shabbir Ahmed",1vmQPVE7vbgSZ12C8MlKX8,2015-07-07,49,60000,137.1951219512195,0.0010466574009845,0.3406325854570298,1.0,0.0889197140932083,1.0,-20.63072395324707,0.0911090224981308,0.3393998449523202,10,0,7
Bhar Do Jholi Meri,Bajrangi Bhaijaan,"Pritam, Adnan Sami, Kausar Munir",52qnHAlqWpo3kgEteAPjRf,2015-07-07,63,60000,110.29411764705884,0.0015674245858619,0.2341836277717294,1.0,0.0032121923286467,1.0,-19.40040779113769,0.1053155809640884,0.3202967312229903,9,1,7
Chicken Kuk-Doo-Koo,Bajrangi Bhaijaan,"Pritam, Mohit Chauhan, Palak Muchhal, Mayur Puri",1DUoaxHClMTqzTZCTcF61z,2015-07-07,44,60000,122.28260869565216,0.0009197960111319,0.29824255201853,1.0,0.0,1.0,-17.791622161865234,0.1009273305535316,0.3268343783907688,9,1,7
Zindagi Kuch Toh Bata (Reprise),Bajrangi Bhaijaan,"Pritam, Jubin Nautiyal, Neelesh Misra",6TGX01ExmdHyOG72fqUU3Q,2015-07-07,67,60000,125.0,0.0013590910073848,0.130181717694632,1.0,0.0263317562639713,1.0,-23.336349487304688,0.093555748462677,0.1727866489976122,9,1,7
Tu Jo Mila,Bajrangi Bhaijaan,"Pritam, KK, Kausar Munir",7txLCGOXyDlDXTjtR1Sk4v,2015-07-07,66,60000,125.0,0.0018634200791365,0.1435504347838161,1.0,0.0,1.0,-21.976524353027344,0.093809075653553,0.1493207355171492,7,1,7
Bhar Do Jholi Meri (Reprise),Bajrangi Bhaijaan,"Pritam, Imran Aziz Mian, Kausar Munir",6uW0tsv1DhwY3NvduQho0z,2015-07-07,38,60000,110.29411764705884,0.0014307738585435,0.2289202405683434,1.0,0.0056721596047282,1.0,-17.65504264831543,0.1072468906641006,0.2543108477049521,6,0,7
Tu Jo Mila (Dekhna Na Mud Ke),Bajrangi Bhaijaan,"Pritam, Javed Ali, Kausar Munir",7bpd5E3dqChouEvpNKwile,2015-07-07,41,60000,125.0,0.0019377324460116,0.1146328326353092,1.0,0.0,1.0,-21.95456886291504,0.0962560176849365,0.1513217268077027,7,1,7
Zindagi Kuch Toh Bata,Bajrangi Bhaijaan,"Pritam, Rahat Fateh Ali Khan, Rekha Bhardwaj, Neelesh Misra",62VUSRdvSo53fRsfveton5,2015-07-07,52,60000,125.0,0.0013590910073848,0.130181717694632,1.0,0.0263317562639713,1.0,-23.336349487304688,0.093555748462677,0.1727866489976122,9,1,7
Tu Jo Mila (Reprise),Bajrangi Bhaijaan,"Pritam, Papon, Kausar Munir",00bOo6r6YhVnxzDu4JhCWX,2015-07-07,46,60000,61.141304347826086,0.001552732824261,0.1625179829141485,1.0,0.0067296004854142,1.0,-17.696918487548828,0.0890710353851318,0.1917109115390642,2,1,7
Gerua,Dilwale (Original Motion Picture Soundtrack),"Pritam, Arijit Singh, Antara Mitra",7iLA6PQeQWRjLDHOJgGpj5,2015-11-17,64,60000,87.890625,0.0012301313578265,0.1963188315132865,1.0,0.0017707975348457,1.0,-21.10240936279297,0.0957752466201782,0.2258439578406122,1,0,7
Manma Emotion Jaage,Dilwale (Original Motion Picture Soundtrack),"Pritam, Amit Mishra, Anushka Manchanda, Antara Mitra",6emsLWJ2bu8vCP7BslV76d,2015-11-17,55,60000,102.27272727272728,0.0010638498403254,0.3786115107314254,1.0,0.0103341499343514,1.0,-14.262839317321776,0.0949735343456268,0.3976549670489663,0,1,7
Janam Janam,Dilwale (Original Motion Picture Soundtrack),"Pritam, Arijit Singh, Antara Mitra",4km0RUkMMFdx8iDuq36o2w,2015-11-17,71,60000,87.890625,0.0012435061828396,0.2035462792725737,1.0,0.0065693333745002,1.0,-16.70383071899414,0.0930770859122276,0.306452583517545,6,0,7
Tukur Tukur,Dilwale (Original Motion Picture Soundtrack),"Pritam, Arijit Singh, Neha Kakkar, Kanika Kapoor, Siddharth Mahadevan, Nakash Aziz",5swv4r5dYNHhsL54jGqmn8,2015-11-17,60,60000,137.1951219512195,0.0009996986036878,0.3523088950853181,1.0,0.0050396253354847,1.0,-15.909638404846191,0.0909919738769531,0.3769211703389225,3,0,7
Daayre,Dilwale (Original Motion Picture Soundtrack),"Pritam, Arijit Singh",0OQzbOu5JGo2LgtwJI04zO,2015-11-17,59,60000,76.01351351351352,0.0010294326715988,0.1540663604248133,1.0,0.0,1.0,-15.255138397216797,0.0859927237033844,0.196684855776916,6,0,7
Premika,Dilwale (Original Motion Picture Soundtrack),"Pritam, Benny Dayal, Kanika Kapoor",3pHPp1FnboJDh8HRCGrj9i,2015-11-17,42,60000,130.8139534883721,0.000796146361758,0.2828932842494667,1.0,0.0,1.0,-14.30712604522705,0.0863342657685279,0.3279827833058067,2,1,7
Theme of Dilwale - DJ Chetas Mix,Dilwale (Original Motion Picture Soundtrack),"Pritam, Arijit Singh",19ek2TMXTpXhjn7xkdNAAJ,2015-11-17,36,60000,175.78125,0.0010936540330011,0.2669781448575808,1.0,0.0,1.0,-17.364320755004883,0.097700260579586,0.2157983961931239,1,0,7
Bangaari Pori,Bajirao Mastani (Original Motion Picture Soundtrack),"Shreya Ghoshal, Deepti Rege, Archana Gore, Pragati Joshi, Mujtaba Aziz Naza, Farhan Sabri, Altamash Faridi, Shashi Suman, Shreyas Puranik",5eoJGYHu1bbSuaFuaNbhoD,2015-12-15,19,60000,95.33898305084746,0.0011182580286449,0.3758437736069143,1.0,0.0,1.0,-18.304229736328125,0.0946842357516288,0.3384904331666463,6,0,7
Edhalo Ninne,Bajirao Mastani (Original Motion Picture Soundtrack),"Vijay Prakash, Arun Ingle, Kaustubh Datar, Mani Iyer, Shashi Suman",4HhfeRUFAUXvIZniS99My0,2015-12-15,8,60000,95.33898305084746,0.0011469941363304,0.216472366718139,1.0,0.0265011005103588,1.0,-17.38435935974121,0.0945366248488426,0.2234238113011209,2,1,7
Gajanana,Bajirao Mastani (Original Motion Picture Soundtrack),"Divya Kumar, Arun Ingle, Kaustubh Datar, Mani Iyer, Deepti Rege, Archana Gore, Pragati Joshi",6eyzYYlbnfy05QyV5keXxH,2015-12-15,31,60000,125.0,0.0012172300867805,0.1980594074942232,1.0,0.0329315401613712,1.0,-14.650915145874023,0.1004740074276924,0.2797634325761438,5,1,7
Jayabheri,Bajirao Mastani (Original Motion Picture Soundtrack),"Payal Dev, Shashi Suman, Kunal Pandit, Prithvi Gandharv, Rashi Rraga, Geetikka Manjrekar, Kanika Joshi",3feSQb6hhcCrPgbXWp19v1,2015-12-15,15,60000,104.16666666666669,0.0013705551989836,0.4652376035926946,1.0,0.0,1.0,-19.514780044555664,0.0866498947143554,0.3721228609510855,8,0,7
Mahalinga,Bajirao Mastani (Original Motion Picture Soundtrack),"Divya Kumar, Mani Iyer, Arun Ingle, Kaustubh Datar",2sI0Dj35MVQfGP54A71k3e,2015-12-15,20,60000,77.05479452054794,0.0010586355526124,0.4379568632243156,1.0,0.0,1.0,-14.74082088470459,0.0905449762940406,0.2889836670233571,11,1,7
Mastani,Bajirao Mastani (Original Motion Picture Soundtrack),"Shreya Ghoshal, Deepti Rege, Archana Gore, Pragati Joshi, Mujtaba Aziz Naza, Farhan Sabri, Altamash Faridi, Shashi Suman, Shreyas Puranik",6RryZfgsHHcnFwYuqzJRPH,2015-12-15,30,60000,98.6842105263158,0.0011921381655159,0.3476782079019285,1.0,0.0,1.0,-15.65201187133789,0.0929601117968559,0.3494206633926489,8,0,7
Meera Chittachora,Bajirao Mastani (Original Motion Picture Soundtrack),"Shreya Ghoshal, Birju Maharaj",7fI1NnvlsVBDnmPbEWcqxb,2015-12-15,13,60000,130.8139534883721,0.0012683789272844,0.3705543493656683,1.0,0.0,1.0,-18.940671920776367,0.0894650593400001,0.3212970382620725,7,1,7
Naato Mukha Mukhi,Bajirao Mastani (Original Motion Picture Soundtrack),"Javed Ali, Mani Iyer, Arun Ingle, Shreyas Puranik, Shashi Suman",5GKY89cAj3vcBtuGZEyNu6,2015-12-15,11,60000,114.79591836734694,0.0012130913513494,0.1890970251122022,1.0,0.0,1.0,-18.269067764282227,0.1070802211761474,0.2562019060358139,3,0,7
