Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Ugramm,21-02-2014,Kannada,Sriimurali,Hariprriya,Ravi Basrur,"Shivarudra Lingaiah, an MLA candidate, who along with Dheeraj, is awaiting to extract vengeance upon Prabhakar by killing his Daughter Nithya. She arrives at Bangalore to Talagavara to visit her late mother's grave and is kidnapped by Dheeraj's gang on the way. Agastya is an automobile mechanic, who saves her from Dheeraj's gang. He takes her to his house for safeguarding as advised by Prabhakar's family-friend, Vishwa.",6.7,0.8822
Adhyaksha,15-08-2014,Kannada,Sharan,Hebah Patel,Arjun Janya,"Adhyaksha is a 2014 Indian Kannada language comedy film directed by Nanda Kishore. It stars Sharan, Heeba Patel, P. Ravi Shankar, Malavika Avinash, Chikkanna and Ramesh Bhat. It is a remake of the Tamil film Varuthapadatha Valibar Sangam.  The music for the film and soundtracks were composed by Arjun Janya.",3.5,0.9449
Power,28-08-2014,Kannada,Puneeth Rajkumar,Trisha Krishnan,S. Thaman,"A politician slips into coma after being attacked by criminals. He wakes up several years later to find his son having taken up his responsibilities. However, things are not what they seem to be.",4,0.7344
Ninnindale,16-01-2014,Kannada,Puneeth Rajkumar,Erica Fernandes,Mani Sharma,Vicky Venkatesh ( Puneeth Rajkumar) is an adventure enthusiast based in New York. He's tried everything from sky diving to rock climbing. Pramila (Erica Fernandes) comes to New York in ...,6,0.5226
Thirupathi Express,05-09-2014,Kannada,Sumanth Shailendra,Kriti Kharbanda,Arjun Janya,"Thirupathi Express' is a clean fun-filled family entertainer, starring Sumanth Shailendra and Kriti Kharbanda in the lead roles. . The film is a travel love story. The family of Sumanth is bound to Tirupathi, while on the journey he meets many characters, turning out to be a roller coaster ride of adventure. What happens when he misses the train, forms the crux of the story.",2,0.4871
Ulidavaru Kandanthe,28-03-2014,Kannada,Rakshit Shetty,Tara,B. Ajaneesh Loknath,"Malpe, a small fishing town on the Arabian Coast. Located 6 kms to the west of the temple town, Udupi. Malpe's beaches are washed clean everyday by the sea. The waves ensure that nothing gets left behind on the sands. But then, the waves cannot reach everything. It is the time of the year when Udupi and its surroundings are decked up to celebrate Sri Krishna Janmaashtami. Men and children walk the streets dressed up as characters from mythology. Teams painted as tigers are seen dancing to drum beats all around the town. But violence seems to be brewing in Malpe this Krishna Janmaashtami.",7.8,0.3931
Rangan Style,21-02-2014,Kannada,Pradeep,Bharti Singh,Gurukiran,"Rangan Style is a Kannada Romantic Comedy Drama film written and directed by Prashanth S starring Pradeep and Kannika Tiwari in the lead roles. This film also starring Sudeep in an important guest role and also starring Rekha Das, Sadhu Kokila, Gurukiran, Sharath Lohitashwa, Tabla Nani and others.",0,0.2732
Jai Lalitha,27-06-2014,Kannada,Sharan,Disha Pandey,V. Sridhar,"Jai Lalitha is a remake of Malayalam movie Maya Mohini and it is a comedy entertainer in which, Sharan will be seen in female role thought the movie.  The film starts with a plane accident in which a small child narrowly escapes. He is then looked after by his maternal uncle, and all the family's wealth will be inherited to him. As per their astrologer, in the future he should marriage a girl whose star is Chothi Nakshatra, only then will he prosper in life. The boy grows up to be a young man, who is unsuccessful in anything he does.  He falls in love with the daughter of a wealthy businessman, who is settled in Mumbai. When he gets to know about their relation, he objects. In the meantime a friend of Sharan tries to convince Sharan's uncle about the marriage and the uncle agrees to visit the couple. But then, on the second day of the marriage Sharan's lover leaves him and returns to Mumbai.",0,0.3111
Love Is Poison,20-06-2014,Kannada,Sadhu Kokila,Poonam Pandey,Sai Kiran,,0,0.3202
Drishya,20-06-2014,Kannada,V. Ravichandran,Navya Nair,Ilaiyaraaja,"Rajendra is a family-oriented man and tries to keep them happy. However, when his family commits an accidental crime, he does everything to keep them out of harm's way.",7.3,0.3015
Maanikya,28-03-2014,Kannada,Sudeep,Ranya Rao,Arjun Janya,A village strives to overcome the rivalry between two ancient factions.,5.2,0.2963
