Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Sanju Weds Geetha,04-01-2011,Kannada,Srinagar Kitty,Divya Spandana,Jassie Gift,"Sanju and Geeta are all set to get married. Unfortunately, the day before their wedding Geeta is kidnapped, and Sanju kills the kidnappers, and is sent to the jail. Can Sanju and Geetha ever meet?",0,0.6614
Hudugaru,05-05-2011,Kannada,Puneeth Rajkumar,Abhinaya,V. Harikrishna,The story revolves around three friends who are desperately looking out for suitable job opportunities. Their lives get devastated when they try to unite two lovers.,7.3,0.7822
Kempe Gowda,03-11-2011,Kannada,Sudeep,Ragini Dwivedi,Arjun Janya,An enraged and influential gangster plans the ultimate vengeance against an honest police officer.,5.8,0.4663
Dandam Dashagunam: The Police,04-05-2011,Kannada,Chiranjeevi Sarja,Divya Spandana,V. Harikrishna,"The conscientious policeman ACP Surya is a powerful and efficient officer who works for law and order and protects people. One day when he is chasing criminals, he meets Maya and falls in love with her. He had previously thought that no woman could ever touch his heart again. Therefore he behaves a little awkwardly and cannot find the right words. Maya, on the other hand, soon finds out that he is a police officer. When both find their happiness of love, however, fate wants Surya to kill an Underworld Don named Drug Manja. His angry and extremely dangerous brother Tamate Shiva seeks bloody revenge, and does not stop at the relatives or the lovers of the brave policemen who are involved in the case.",6,0.4612
Shrimathi,07-08-2011,Kannada,Upendra,Priyanka Upendra,Ghantadi Krishna,A 2011 Kannada romantic drama.,0,0.2636
Paramathma,10-05-2011,Kannada,Puneeth Rajkumar,Deepa Sannidhi,V. Harikrishna,The story of Paramathma focus on the philosophy that those who are very close to heart leave us quickly. A section of the society believes this and longevity is cut short by destiny as villain.,6.786,0.1919
Johny Mera Naam Preethi Mera Kaam,06-03-2011,Kannada,Duniya Vijay,Divya Spandana,V. Harikrishna,"Johny, who attempts to solve the problems of the residents of his colony, kidnaps Priya by accident and falls for her. He tries to woo her but soon realises that she loves someone else.",0,0.3096
Lifeu Ishtene,09-09-2011,Kannada,Diganth Manchale,Samyukta Hornad,Mano Murthy,"Vishaal (Diganth) is a careless youngster who does not have any set goals in life. In contrast, his friend Shivu (Neenasam Satish) is serious and advises Vishaal to reform himself. But Vishaal, whose parents allow him a lot of freedom, finds his own way to deal with his love affairs. He falls in love with Nandini (Sindhu Loknath) and wants to marry her. Nandini wants Vishaal to take up a job as it will help her discuss the marriage proposal with her father. He thinks she is the one for him, but only till the point where he has to choose between his music career and her. At this point they break up.  Later Vishaal meets television anchor Rashmi (Samyukta Horanadu) who is ready to marry him but Vishaal realises he wishes to be alone. Meanwhile, his best friend Shivu falls ill and the film ends with both of them video-conferencing about life in general.",8,0.2019
Shyloo,12-10-2011,Kannada,Ganesh,Bhama,Jassie Gift,"A petulant lover escapes prison after learning about an impending marriage between his lady love and a stranger. However, his decision leads to a series of disasters that culminates in a tragedy.",0,0.1526
