Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Drama,11-01-2012,Kannada,Yash,Radhika Pandit,V. Harikrishna,"The film starts in a village in Mandya where two youngsters Venkatesha and Sathish, who have failed their pre-degree courses seven times, create problems. Nandini, an ultra-modern girl comes to the village and attracts Venkatesha, who is prepared to do anything for pleasing the girl. Both Venkatesha and Sathish follow Nandini to Mysore, where she is pursuing studies. A strict principal of the college humiliates Nandini when she crosses the limits. Meanwhile, the principal gets murdered and a police officer suspects Venkatesha and Nandini to be behind this murder. There is a lot of confusion when it is revealed that Nandini is the daughter of a Dubai-based don, who is trying to kill a Mangalore-based don. What happens in the end is revealed in an interesting climax.",6,0.4709
Anna Bond,05-01-2012,Kannada,Puneeth Rajkumar,Nidhi Subbaiah,V. Harikrishna,"While working in a medical camp in Singapore, Bond Ravi falls for Meera. He encounters her again in a village while shooting a documentary only to later rescue her from a drug lord.  The movie revolves around Bond Ravi (Puneeth Rajkumar) and the journey of his sudden recognition by the common public as a vigilante known as Annabond  He is also accompanied by Chapathi Babu (Rangayana Raghu) in his journey and finds love in Meera (Priyamani) along with the wrath of a gangster `Charlie` (Jackie Shroff), and how he manages to balance it all.",6,0.4941
Romeo,07-06-2012,Kannada,Ganesh,Bhavana,Arjun Janya,,0,0.5261
Rambo,09-07-2012,Kannada,Sharan,Madhuri Itagi,Arjun Janya,"Car brokers Kitty and Premkumar come across a vehicle that contains a corpse. Soon, they learn that the body has a pen drive that holds information about a terrorist plot.",3.5,0.3936
Alemari,03-09-2012,Kannada,Yogesh,Radhika Pandit,Arjun Janya,"Alemari (Kannada: ಅಲೆಮಾರಿ) is a 2012 released Kannada romantic action drama film starring Yogesh and Radhika Pandit in the lead roles. The story, screenplay, lyrics and direction is by Santhu. The music of the film was composed by Arjun Janya. B. K. Srinivas has produced the venture under BK Srinivasa Productions. The film released in theatres across Karnataka on 9 March 2012.",6,0.3401
Appu Pappu,06-08-2012,Kannada,Abbas,Rekha Vedavyas,Hamsalekha,,0,0.2543
Katari Veera Surasundarangi,05-10-2012,Kannada,Ambareesh,Divya Spandana,V. Harikrishna,"A man gets killed and finds himself in front of Yama, the god of death. In heaven, when he falls for Lord Indra's daughter, he is promptly sent back to Earth. Now, he sets out to avenge himself.",2,0.3361
Chingari,02-12-2012,Kannada,Darshan Thoogudeepa Srinivas,Sumithra,V. Harikrishna,Officer Parashuram travels to Switzerland to rescue his girlfriend. He only has five days to rescue his girlfriend from her kidnappers.,4,0.3423
Jaanu,06-01-2012,Kannada,Yash,Deepa Sannidhi,V. Harikrishna,"Siddarth helps Rukmini reach home when she runs out of money on a trip. Rukmini's family attacks Siddarth, but welcome him after learning the truth. Both fall in love, but a surprise awaits them.",0,0.2253
Sagar,08-10-2012,Kannada,Prajwal Devaraj,Radhika Pandit,Gurukiran,"Rajasekhara is not willing to get into an arranged marriage and lies that he is in love with a girl called Kajal. But, trouble arrives when Kajal actually turns up and is even followed by a gangster.",0,0.2278
Parijatha,02-10-2012,Kannada,Diganth Manchale,Aindrita Ray,Mano Murthy,"Bhaskar, a lazy youngster, in order to begin his career and marry his love Chandrika, decides to start coaching students. Even after finding success, Chandrika's father does not accept their match.",0,0.0982
