Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Dandupalya 3,02-02-2018,Kannada,Makrand Deshpande,Pooja Gandhi,Arjun Janya,"Director Srinivas Raju’s world of Dandupalya, as seen in the first two films of the series, will finally come to an end. The third film in the series will mark the end of the franchise, which has received a great deal of critical acclaim in both Kannada and Telugu.",0,1.0042
Shivu Paru,06-08-2018,Kannada,America Suresh,Disha Poovaiah,America Suresh,A star-crossed romantic love story of an ill-fated girl Paru who falls in love and eventually get married to a TV anchor Shivu who is coincidentally her lover from the past life who gets killed. Paru kills herself to join her dead husband.,0,0.6035
Victory 2,11-01-2018,Kannada,Sharan,Asmita Sood,Arjun Janya,Viictory 2 movie is romantic comedy entertainer directed by Hari Santhosh and produced by Tarun Shivappa while Arjun Janya scored music for this movie  Sharan and Asmita Sood are played the main lead roles in this movie.,5,0.4804
Katheyondu Shuruvagide,08-03-2018,Kannada,Diganth Manchale,Pooja Devariya,Sachin Warrier,"A young resort owner, Tarun, is going through a rough time and tries to deal with disappointments, failures, and struggles of his life. In the process of doing so, he strikes up a great bond with a resort guest, Tanya. Will this bond help them to find a new meaning of love and life?",7.3,0.4544
Bhairava Geetha,12-07-2018,Kannada,Dhananjay,Kalpalatha,Ravi Shankar,"Set against the backdrop of violent class, a love story of a man who turns into a rebel in a battle between feudal-minded oppressors and the downtrodden.",6,0.3688
Vaasu Naan Pakka Commercial,08-03-2018,Kannada,Anissh,Nishvika Naidu,B. Ajaneesh Loknath,"Vaasu, a young man who falls head over heels in love with Mahalakshmi, however, little does he know that his actions would have adverse repercussions on his family.",3,0.2466
Humble Politician Nograj,01-12-2018,Kannada,Danish Sait,Sumukhi Suresh,Sricharan Pakala,"Nograj, a narcissistic crazy politician who exploits a city and its resources. The film is about Nograj's aspirations to becoming the MLA in the upcoming elections and the opposition he faces.",5.5,0.3938
Brihaspathi,01-05-2018,Kannada,Manoranjan Ravichandran,Mishti Chakravarty,V. Harikrishna,"Sudhir, a graduate who is unemployed for several years, finally lands a job by overcoming various obstacles.",0,0.2296
Jayamahal,04-06-2018,Kannada,Neenasam Ashwath,Shuba Poonja,Judah Sandhy,"A palace in Jayamahal is disowned by a rich family. Three generations later, the family returns back to their ancestral palace and soon experience some unexplainable activities.",0,0.1208
