Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Ekadanta,2007-03-16,Kannada,Vishnuvardhan,Prema,Gurukiran,Ekadhantha revolves around a couple and they don't have child.,0.0,0.4972
Milana,2007-09-14,Kannada,Puneeth Rajkumar,Pooja Gandhi,Mano Murthy,"Hero is in love with a girl who is forced to marry a police officer. Hero is later forced by his parents to marry a girl liked by them. Here starts the trouble again, even she wants a divorce from him. Will hero divorce her or they are happy with each other is the later part of the story",7.3,0.441
Anatharu,2007-09-14,Kannada,Upendra,Sanghavi,Sadhu Kokila,A 2007 Kannada film.,0.0,0.2727
krishna,2007-10-05,Kannada,Ganesh,Pooja Gandhi,V. Harikrishna,A modern revision of the age-old Krishna-Rukmini-Satyabhama epic love story.,0.0,0.3424
Ee Preethi Yeke Bhoomi Melide,2007-12-28,Kannada,Prem,Mallika Sherawat,R. P. Patnaik,,0.0,0.2387
Aa Dinagalu,2007-10-19,Kannada,Chethan Kumar,Archana,Ilaiyaraaja,"Chetan loves Mallika but his father hires an underworld don, Kotwal, to break their relationship. Irked by his father's actions, Chetan approaches Kotwal's rival, Jayaraj, to defeat him.",7.0,0.5359
Soundarya,2007-04-20,Kannada,Ramesh Aravind,Shriya Sharma,Hamsalekha,"Soundarya film is the upper middle class family story who is an industrialist, his wife and daughter are dragged in the mafia land dealings.But he want to lead a peaceful life.mafia threaten the life.Finally, he involves in a criminal action innocently.",0.0,0.1968
Arasu,2007-01-25,Kannada,Puneeth Rajkumar,Divya Spandana,Joshua Sreedhar,"Shivaraj falls in love with his manager's daughter, Shruthi. However, she refuses his proposal and challenges him to first earn Rs 5000 without using any influence. Shruthi makes Shivaraj a better person, and they both fall in love. But Shruthi finds out that her best friend Aishwarya is also in love with Shivaraj so she gives up her love for her best friend. Later when Aishwarya learns about SHruthi too being in love with him, she feels guilty and backs off the relationship. Instead, Shivaraj comes up with a mind baffling situation and he sets up both the girls with two of his friends and he finds another girl for himself.",5.0,0.2821
Hudugaata,2007-06-08,Kannada,Ganesh,Rekha Vedavyas,Jassie Gift,"On a journey to Kanyakumari to interview a sports personality, reporter Balu Mahendar meets a wealthy girl who's in dire need of some help.",0.0,0.232
"#73, Shantinivasa",2007-06-15,Kannada,Sudeep,Vaishali Kasaravalli,Bharathwaj,"When Raghu enters a dysfunctional family as a cook, he clears their misunderstandings and brings the members closer to each other. However, there is more to him than what he shows.",6.0,0.2144
Ee Bandhana,2007-12-21,Kannada,Vishnuvardhan,Jaya Prada,Mano Murthy,"Remake of  Hindi film Bhagban(2003), which itself is an unofficial adaptation of Make Way for Tomorrow (1937). An old couple sacrifices everything so their children live a happy life. However, they are forced to separate and subjected to ill-treatment and disrespect in their children's homes.",2.0,0.1048
Cheluvina Chittara,2007-06-22,Kannada,Ganesh,Amulya,Mano Murthy,"A young schoolgirl, Aishwarya, from a rich local don family falls in love and elopes with a small-time mechanic, Maadesha.",0.0,0.2052
Santa,2007-05-18,Kannada,Shivaraj Kumar,Aarti Chabria,Gurukiran,"Santa is a 2007 Kannada film directed by S. Muralimohan and produced by Vijayakumar and K. P. Srikanth. The film stars Shivaraj Kumar, Aarti Chhabria and Sangliana in lead roles. Music was composed by Gurukiran.",6.0,0.1449
Sathyavan Savithri,2007-12-16,Kannada,Ramesh Aravind,Daisy Bopanna,Gurukiran,"Sathyavan Savithri is a 2007 Kannada film directed by Ramesh Aravind and produced by Ajay Chandani. The film stars Ramesh Aravind, Jennifer Kotwal, Mohan Shankar, and Aniruddh in lead roles. Gurukiran composed the Music.  Sathyavan, a dentist, flirts with women and does not believe in marriage. But when his grandfather decides to donate their ancestral property, Sathyavan reconsiders his decision to get married.",7.0,0.1514
Lava Kusha,2007-12-13,Kannada,Upendra,Charmy Kaur,Gurukiran,"Lava Kusha is a 2007 Kannada film directed by Om Saiprakash. The film stars Upendra, Shivaraj Kumar, Charmi Kaur and Jennifer Kotwal in lead roles. Music was composed by Gurukiran.",0.0,0.2113
