Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Super,12-03-2010,Kannada,Upendra,Nayanthara,V. Harikrishna,"Super (Kannada: ಸೂಪರ್) (originally known only by Vitarka Mudrā hand symbol) is a 2010 Indian multilingual film written and directed by Upendra.  This utopian film garnered extraordinary reception from critics and the general public for its revolutionary concept of a contrasting futuristic India set in the year 2030, and the contemporary image of India.  With the title of the film depicted only by a symbol, it features Upendra and Nayantara in lead roles and is produced by Rockline Venkatesh, while V. Harikrishna has scored the music. Raking in more than Rs 100 million through satellite television and audio rights even before release, it was declared a superhit in Kannada where it grossed a record Rs 25 million in first three days of the opening weekend. The film grossed over 50 crore (US$9.05 million) and has been declared one of the biggest blockbusters of Kannada cinema.",6.15,0.5736
Pancharangi,09-04-2010,Kannada,Pawan Kumar,Nidhi Subbaiah,Mano Murthy,"A family goes to a village near Mangalore to finalize a bride for the elder son, Lucky, played by Pavan Kumar. Lucky is a US-based software professional, and is a teetotaler, always abiding by the pressure and demands of his parents, so much to the fact that he does not have the courage to speak out that he already has a girlfriend. Bharath Kumar, the youngest son, the character played by Diganth, is a carefree individual with weird ideas on life. Bharath meets a tomboyish girl, Ambika, who is the house-owner's niece, and they begin to mingle well due to the nature of their personalities.  However, following a few unusual twists and turns, the alliance is called off and the groom's family members walk out due to embarrassment. Ambika, who has now developed a strong feeling of love towards Bharath, goes ahead and confronts him. And finally, Bharath too says yes.",6.2,0.5206
Aithalakkadi,06-04-2010,Kannada,Rangayana Raghu,Padmaja Rao,Sadhu Kokila,Aithalakkadi is the comedy movie. Rangayana Raghu is playing the role of a director with Bullet Prakash as assistant to him. Neethu as flower seller always dreaming about crazy star V.Ravichandran. Rangayana Raghu role would look at the some of the unique nature of directors but not harm anyone.This is about one of the mad fellow who wants to become a director of a cinema.,0,0.2532
Hendtheer Darbar,07-02-2010,Kannada,Ramesh Aravind,Meena,Sadhu Kokila,"Shivaramu is a married man who leads a miserly life. However, when he loses his government job, he is forced to join a politician's liquor company to fulfil his wife's greed for money.",0,0.1793
Thamassu,06-11-2010,Kannada,Shivaraj Kumar,Padmapriya Janakiraman,Sandeep Chowta,"Thamassu is a journey from violence to humanism. Shankar (Shivaraj Kumar) is a police officer and Shanthi (Padmapriya) is a doctor. They both will marry but soon realize that their ways of thinking is different. Over the course of their confrontations, Shankar begins to question himself and realizes that like terrorists, he also believes in violence. Later how he change himself forms the story.It is a story each one of us goes through. How much of what we think as right, really right? How much of what we do as our duty, really service? Agni Sridhar weaves the story marvellously, touching upon issues of state sponsored religious riots, terrorism and the purity of human relationships which goes beyond all boundaries.",0,0.2026
Cheluveye Ninne Nodalu,08-06-2010,Kannada,Shivaraj Kumar,Sonal Chauhan,V. Harikrishna,"The life of Vishwa, a tourist guide, takes a turn when he meets Prakruthi.",0,0.1443
Modalasala,10-08-2010,Kannada,Yash,Bhama,V. Harikrishna,"A young man named Karthik falls in love with Deepa and decides to propose to her. However, Deepa makes him wait for the approval of her parents, who do not support the union.",0,0.1829
Kanasembo Kudureyaneri,12-10-2010,Kannada,Vaijanath Biradar,Umashree,V. Manohar,"Irya, a gravedigger, believes that someone in the village dies every time he dreams of Siddhas. But things change when no death occurs despite him seeing an ascetic in his dreams. Based on anthology of short stories Savaari by Amaresh Nugadoni.",0,0.1153
Huduga Hudugi,11-12-2010,Kannada,Sammir Dattani,Lekha Washington,Joshua Sreedhar,"When Sonia is asked to work with Sachin, a television anchor, she is reluctant. However, things take a turn when he decides to help her with her problems and she starts developing feelings for him.",0,0.0928
