Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Moggina Manasu,18-07-2008,Kannada,Yash,Radhika Pandit,Mano Murthy,"Moggina Manasu focuses on the confused state of mind of teenage girls and their relationships with boys. It also touches on teenage pregnancy and ragging in colleges, camaraderie with seniors, and teenagers' disrespect towards their parents and studies.",8,0.2924
gaja,11-01-2008,Kannada,Darshan Thoogudeepa Srinivas,Chitra Shenoy,V. Harikrishna,"A cat and mouse chase ensues between Gaja and a rival faction leader over a few startling events. Gaja tries to protect his friend, Krishna, and his lover, Shwetha, who are being targeted.",0,0.2715
Inthi Ninna Preethiya,29-02-2008,Kannada,Srinagar Kitty,Sonu Gowda,Sadhu Kokila,"Rajeev dejected in life, after he is unable to marry his girl Namana hits the bar. Rajeev is married off to parimala, by his brother with a hope that he mends his ways. His struggle with his addiction forms the plot.",9,0.6212
Bindaas,15-02-2008,Kannada,Puneeth Rajkumar,Hansika Motwani,Gurukiran,,4,0.2299
Gaalipata,30-01-2008,Kannada,Ganesh,Daisy Bopanna,V. Harikrishna,"Three friends, Ganesh (Ganesh), Diganth (Diganth) and Kitty (Rajesh Krishnan) come to Mugilupete. Ganesh falls in love with Sowmya (Daisy Bopanna), a widow, staying with her in-laws Kodandaram (Anant Nag) and Padma (Padmaja Rao) while Diganth and Kitty fall for Kodandaram's daughters Radha (Neethoo) and Pavani (Bhavana Rao) respectively.  While Diganth-Radha and Kitty-Pavani get the green signal for marriage, Sowmya is hesitant to accept Ganesh as her life partner. The director shows how Ganesh wins her heart in a unique way.",7.4,0.2764
Satya In Love,29-03-2008,Kannada,Shivaraj Kumar,Genelia D'Souza,Gurukiran,"Satya In Love is a 2008 Kannada film directed by Raghava Loki and produced by Ramesh. The film stars Shivaraj Kumar, Genelia Dsouza, Srinath and Bullet Prakash in lead roles. Music was composed by Gurukiran.",0,0.2078
Minchina Ota,10-07-2008,Kannada,Vijay Raghavendra,Raai Laxmi,V. Manohar,"The Movie deals with Bhadra (Sriimurali) living in a slum,He group has rivalry with another group headed by Vijay (Vijay Raghavendra) a middle class Guy,they Both love a City girl (Raai Laxmi), their rivalry intesifies with the girl choosing bhadra over vijay.",0,0.2515
Gooli,21-03-2008,Kannada,Sudeep,Mamta Mohandas,J Anoop Seelin,A 2008 Indian Kannada-language action film.,0,0.1479
Vamshi,02-10-2008,Kannada,Puneeth Rajkumar,Nikita Thukral,R. P. Patnaik,"An aspiring police officer and trainee Vamshi (Puneeth Rajkumar) is impulsive and aggressive in his ways, with even a little thing unleashing gruesome anger in him. This attitude costs him his dream, as he fails his interview when the panel realizes that he is too compulsive. However, there is a past that warrants for this behavior of his. When he is rejected by the Police academy, he joins his late father`s gang and becomes a goon. This, he doesn`t realize until later, distance him from his mother and lady love. Understanding their importance, when he tries to walk back from the path of violence and immorality, his henchmen do not let him. Will he be able to reform his life for his, and his family`s sake?",6,0.1827
Mr. Garagasa,12-04-2008,Kannada,Anant Nag,Pavitra Lokesh,Manikanth Kadri,"Muniya, a chatterbox, often meets a producer who has several personal problems. However, using ingenious ways, Muniya helps the producer get rid of his personal issues.",0,0.1821
Bhanta,13-09-2008,Kannada,Adi Lokesh,Rupa Sri,Abhiman Roy,"Bhanta is a Kannada drama movie, directed by Vishal Shekar. The cast of Bhanta includes Adi Lokesh, Rupa Sri and Pavan Kumar N R.",8,0.0833
Ganesha Matthe Banda,06-09-2008,Kannada,Vijay Raghavendra,Vinaya Prasad,V. Manohar,"Gayathri and Savithri, with differing outlooks on marriage, marry Shankar and Ganesha. However, Gayathri's reluctance to live with her in-laws and Savithri's obsession with Ganesha creates problems.",0,0.1204
Chaitrada Chandrama,06-09-2008,Kannada,Shobaraj,Amulya,S. Narayan,"Pankaj, a cricket player, falls in love with his classmate, Ammu, and elopes to Kashmir without playing the national level championship. Subsequently, Ammu's father asks Pankaj to prove his worth.",0,0.108
Haage Summane,26-12-2008,Kannada,Kiran Srinivas,Suhasi Dhami,Mano Murthy,"The story revolves around Preetham, who falls in love with Khushi, after reading her diary. However, he soon gets shocked to know that the diary is not hers. How will Preetham deal with this confusion?",0,0.0869
Mussanjemaathu,16-05-2008,Kannada,Sudeep,Divya Spandana,V. Sridhar,"Pradeep, a radio jockey hosts a popular programme ""Mussanjemaathu"" where he listens and offers solutions to people's problems, giving them solace. He is left on the spot when he can't find anyone to talk to about his problems.",6,0.0492
