Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Dia,2020-02-07,Kannada,Dheekshith Shetty,Kushee Ravi,B. Ajaneesh Loknath,"Dia tells the story of a young, introvert girl whose routine life brightens up when she falls for Rohith, one of her fellow college mates. Being an introvert girl and trying to express her love becomes the biggest challenge of her life. This romantic drama will make you lose yourself in the emotional journey of a girl falling in love.",6.2,2.0394
Love Mocktail,2020-01-31,Kannada,Darling Krishna,Milana Nagaraj,Raghu Dixit,"Love Mocktail is a 2020 Indian Kannada-language romantic drama film directed by Krishna in his director debut and jointly produced by Krishna, Milana Nagaraj. The film stars Krishna, Milana Nagaraj in the lead roles. The film was released on 31 January 2020.",6.3,1.5345
Mayabazar 2016,2020-02-28,Kannada,Prakash Raj,Sudharani,Midhun Mukundan,"An honest cop, a conman and a hopeless romantic form an unusual team during the days of demonetisation to pull off a scam. A scam that is bigger than demonetisation, but things go haywire.",4.8,0.5446
Manne No 13,2020-11-26,Kannada,Ramana,Varsha Bollamma,A M Sha,"5 IT professionals staying together vacate their house due to a situation. They move into a new house were they start facing horrific incidents at night. It terrifies them to death. When they are about to find out what's happening, they are getting killed one after another . Now they have to find out if it's really haunted or someone planning the terror.",7.0,0.4645
Shivaji Surathkal: The Case of Ranagiri Rahasya,2020-02-21,Kannada,Ramesh Aravind,Radhika Narayan,Judah Sandhy,"Shivaji Surathkal, who is the Sherlock Holmes of the Karnataka Police Department, is handed over a high-profile case – the murder of the Home Minister's son. This brings him to an eerie resort in Ranagiri, near Madikeri, which seems to throw Shivaji off his game.",6.2,0.357
French Biriyani,2020-07-24,Kannada,Danish Sait,Disha Madan,Vasuki Vaibhav,A French expatriate and an auto driver go on a three-day journey.,5.5,0.2964
Popcorn Monkey Tiger,2020-02-21,Kannada,Dhananjay,Sparsha Rekha,Charan Raj,The story narrates details of two characters Seena and Devika experiencing crime in different phases of life by meeting different people who may make them realize human values and emotions or not.,6.6,0.3388
LAW,2020-07-17,Kannada,Mukhyamantri Chandru,Ragini Chandran,Vasuki Vaibhav,"Nandhini, a law student who is caught in a precarious situation, fights for justice for a gruesome crime involving herself.",2.8,0.3116
ACT-1978,2020-11-20,Kannada,Achyuth Kumar,Yagna Shetty,Ronada Bakkesh,"Geetha, a pregnant widow, goes to a government office as part of her long and continuous ordeal to get money from a government scheme that is hers. What seems to be a normal day of bureaucracy and corruption goes awry when she lands up with a bomb strapped to her stomach.",4.0,0.2971
Bheemasena Nalamaharaja,2020-10-29,Kannada,Aravinnd Iyer,Aarohi Narayan,Charan Raj,"A pinch of love, a dollop of happiness with a scoop of togetherness. Join this cook on a flavorsome journey of love, loss and friendship. When tragedy sizzles through his life, it is to see if he can save the dish and toss a sweet ending.",10.0,0.3181
Khakii,2020-01-24,Kannada,Chiranjeevi Sarja,Tanya Hope,Rithwik Muralidhar,"Khakii is a romantic action drama film written and directed By Naviin Reddy B and produced by Manasa Tarun, Tarun Shivappa under Tarun Talkies banner. The movie cast includes Chirranjeevi Sarja and Tanya Hope are playing the main lead roles while Ritvik Muralidhar scored music.",1.0,0.1293
Gentleman,2020-02-07,Kannada,Prajwal Devaraj,Nishvika Naidu,B. Ajaneesh Loknath,"The film follows the story of a man suffering from a rare disorder called the Sleeping Beauty Syndrome (aka Kleine-Levin syndrome), which leads to excessive sleepiness and leaves him awake for less than five hours a day.",5.0,0.2063
Rudraprayag,2020-04-09,Kannada,Anant Nag,Shraddha Srinath,B. Ajaneesh Loknath,,0.0,0.0793
