Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Madhagaja,12-03-2021,Kannada,Sriimurali,Ashika Ranganath,Ravi Basrur,"Two warring lords are fighting over water and bloodshed. When the wife of one of them decides to send her son away from the land to a safe space, he returns to the same battlefield, much to her exasperation.",3,0.8123
Hero,03-05-2021,Kannada,Rishab Shetty,Ganavi Laxman,B. Ajaneesh Loknath,"A barber decides to kill his ex-girlfriend, who is married to a mafia head. While he comes prepared for this to their residence, he gets stuck in a web of misadventures.",6.2,0.4575
Drishya 2,12-10-2021,Kannada,V. Ravichandran,Asha Sarath,B. Ajaneesh Loknath,"Rajendra Ponnappa, a cinema hall owner, thrives in life but is a changed man. However, when his family gets entangled in a criminal investigation, he must protect them from the legal institution yet again.",0,0.4651
Roberrt,03-11-2021,Kannada,Darshan Thoogudeepa Srinivas,Sonal Monteiro,Arjun Janya,"Raghava lives in Lucknow with his son Arjun and is the head cook in a Brahmin's catering unit. He leads a peaceful existence, wanting the best for his son. All seems to go well, until some skeletons come tumbling out of his closet and he is forced to take on his original avatar.",1,0.4861
Inspector Vikram,02-05-2021,Kannada,Prajwal Devaraj,Bhavana,J Anoop Seelin,"Inspector Vikram is the typical do-gooder cop, who also entertains and ensures no crime is left unsolved. What happens when he gets to meet a villain who is smarter than the average criminal and heads a drug racket?",5,0.3742
Shadow,02-05-2021,Kannada,Vinod Prabhakar,Shobhita Rana,Achu Rajamani,"A man registers a complaint in the police station claiming that his shadow is missing. As the police begin working on the baffling case, he drops a hint on an accident that could have been a murder.",0,0.1449
