Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Kantara Chapter 1,10-02-2025,Kannada,Rishab Shetty,Rukmini Vasanth,B. Ajaneesh Loknath,Prequel to 2022  film Kantara,0,0.5039
Agnyathavasi,04-11-2025,Kannada,Rangayana Raghu,Paavana Gowda,Charan Raj,"In 1997, a rural police inspector leads a simple life until a crime occurs at his quiet village outpost after 25 years. His investigation uncovers long-buried secrets in the town.",0,0.2181
Mr.Rani,02-07-2025,Kannada,Srivatsa Shyam,Parvatii Nair,Judah Sandhy,"Raja dreams of becoming an actor but is forced by his parents to become an engineer. While struggling to become an actor, he accidentally gets a chance to play a girl's role and goes on to become the No. 1 actress.",0,0.1415
