Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Toby,25-08-2023,Kannada,Raj B Shetty,Chaithra J Achar,Midhun Mukundan,An estranged man deemed to be a beast vows to break free from the evil world and transform himself for his foster daughter.,8.3,3.5402
Sapta Sagaradaache Ello – Side A,01-09-2023,Kannada,Rakshit Shetty,Rukmini Vasanth,Charan Raj,"In the heart of 'Sapta Sagaradaache Ello’ (Somewhere Beyond the Seven Seas), resides an ardent love story between Manu and Priya. Set in 2010, the couple hails from a middle-class background. Circumstances land Manu in jail, putting his relationship with Priya in jeopardy.",8.2,1.8823
Sapta Sagaradaache Ello - Side B,17-11-2023,Kannada,Rakshit Shetty,Rukmini Vasanth,Charan Raj,Manu is released from prison and strives to rekindle his love with Priya.,7.4,1.0723
Kaatera,29-12-2023,Kannada,Darshan Thoogudeepa Srinivas,Shruti,V. Harikrishna,"Set against the rustic backdrop of the 1970s, unfolds the tale of farmers confronting challenges that intricately shape the course of their lives.",6.7,0.8239
Kranti,26-01-2023,Kannada,Darshan Thoogudeepa Srinivas,Rachita Ram,V. Harikrishna,"Kranti Rayanna, a business tycoon in Europe is invited by his favorite teacher to attend the Centenary celebrations of the school. Kranti begins a revolution and takes the fight on with Salatri Group trying to takeover 12,000 government schools and privatize them.",4.8,1.0397
1888,09-04-2023,Kannada,Sourabh Shukla,Neethu Shetty,Girish Hothur,"When Demonetization (currency ban) is announced in India, 3 unlikely characters come face to face for a bag of cash. After that a car journey begins and some more characters come into picture. This results in a cat and mouse game with a very unexpected outcome.",0,3.1244
Kabzaa,17-03-2023,Kannada,Upendra,Shriya Saran,Chethan Handattu,"During the British rule in India, Arakeshwara, an air force soldier and son of a freedom fighter Amareshwara,due to unavoidable circumstances, kills Khaleed, the don of Amarapura and thus gets trapped in the mafia world and later becomes the king of the underworld. However, trouble ensues for Arakeshwara as he has to deal with his rivals and Bhargav Bhakshi, a cop sent by the British to eradicate him and the underworld.",4.6,1.0638
Vishnu Priya,21-07-2023,Kannada,Shreyas Manju,Priya Prakash Varrier,Gopi Sundar,,0,0.507
Gurudev Hoysala,30-03-2023,Kannada,Dhananjay,Amrutha Iyengar,B. Ajaneesh Loknath,"Gurudev Hoysala, an upright police officer, gets involved in the inter-caste marriage of a Bhoomi and Ravi, only to realise later that Bhoomi is an influential landlord’s daughter.The situation heats up as the girl's father  gets furious and starts an uproar in the town.",5,0.5981
Hostel Hudugaru Bekagiddare,21-07-2023,Kannada,Srivatsa Shyam,Divya Spandana,B. Ajaneesh Loknath,"When the warden of their hostel takes his own life, a group of students conspire to make it look like an accident for fear that they will be blamed.",7,0.5379
Ghost,19-10-2023,Kannada,Shivaraj Kumar,Archana Jois,Arjun Janya,"A dreaded gangster called ‘Ghost’, takes hostage of a prison, and an efficient police officer Chengappa is immediately deputed to solve the issue. And thus begins the cat and mouse chase between an intelligent criminal and a ruthless police officer.",2,0.3024
Raghavendra Stores,28-04-2023,Kannada,Jaggesh,Shwetha Srivatsav,B. Ajaneesh Loknath,"A cook who cooks special dishes opens a shop (Raghavendra Stores) and becomes widely popular.With his incredible tasty dishes,he gets more and more new orders.An unexpected event changes everything in his life.",3.2,0.2961
Swathi Mutthina Male Haniye,24-11-2023,Kannada,Raj B Shetty,Siri Ravikumar,Midhun Mukundan,"Prerana, a hospice counsellor at a palliative care facility, finds a new meaning in her life when she befriends Aniketh, a terminally ill patient suffers from gastrointestinal cancer. Their bond challenges the conventional notions of love, life and humanity.",10,0.5768
Desiderium,23-02-2023,Kannada,Sohan Shetty,Sahana P,Rudy Adrian,A man haunted by his past has to go back through his memories to find an element. But things don't work out as planned.,10,0.1794
Aachar & Co,28-07-2023,Kannada,Rangayana Raghu,Sudha Belawadi,Bindhumalini,"Set against the backdrop of 1960s Bangalore, Aachar & Co. follows the journey of a traditional family as they navigate the challenges of embracing modernity while honouring their roots. The film brings together a delightful mix of nostalgia, humour, and drama, capturing the essence of that era.",5.8,0.4443
Daredevil Musthafa,19-05-2023,Kannada,Mandya Ramesh,Veena Sundar,Navaneeth Sham,"Ramanuja lyengari and his gang plan to get Musthafa expelled from the college. A series of fun-filled adventures lead to a riveting cricket match which will decide everybody's fate.It is based on K.P. Poornachandra Tejaswi’s short story of the same name. In a first of its kind attempt, 100+ fans of the writer have come forward to produce this film.",7.3,0.3296
Kousalya Supraja Rama,28-07-2023,Kannada,Darling Krishna,Milana Nagaraj,Arjun Janya,"KSR is a Romantic Comedy Drama which describes the definition of a real man. Directed by Shashank, starring Darling Krishna and Brinda Acharya in prominent roles",1,0.2618
Yadha Yadha Hi,02-06-2023,Kannada,Avinash,Hariprriya,Sricharan Pakala,"Three exceptionally intelligent and shrewd individuals, creating an edge-of-the-seat experience.",0,0.2643
Bad Manners,23-06-2023,Kannada,H. G. Dattatreya,Rachita Ram,Charan Raj,,0,0.2269
Hondisi Bareyiri,10-02-2023,Kannada,Naveen Shankar,Aishani Shetty,Joe Costa,"A story of a bunch of college friends who reunite after many years. It focuses on their college life, leading to the responsibilities of adulthood and their struggle to find solace amidst their complex relationships.",7,0.2528
Baanadariyalli,15-09-2023,Kannada,Ganesh,Rukmini Vasanth,Arjun Janya,"Bound only by their love for Leela, two strangers find themselves in the beautiful wilderness of Kenya traversing new landscapes, fighting danger and each other.",0,0.144
Tagaru Palya,27-10-2023,Kannada,Rangayana Raghu,Tara,Vasuki Vaibhav,Tagaru Palya ... Revolve around the essence of rural life and how the villagers cook food on the temple premises and serve it to the devotees,0,0.0865
Kshetrapathi,18-08-2023,Kannada,Naveen Shankar,Archana Jois,Ravi Basrur,"Following his father's tragic suicide due to the unfair pricing of his crops, Basava, the protagonist, abandons his studies and embraces agriculture. He embarks on a revolutionary quest to secure the right prices for agricultural goods. However, he soon confronts a giant nexus comprising corporations, politicians, and traders. Basava grapples with immense challenges and setbacks throughout his journey.",0,0.1115
Manduka,15-12-2023,Kannada,Bhushan,Anjala,Vinay rangadhol,A girl suffering from schizophrenia accidentally meets four criminals. Meanwhile in an hide and seek with Police and the criminals lies the mystery.,0,0.0239
