Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Apthamitra,2004-08-27,Kannada,Vishnuvardhan,Soundarya,Gurukiran,"Apthamitra movie is based on Nagavalli (Dancer). Ramesh, an engineer buys the palace. Everyone believes that the spirit of Nagavalli, a dancer is captivated in a room of that palace. Ganga she opens  the locked room with the help of Soumya. Then start the troubles. Vijay  who came to ramesh house for holidays.",8.2,0.9974
Durgi,2004-04-28,Kannada,Ashish Vidhyarthi,Malashri,Hamsalekha,"Durgi was living happily with her family in a small village. But 2 businessmen entered the village to make a sugar mill. They used to be drunk always. One day, they raped her sister and she died in hospital. When Durgi and her family were in agony, they killed Durgi's father. After this, she promises to kill everyone.",0.0,0.4893
Jyeshta,2004-12-17,Kannada,Vishnuvardhan,Ashima Bhalla,S A Rajkumar,"Jyeshta is a 2004 Indian Kannada language drama film starring Vishnuvardhan, Ashima Bhalla and Devaraj in the lead roles. The film, a remake of Malayalam film Valliettan (2000), is directed and written by director Suresh Krissna and features soundtrack from S. A. Rajkumar. The original version was directed by Shaji Kailas and featured Mammootty and Shobhana in lead roles.",0.0,0.2822
Love,2004-07-09,Kannada,Mohanlal,Rakshita,Anu Malik,"Ganga, who mistakes Vikram to be a womaniser, understands his character when he saves her from a fire accident. They become lovers, but things change when a mysterious woman enters their lives.",7.5,0.3794
Omkara,2004-09-18,Kannada,Upendra,Preeti Jhangiani,Gurukiran,A 2004 Kannada movie.,0.0,0.1722
Bisi Bisi,2004-01-22,Kannada,Ramesh Aravind,Anu Prabhakar,Milind Dharmasena,"Bisi Bisi is a 2004 Kannada film directed by Ramnath and produced by Ajay Chandani. The film stars Ramesh Aravind, Anu Prabhakar and Shankar Rao in lead roles. Music was composed by Milind Dharmasena.",0.0,0.1861
Veera Kannadiga,2004-01-01,Kannada,Puneeth Rajkumar,Anita Hassanandani Reddy,Chakri,A man protects a slum and strives to keep its inhabitants safe from the negative elements. He also aims to avenge his father's death against the criminals who killed him.,5.0,0.2679
Malla,2004-02-27,Kannada,V. Ravichandran,Priyanka Upendra,V. Ravichandran,"Shiva, a florist's son, grows up to become a gangster. After his father is murdered, he sets out to take revenge against the culprits.",0.0,0.0544
