Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Eega,05-07-2012,Telugu,Sudeep,Samantha Ruth Prabhu,M.M. Keeravaani,"Nani is a flower decorator, madly in love with his neighbor Bindhu. He gets killed by the baddie, Sudeep, a powerful businessman. Nani comes back as a housefly to get his revenge.",7.075,2.1003
Ishq,24-02-2012,Telugu,Nithiin,Nithya Menen,Shankar,"Fate brings two individuals together after their flight to Hyderabad is forced to land in Goa. Along the way, they forge a special bond that changes their lives forever.",6.7,0.9144
Gabbar Singh,11-05-2012,Telugu,Pawan Kalyan,Shruti Haasan,Devi Sri Prasad,"A boy runs away from home, angry with his stepfather and half-brother. Years later, he becomes a police inspector and fights a notorious criminal.",5.8,0.8753
Rachcha,05-04-2012,Telugu,Ram Charan,Tamannaah Bhatia,Mani Sharma,"A betting teenager, Raj gets involved in a larger bet than he had imagined to earn 2 million rupees for his father's treatment. Will he be able to save his father?",3.9,0.8515
Dhammu,27-04-2012,Telugu,N.T. Rama Rao Jr.,Trisha Krishnan,M.M. Keeravaani,"Rama Chandra, an orphan, gets involved in a feud between two royal families while trying to woo Sathya, his lady love. He soon realises that the lives of his fellow villagers depend on his choices.",4.5,1.1253
Krishnam Vande Jagadgurum,30-11-2012,Telugu,Rana Daggubati,Nayanthara,Mani Sharma,A boy is adopted by his grandfather after his parents are murdered. He grows up to be an actor to honor a promise to his dying grandfather that he would perform in a play in his native village. The performance leads him to his parents' murderers.,5.6,0.8208
Businessman,13-01-2012,Telugu,Mahesh Babu,Kajal Agarwal,S. Thaman,"Just as the cops have declared the end of Mafia in Mumbai, a man named Surya arrives in the city with the intentions of conquering it.",6.9,1.026
Daruvu,24-05-2012,Telugu,Ravi Teja,Taapsee Pannu,Vijay Antony,"In Yamalokam retirement age comes from Senior Yama and he gives charge to his Son. However experienced Chitragupta is retained much to his disappointment. He decides to teach a lesson to new Yama and plans to get a person from Bhulokam who can create chaos in Yamalokam. That person turns out to be Bullet Raja a mass character. He falls in love with Taapsee. Though he is yet to complete his lifespan,Chitragupta plays a game and Bullet Raja gets killed only to come to hell. Here he discovers the plot and demands to get back to earth. Since his body has perished, Yama and Chitragupta send him inside the home ministers body. What happens from there and how things change forms rest of the story.",4.8,0.8248
Naa Ishtam,23-03-2012,Telugu,Rana Daggubati,Genelia D'Souza,Chakri,"Krishnaveni runs away from home to elope with her lover, Kishore, who does not show up. Gani, a self-centred man, plans to take her to her father, hoping to make a quick buck.",3.5,0.7494
Avunu,21-09-2012,Telugu,Harshvardhan Rane,Poorna,Shekar Chandra,A newly-wed couple moves to a new house where they begin to witness some eerie activities. Things take an unexpected turn when a boy informs them that a spirit lives in their house.,6.2,0.584
Julayi,09-08-2012,Telugu,Allu Arjun,Ileana D'Cruz,Devi Sri Prasad,An intelligent young man and a timid cop team up to catch a criminal who wants revenge after a foiled bank robbery.,6.4,0.8959
Damarukam,23-11-2012,Telugu,Nagarjuna Akkineni,Anushka Shetty,Devi Sri Prasad,"The film revolves around an atheist named Mallikarjuna who falls in love with an ardent devotee of Lord Shiva; when an evil power threatens the world and his beloved, he decides to stand up against it and fight to save the world.",4.8,0.5629
Cameraman Ganga Tho Rambabu,17-10-2012,Telugu,Pawan Kalyan,Tamannaah Bhatia,Mani Sharma,"Ganga, a camerawoman, helps Rambabu, a fiery mechanic, become a journalist. When Rana, an evil politician, kills a journalist, Rambabu decides to destroy his political career.",4.1,0.5482
Life Is Beautiful,14-09-2012,Telugu,Naveen Polishetty,Shriya Saran,Mickey J Meyer,"The official synopsis for Life Is Beautiful says, ""It is a coming of age story of six youngsters, set in the beautiful nostalgic world of a working-middle class neighborhood. The film tracks their journey through the different seasons, festivals, romances, street cricket, colony fights, and family gatherings. With the beginning of responsibilities, and adulthood looming around the corner, their dreams and aspirations bring them all together, to make the whole experience magical. Life is Beautiful is a story about new beginnings. It is a celebration of life and its smaller joys",6,0.5915
Mithunam,21-12-2012,Telugu,S. P. Balasubramaniam,Lakshmi,Swara Veenapani,An elderly couple live by themselves while their children are settled abroad; they take each day as special and enjoy their life.,7.2,0.5571
Shirdi Sai,06-09-2012,Telugu,Nagarjuna Akkineni,Pramodini Pammi,M.M. Keeravaani,"Based on the life of Indian guru Shirdi Sai Baba, who taught love, forgiveness, charity and devotion.",4.2,0.4356
Andala Rakshasi,10-08-2012,Telugu,Rahul Ravindran,Lavanya Tripathi,Radhan,"Gautham, a wealthy man, falls for a woman named Mithuna only to learn that she loves another man. However, a sudden chain of events changes their lives forever.",6.1,0.4928
Nippu,17-02-2012,Telugu,Ravi Teja,Deeksha Seth,S. Thaman,"Surya is a gym coach and he is very close to Sri and his family. Murthy is Sri’s father and Meghana is his sister. Surya is a man who fights against any injustice he comes across and this brings him into direct conflict with Raja Goud. In a separate track, Sriram gets into major trouble in Saudi Arabia and Ravi Teja must do everything he can to save his friend’s life. In a curious twist of fate, only Raja Goud has the ability to save Sriram from certain death. Will Surya enter into a compromise with Raja Goud? How can Raja Goud save a man in trouble in Saudi Arabia? That forms the story",3.8,0.4303
Endukante Premanta,08-06-2012,Telugu,Ram Pothineni,Tamannaah Bhatia,G. V. Prakash Kumar,Two young people are confused by their feelings for each other.,4.6,0.569
