Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Yamadonga,15-08-2007,Telugu,N.T. Rama Rao Jr.,Priyamani,M.M. Keeravaani,"Raja, an orphaned thief, dies while helping a gang in kidnapping a wealthy heiress, Mahi, in exchange of money. He then lands in Yamlok and fights with Yama, the god of death, to get his life back.",6,1.3774
Vijayadasami,21-09-2007,Telugu,Kalyan Ram,Vedhika,Srikanth Deva,A welder must confront his evil brother who ruined his life in childhood.,0,0.7178
Chirutha,28-09-2007,Telugu,Ram Charan,Neha Sharma,Mani Sharma,"A young man with a tragic past meets the daughter of a rich man and falls in love, while trying to avenge the death of his father.",4.5,0.9909
Okkadunnadu,03-03-2007,Telugu,Gopichand,Neha Jhulka,M.M. Keeravaani,"Mafia don Sona Bhai needs an urgent heart transplant and will stop at nothing to get it. Soon he finds Kiran, who shares his very rare Bombay blood group. Kiran, however, already has troubles of his own.",6.9,0.8416
Athidhi,18-10-2007,Telugu,Mahesh Babu,Amrita Rao,Mani Sharma,"Young Amrita Goutham's parents bring home a poor and homeless boy from the streets of Hyderabad, and adopt him. Shortly thereafter her life is shattered when her parents are killed by this boy and she goes to live with her brother, and his wife. Years later, she has grown up, and has a niece, Aishwarya. While being chased by some goons, a male named Aditya, comes to her rescue, and she falls in love with him. Amidst nation-wide kidnappings taking place allegedly at the hands of one Kaiser, she soon finds out that Aditya is none other than the one who killed her parents and may have returned back into her family's life to kill all of them.",5.8,0.8187
Yogi,14-01-2007,Telugu,Prabhas,Nayanthara,Ramana Gogula,"Eeshwar Chandra Prasad (Prabhas) is the son of Ram Murthy (Chalapathi Rao) and Shantamma (Sharada Urvashi). Ram Murthy wants his son to do some job. However, Shantamma pampers Eeshwar very much and hence he doesn't want to leave the village. Ram Murthy dies and in order to fulfil his last wish, Eeshwar goes to the city to earn money on the advice of his friend Basha (Ali), who was a pickpocket. Eeshwar could not meet Basha. On the other hand Kotaiah (Kota Srinivasa Rao) runs big land mafia in Hyderabad city and a bitter rival of Narsing Pahilwan (Pradeep Rawat). Saidulu (Subbaraju) is Narsing's brother. Once Saidulu hacks Kotaiah and his assistant, when Eeshwar accidentally saves him. Eeshwar gets a job in a tea stall run by Chandranna (Chandra Mohan). He earns good money and purchases two gold bangles for his mother and plans to leave the city.",3.7,0.8097
Jagadam,16-03-2007,Telugu,Ram Pothineni,Isha Sahani,Devi Sri Prasad,Seenu dreams of becoming a thug and grows up to be a member of a local gangster's group. Things take an unexpected turn when Seenu's younger brother is killed due to Seenu's lifestyle.,6,0.6836
Dhee,13-04-2007,Telugu,Vishnu Manchu,Genelia D'Souza,Chakri,Babloo (Vishnu) likes to have fun and is always getting in trouble so his father (Chandramohan) gets him a job with Shanker Goud (Srihari). Shanker Goud and Bhallu are rivals and Bhallu is determined to kill Shanker Goud's sister Pooja (Genelia D'Souza). Babloo falls in love with Pooja but Shanker is planning an arranged marriage for her with Ajay (Akash) so Babloo and Pooja elope. The rest of the story is about how Babloo saves Pooja from Bhallu.,6.3,0.7506
Desamuduru,12-01-2007,Telugu,Allu Arjun,Hansika Motwani,Chakri,"After Bala, who works for a TV channel, gets into trouble with a goon, he is sent away for an out-of-town assignment. There he meets and falls in love with a girl who gets kidnapped by a gangster.",5.5,0.7597
Raju Bhai,18-05-2007,Telugu,Manchu Manoj,Sheela Kaur,Yuvan Shankar Raja,"A man saves the son of a local don from rivals, and gets a job in the don's gang. Things change when he falls in love with a girl who wants him to quit the gang.",5,0.6193
