Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Magadheera,31-07-2009,Telugu,Ram Charan,Kajal Agarwal,M.M. Keeravaani,"When Harsha, a bike stunter from Vishakapatnam, accidentally meets Indu, he discovers his warrior life Kala Bhairava in his last birth. The remaining story explains how Indu and Kala Bhairava are connected.",7.218,1.7102
Aarya 2,27-11-2009,Telugu,Allu Arjun,Kajal Agarwal,Devi Sri Prasad,"Two young boys staying together at an orphanage become friends. One of them is adopted by a wealthy family and grows up to become the owner of a software company. He provides employment for his friend, but when they both fall in love with the same young woman, conflict emerges.",6.8,1.3866
Ride,05-06-2009,Telugu,Tanish Alladi,Shweta Basu Prasad,Vedala Hemachandra,"Arjun, a motorcycle enthusiast, couldn't afford to buy his own bike. Meanwhile, Mahesh needed a motorcycle to secure a job he was applying for. His mother helped him by selling her silver jewelry. However, Mahesh's bike was soon stolen, and despite his frantic search and the police's involvement, he had little success in recovering it. By chance, Mahesh spotted his stolen bike in Arjun's possession. Arjun claimed to have purchased the bike from a stranger with his own money...",5,1.1154
Eenadu,18-09-2009,Telugu,Kamal Haasan,Lakshmi,Shruti Haasan,The police commissioner of Hyderabad confronts an anonymous caller who has planted bombs in the city and will let them explode if four  terrorists are not freed from the police custody.,0,1.8169
Maska,14-01-2009,Telugu,Ram Pothineni,Hansika Motwani,Chakri,"Krish is a happy-go-lucky guy who lives with his brother and sister-in-law. He woos a girl named Manju. Manju happens to be the daughter of a Mla Simhachalam. Krish's only intention is to become rich by marrying her and doesn't have any feelings whatsoever toward her. He also meets a girl called Meenakshi, aka Meenu ; he starts to like her for real and falls in love with her. Meanwhile, Simhachalam and Shinde run against each other in a presidential election in Delhi. Shinde is a man of misdeeds. Shinde tries to find faults in Simhachalam's personal life so that he can expose him in front of the high command of the party, so that his route will be clear to get the party ticket. Shinde comes to learn that Simhachalam has another wife (Sita) and a daughter who live in Hyderabad. He sends his men to find them. .",5.125,0.7293
Shankam,11-09-2009,Telugu,Gopichand,Trisha Krishnan,S. Thaman,"When his girlfriend is forced to return to India, a happy-go-lucky man follows her and upon asking for their marriage is tasked with picking up a violent but timid relative while making sure the rival villagers don't get a chance to attack him.",4.2,0.7237
Konchem Ishtam Konchem Kashtam,05-02-2009,Telugu,Siddharth,Tamannaah Bhatia,Loy Mendonsa,"Geeta's father disapproves of her relationship with Siddhu as he isn't too pleased with the fact that the latter's parents are divorced. Determined to marry Geeta, Siddhu promises to reunite his parents.",5.7,0.991
Billa,03-04-2009,Telugu,Prabhas,Anushka Shetty,Mani Sharma,A police inspector sends a gangster-lookalike to uncover the gang's secrets.,5.1,0.7263
Arundhati,16-01-2009,Telugu,Sonu Sood,Anushka Shetty,Saluri Koteswara Rao,Arundhati  belongs to Gadwal samsthanam in 1920’s. She is known for her bravery in saving the Samstanam by killing Pasupathi an evildoer. But the spirit of Pasupathi haunts that place. Another girl is born in the same lineage after 3 generations and she is named as Arundhati. The spirit of Pasupati is after Arundhati to take the revenge.,6.6,0.8702
Drona,20-02-2009,Telugu,Nithiin,Priyamani,Niranjana Anoop,"Drona (Nitin) is the only son of Mukhesh Rushi and Sita. Drona’s father Mukesh Rushi is an honest and dedicated Police officer. Drona likes his mother Meenakshi (Sita) so much and love her as his own life. When he was a child Drona steals his father’s revolver to scare his friends. On knowing this his father scolds him, consequently Drona leaves his home and gets lost. After 10 years, he comes back to his parents with the name Chandu. A Neighboring girl Indu (Priyamani) likes Drona/Chandu a lot. On a fateful day, she finds out that Chandu is none other than the long lost boy, Drona",6,0.5539
