Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Ala Vaikunthapurramuloo,12-01-2020,Telugu,Allu Arjun,Pooja Hegde,S. Thaman,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.",6.7,3.2795
Krishna and His Leela,24-06-2020,Telugu,Siddhu Jonnalagadda,Shraddha Srinath,Sricharan Pakala,"Torn between his past and present girlfriends, a confused bachelor’s indecisiveness spins a web of lies and cheating as he struggles to commit.",4.5,1.1082
Sarileru Neekevvaru,10-01-2020,Telugu,Mahesh Babu,Vijayashanti,Devi Sri Prasad,A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,6.2,1.8598
HIT: The First Case,28-02-2020,Telugu,Vishwak Sen,Ruhani Sharma,Vivek Sagar,"Vikram Rudraraju is a 30-year-old cop working for the Telangana State Police. While Vikram is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",6.571,1.5199
Miss India,04-10-2020,Telugu,Jagapati Babu,Keerthy Suresh,S. Thaman,"Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business.",4.2,1.1216
Uma Maheswara Ugra Roopasya,30-07-2020,Telugu,Satyadev Kancharana,Roopa Koduvayur,Bijibal,"Defeated and humiliated in a fight while trying to defuse a conflict among his fellow villagers, a photographer vows revenge on his attacker.",7,0.6697
Disco Raja,24-01-2020,Telugu,Ravi Teja,Payal Rajput,S. Thaman,"Found frozen and brain-dead in Ladakh, Vasu is brought back to life but with no memories of who he was, until he starts to regain his past and piece it together to find the people responsible for his murder.",6.7,1.3663
Bheeshma,21-02-2020,Telugu,Nithiin,Rashmika Mandanna,Mahati Swara Sagar,"Bheeshma Prasad, a simple meme creator has his life turned around when he wages a war against a powerful agro company that creates harmful chemicals to increase the crop yield and make more money.",6.1,1.2182
World Famous Lover,14-02-2020,Telugu,Vijay Deverakonda,Raashii Khanna,Gopi Sundar,"An amalgamation of four different love stories: Seenayya and Suvarna, a middle-class couple in a small town; Gautham, an uber-cool youngster romancing in the streets of Paris with his girlfriend Iza, Union Leader Srinu head over heels in love with his boss lady, and and the first college romance.",5.5,1.0242
V,05-09-2020,Telugu,Nani,Nivetha Thomas,S. Thaman,"DCP Aditya, a celebrated cop, faces his most unsettling case yet involving a mysterious serial killer who has been brutally killing his targets and leaving behind notes challenging Aditya to nab him. Teaming with Apoorva, an aspiring crime novelist, and the police force, Aditya finds himself walking on thin ice upon discovering the killer has another challenge for him: to prevent four more murders from happening or give up his medals and resign. What he is yet to find out is the killer's past and his desperation to carry out the killing spree without fail.",6.748,1.0098
Nishabdham,02-10-2020,Telugu,R. Madhavan,Anushka Shetty,Gopi Sundar,"Seattle PD is investigating the murder of a man and Sakshi, a deaf and mute artist, and her husband Antony, a renowned cello player, are related to it.",5.647,1.0682
Middle Class Melodies,20-11-2020,Telugu,Anand Deverakonda,Varsha Bollamma,Vikram RH,"Raghava, who runs a breakfast center in his village, dreams of starting a small hotel in the city. Against his father's wishes, he plans to buy an old shop with his friend Gopal. The shop happens to be owned by Nageswara Rao, father of his love interest Sandhya. How will Raghava's love life and his dream to establish his own hotel clash?",6.7,0.8064
Anukunnadhi Okkati Aynadhi Okkati,06-03-2020,Telugu,Madhunandan,Dhanya Balakrishna,Vikas Badisa,Four childhood friends travel to Goa for a fun-filled wedding of their friend but their trip turns into a nightmare when they become involved in the murder of a stripper.,0,0.5899
Dirty Hari,18-12-2020,Telugu,Darbha Appaji Ambarisha,Ruhani Sharma,Mark K. Robin,"Hari is a man torn between his wife Vasudha and Jasmine. In his greed to lust after both, will he end up losing everything?",6.4,0.6836
Jaanu,06-02-2020,Telugu,Sharwanand,Samantha Ruth Prabhu,Govindh Vasantha,"Decades post-high school, Ram and Jaanu meet at their school's reunion and explore their past thoughts consisting of affection, care, depth and grieve all over the period of one evening.",5.2,0.9428
