Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Bāhubali 2: The Conclusion,27-04-2017,Telugu,Prabhas,Anushka Shetty,M.M. Keeravaani,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",7.4,5.1169
Radha,12-05-2017,Telugu,Sharwanand,Lavanya Tripathi,Radhan,"Radha Krishna, a young boy gets inspired to become a police officer following his belief that Lord Krishna rescued him in the avatar of a cop when he was a child, and does so. Radha Krishna is transferred to Hyderabad, where a bomb goes off at politician Sujatha's election campaign. Radha vows to take revenge, only to discover that all is not what it seems.",5.7,2.9901
Hello!,22-12-2017,Telugu,Akhil Akkineni,Kalyani Priyadarshan,Anup Rubens,"Avinash/Seenu is a street urchin brought up by his loving adoptive parents Saru and Prakash. The love of his life is the girl he meets during childhood Junnu/Priya, whom fate had snatched away from him. Fourteen long years and they still wait for the day they will meet again. Will destiny help them?",7.2,2.3162
Arjun Reddy,25-08-2017,Telugu,Vijay Deverakonda,Shalini Pandey,Radhan,"A brilliant but impulsive young surgeon spirals into self-destruction after a painful breakup, struggling to cope with love, loss, and the consequences of his own temper.",7.1,2.2205
Raja the Great,18-10-2017,Telugu,Ravi Teja,Mehreen Pirzada,Sai Karthik,Raja is a blind man who's trained by his head constable mother to use his disability to his advantage. Lucky is the pampered daughter of a police officer and they're each other's whole world. What happens when Lucky's world is shaken by a goon Deva? How does Raja fit into this picture?,5.8,1.9903
Nene Raju Nene Mantri,11-08-2017,Telugu,Rana Daggubati,Kajal Agarwal,Anup Rubens,"Nene Raju Nene Mantri is the story of Radha Jogendra and the love of his life, Radha. His whole world revolves around her and he can go to any lengths to make her happy. But what happens when such profound love takes the shape of cavernous ambition?",6.6,1.8275
Raju Gari Gadhi 2,13-10-2017,Telugu,Nagarjuna Akkineni,Samantha Ruth Prabhu,S. Thaman,"Three friends — Ashwin, Kishore and Praveen get into business by purchasing a resort. Pretty soon, they find that they've got more than what they've bargained for. Apparently, the resort is haunted by a ghost. Unwilling to sell the resort, they seek the help of a mentalist, Rudra, to exorcise the ghost.",4.5,1.577
Jawaan,01-12-2017,Telugu,Sai Durgha Tej,Mehreen Pirzada,S. Thaman,Jai  is a patriotic man for whom the nation always comes first. He harbours the dream to work for the DRDO and wants nothing else from life. But what happens when an evil mastermind Keshav makes a plan to harm the nation?,6.4,1.5526
Gautamiputra Satakarni,12-01-2017,Telugu,Nandamuri Balakrishna,Shriya Saran,Chirantan Bhatt,"The emperor of Satavahana kingdom, Satakarni comes across many challenges when he attempts to convince his wife that their son is bound to take part in battles and vanquish his enemies.",5.6,1.7768
Next Nuvve,03-11-2017,Telugu,Aadi Saikumar,Vaibhavi Shandilya,Sai Karthik,"Kiran and his girlfriend Smita decide to turn the former's ancestral property into a hotel to pay off their loans. They do it with the help of his father's aide Sarat and sister Rashmi . But, the house seems to be haunted, or is it really?",7,1.274
