Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Athadu,10-08-2005,Telugu,Mahesh Babu,Trisha Krishnan,Mani Sharma,"A professional killer is hired to fake the assassination of a politician. However, when the politician is killed and he is framed for his murder, he takes on a dead man's identity to escape the law.",7.1,1.9314
Narasimhudu,20-05-2005,Telugu,N.T. Rama Rao Jr.,Sameera Reddy,Mani Sharma,"A young, orphaned boy is adopted by the villagers and he grows up striving for their wellbeing. When the sons of two corrupt men rape an 11-year-old, the young man vows to punish them for the crime.",3.6,0.9795
Chatrapathi,30-09-2005,Telugu,Prabhas,Bhanupriya,M.M. Keeravaani,"Sivaji and his family are uprooted from their community in Sri Lanka and wind up as bonded labourers in Vishakhapatnam. Like his legendary namesake, he rises up to become the saviour of the oppressed.",6.6,0.9431
Naa Alludu,14-01-2005,Telugu,N.T. Rama Rao Jr.,Shriya Saran,Devi Sri Prasad,"Karthik seeks revenge after Bhanumati refuses to hire him despite his qualifications. When he vows to marry one of her two daughters, Bhanumati hires a bodyguard for them.",3.2,0.7157
Bhadra,12-05-2005,Telugu,Ravi Teja,Meera Jasmine,Devi Sri Prasad,Bhadra(Telugu: భద్ర) is a Telugu film released on 12 May 2005 ( Dubbed in malayalam as Brahmam ) and was directed by debutant director Boyapati Srinu. Ravi Teja and Meera Jasmine played the lead roles. The film was later remade into Tamil as Saravana with Silambarasan and Jyothikaand also remade into bengali as Josh with Jeet and Srabonti. Linda Arsenio danced in an item number.,7.1,0.6204
Chakram,25-03-2005,Telugu,Prabhas,Asin Thottumkal,Chakri,"Chakram (Prabhas) is a foreign returnee and has a dream of building a hospital at Pulivendula. He is in love with his colleague, Lakshmi (Asin Thottumkal) who studied with him abroad. But leaves her half-way through after he realizes that he was struck with cancer. Not wanting to tell her, he moves to Hyderabad and stays in place called ‘Sahara Colony’. There, he tries to solve people problem's in the colony. Seeing all this, another girl who is also named Lakshmi (Charmy) falls in love with Chakram. The rest is a heart-rending saga of the cancer-struck patient's love station.",5.2,0.5468
Nuvvostanante Nenoddantana,14-01-2005,Telugu,Siddharth,Trisha Krishnan,Devi Sri Prasad,"Siri and Sriram fall in love with each other and plan to get married. However, his mother disapproves of their relationship.",6.6,0.7742
Anukokunda Oka Roju,30-06-2005,Telugu,Jagapati Babu,Charmy Kaur,M.M. Keeravaani,"Sahasra, a struggling singer, attends a party and wakes up after a day without realising it. However, as the days pass, she feels something is amiss after getting chased by men who want to kill her.",6.1,0.4897
Bunny,06-04-2005,Telugu,Allu Arjun,Sudha,Devi Sri Prasad,"A millionaire's daughter is all set to marry her boyfriend against her father's wish. When her father finally approves the marriage, her boyfriend believes that her father should sign over his wealth to him.",4.9,0.4068
Sankranthi,17-02-2005,Telugu,Venkatesh,Sneha,S A Rajkumar,"Sankranthi is a 2005 Telugu film directed by Muppalaneni Siva. The film stars Venkatesh, Srikanth, Sharwanand and Shiva Balaji in lead roles.",8,0.4941
Jai Chiranjeeva,21-12-2005,Telugu,Chiranjeevi,Bhumika Chawla,Mani Sharma,"Jai Chiranjeeva (Telugu: జై చిరంజీవ) is a Tollywood 2005 film directed by K. Vijaya Bhaskar and produced by Vyjayanthi Movies. The movie stars Chiranjeevi, Bhoomika Chawla and Arbaaz Khan . It was dubbed into Hindi and Tamil as Bhajrang and Deva respectively. The film turned into a big hit in Bhoomika's career, after Kushi",4.9,0.4931
Balu,06-01-2005,Telugu,Pawan Kalyan,Shriya Saran,Mani Sharma,Balu helps the people of Mahankali market get the rights to their land. This means he'll have to face an old nemesis.,3.6,0.3348
