Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Ready,19-06-2008,Telugu,Ram Pothineni,Genelia D'Souza,Devi Sri Prasad,"A brave man decides to kidnap his friend's beloved from a forced marriage, but ends up abducting the wrong bride. Ironically, the bride he kidnapped is ecstatic because she was already planning an escape. On the run, they fall in love, but in order to get married, they must convince their families.",5.433,1.1572
Bujjigaadu: Made in Chennai,23-05-2008,Telugu,Prabhas,Trisha Krishnan,Sandeep Chowta,"Bujji runs away from his home in his childhood because of a dispute with his girlfriend Chitti. He ends up in Chennai for 12 years, and the rest of the story is about how they meet now to make their love successful.",5.4,1.1158
Gamyam,29-02-2008,Telugu,Allari Naresh,Kamalinee Mukherjee,E.S. Murthy,"Two guys, a thief and a rich man, meet in a journey that the latter starts to find love. On their way they find the destinies of their lives.",6.2,0.9435
Jalsa,02-04-2008,Telugu,Pawan Kalyan,Ileana D'Cruz,Devi Sri Prasad,"Sanjay falls in love with Indu. Her father Rammohan Reddy doesnt approve of it and she is married to someone else. Later, Bhagyamathi falls for him and he goes to meet her father who turns out to be Rammohan Reddy. Somewhere in between Sanjay's life as a Naxal is depicted.",6.8,0.7803
Pandurangadu,30-05-2008,Telugu,Nandamuri Balakrishna,Sneha,M.M. Keeravaani,"At the request of Lord Krishna, a dedicated devotee, Lakshmi, attempts to marry a selfish playboy, Pundarika.",3,0.7922
King,25-12-2008,Telugu,Nagarjuna Akkineni,Trisha Krishnan,Devi Sri Prasad,"After Coimbatore-based Ravichandra Verma passes away, his young son, Raja, assumes the responsibility of running the family business as well as ensuring that his brother, Ajay, gets a good education - much to the chagrin of three of his uncles. Years later, while on a trip to Uttaranchal, despite of warnings from a Pandit, he gets killed by a female assassin, but his family is informed that he is missing. Shortly thereafter, Gyaneshwar Kale and his sister, Sravani/Shivani, will inform the family that Raja is still alive but is handicapped and suffers from memory loss. The family is overjoyed but are not aware that Raja is actually a hoodlum/extortionist known as Bottu Seenu/Raghu Rokda.",4.8,0.7052
Avakai Biryani,14-11-2008,Telugu,Kamal Kamaraju,Bindu Madhavi,Manikanth Kadri,"A coming of age story of a man and a woman from diverse social backgrounds, faiths and aspirations.",7.3,0.5131
Gorintaku,04-07-2008,Telugu,Dr. Rajasekhar,Meera Jasmine,S.A. Rajkumar,"Ashok and Lakshmi grow up as orphans, and Ashok is deeply protective of his sister. However, after both of them marry, circumstances drive them apart.",0,0.4989
Vishaka Express,02-02-2008,Telugu,Rajiv Kanakala,Preeti Jhangiani,Vijay Kurakula,"Visakha Express is a Suspense Thriller Movie. The basic plot of the story is taken from Strangers On A Train, which is about the two strangers and exchange of murders.",0,0.759
Hare Ram,18-07-2008,Telugu,Kalyan Ram,Priyamani,Mickey J Meyer,"Hari and Ram, conjoined twins separated at birth, grow up separately when their parents part ways. Hari becomes a sincere cop while the mentally unstable Ram becomes a violent man who would barely hesitate to kill anyone considering themselves smarter than him.",6,0.5102
Mr. Medhavi,26-01-2008,Telugu,Sonu Sood,Genelia D'Souza,Chakri,A young Vishwak meets Sweta and falls in love with her. Their relationship begins to dwindle when Vishwak becomes increasingly manipulative and selfish to succeed in life.,0,0.5806
Victory,27-06-2008,Telugu,Nithiin,Mamta Mohandas,Chakri,,0,0.3112
Parugu,01-05-2008,Telugu,Allu Arjun,Sheela Kaur,Mani Sharma,"A group of friends are forcibly transported to a village and kept imprisoned, as the village head, who believes that they have helped in his daughter's elopement with her lover.",5.7,0.4739
