Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Simhadri,09-07-2003,Telugu,N.T. Rama Rao Jr.,Bhumika Chawla,M.M. Keeravaani,"Simhadri, a loyal servant in a landlord's house, leads a secret life as Singamalai, a powerful leader in the state of Kerala.",6.3,1.2566
Okkadu,15-01-2003,Telugu,Mahesh Babu,Bhumika Chawla,Mani Sharma,"Ajay is in Kurnool for a Kabaddi match when he happens to save Swapna from a brutal factionist, Obul Reddy. The latter pursues them but Ajay refuses to back down from a confrontation with him.",7.2,0.8139
Amma Nanna O Tamila Ammayi,19-04-2003,Telugu,Ravi Teja,Asin Thottumkal,Chakri,Chandu is very passionate about kickboxing and his life revolves around his mother and his girlfriend. His life is shattered when his dying mother asks him to meet his estranged father Raghuveer.,6.3,0.8369
Johnny,25-04-2003,Telugu,Pawan Kalyan,Renu Desai,Ramana Gogula,A martial arts coach struggles to earn money through fights in order to save his wife suffering from blood cancer.,5.5,0.8683
Tagore,24-09-2003,Telugu,Chiranjeevi,Shriya Saran,Mani Sharma,"Tagore (Chiranjeevi) creates his own vigilante military network called the Anti-Corruption Force (ACF) that eliminates the most corrupt individuals, from all walks of life, in a systematic manner. As pressure builds on Police and Government to track down the Man who masterminds these killings, Balbir Singh (Puneet Issar), is specially summoned to head the task. He is aided by Suryam (Prakash Raj) who, though being just a constable in the mammoth Police force, is compelled by his instincts to see through the underlying design. Together they unravel the mystery and unveil the phenomenon called Tagore, but not before Badrinaryana (Sayaji Shinde), the human face of evil, finds out that his revelry in the belief of Tagore’s death was a mistake he can never make amends for.",6.3,0.6547
Gangotri,28-03-2003,Telugu,Allu Arjun,Aaditi Agarwal,M.M. Keeravaani,"A factional leader's only daughter falls in love with his loyal lieutenant's son. When the childhood lovers' secret is exposed their fathers become enemies. How will the young man react to his lover's father bombing his house? Will there ever be an end to the cycle of violence, hatred and revenge?",5,0.6026
Satyam,19-12-2003,Telugu,Sumanth,Genelia D'Souza,Chakri,"Satyam is an unbelievably nice guy. Everybody likes him--except for the two people he loves most, his father and Ankita, the girl with whom he is in love with. Because he and his father don't get along, Sathyam leaves home and starts living with friends. A sensitive man and sensible writer, Satyam ghost-writes for a popular film lyricist. He wants to prove himself as lyricist before meeting Ankita, when he intends to express his love for her; except in the meanwhile, a flamboyant classmate of Ankita proposes to her.",6.3,0.4749
Naaga,10-01-2003,Telugu,N.T. Rama Rao Jr.,Sadha,Vidyasagar,A man wages a battle against politicians and their dishonourable ways of campaigning when some political goons harm his father and sister due to a trivial issue.,4,0.3863
Sivamani,23-10-2003,Telugu,Nagarjuna Akkineni,Asin Thottumkal,Chakri,"Shivamani (Nagarjuna) is a honest cop in Vizag. He falls in love with Vasantha (Asin), a beautiful lady who aspires to become a singer. There is a mafia guy called Dutt (Prakash Raj), whom Shivamani troubles a lot. Incidentally Vasantha is distantly related to Dutt and both of them belongs to Kerala. In the meantime, Shivamani's mother (Sangeeta) gets paralyzed. Shivamani and Vasantha take her to Kerala to get the treatment of Kerala's Ayurveda specialists. In the process, Dutt gets back to Kerala and he is on the mission to weaken Shivamani by getting Vasantha away from him. The rest of the story is all about how he gets back Vasantha with the help of a newspaper's editor Pallavi (Rakshita).",4.8,0.329
Missamma,01-05-2003,Telugu,Sivaji Sontineni,Bhumika Chawla,Vandemataram Srinivas,"Nanda Gopal, an efficient professional, works for one of the biggest business corporations in India; he tries to impress his boss, Meghana, but ends up losing his job; Meghana promises to retain Nanda Gopal provided he passes few tests.",8.2,0.3208
Okariki Okaru,09-10-2003,Telugu,Srikanth,Aarti Chabria,M.M. Keeravaani,"Kamesh, a young man travelling to Kaasi, sees Swapna, an NRI, at a railway station and falls in love with her. When Swapna returns to the US, Kamesh fights all odds to follow suit and win her love.",0,0.37
Dongodu,07-08-2003,Telugu,Ravi Teja,Kaveri,Valisha Baabji,Dongodu is a 2003 Telugu language comedy movie produced by Bheemineni Rushita Sai under Goodwill Cinema banner. This Movie is remake of Malayam movie Meesa Madhavan. The film features Ravi Teja and Kalyani in the lead roles. Music has been composed Vidya Sagar. The movie released on 7 August 2003 was a decent Boxoffice success,4.8,0.37
Nijam,24-05-2003,Telugu,Mahesh Babu,Rakshita,R. P. Patnaik,A young man is guided by his mother in a methodical manner to avenge his father against the perpetrators who falsely accused and killed him.,6.2,0.2832
Vasantham,11-07-2003,Telugu,Venkatesh,Kaveri,S A Rajkumar,"Vasantham is an Family based movie. In which, Ashok (Venkatesh) and Julie (Kalyani) are childhood friends. Ashok is like a family member of Julie",5.5,0.3735
Golmaal,21-02-2003,Telugu,J. D. Chakravarthi,Meera Vasudevan,Vandemataram Srinivas,"Golmal is an Comedy based movie. In which, Ameer Khan (JD Chakri) and Amar Sastry (Ramesh Arvind) are buddies in a village. Ameer Khan is a rich guy and has a long-cherished dream of flying to USA and to do the white collared job. Amar Sastry is a poor guy who has lots of responsibilities and the entire burden of his family is on his shoulders.The conventional parents of Ameer want him to join the college run by Abdullah - a friend of Ameer",7,0.3526
Donga Ramadu and Party,26-06-2003,Telugu,Srikanth,Laya,Chakri,"When petty thief Ramakrishna seeks refuge in the village of Kotayya after a botched con, he decides to masquerade as the long-lost grandson of the village's philosopher founder -- thus inheriting the man's property. But trouble comes in the form of a beautiful investigative reporter, who quickly recognizes him as an imposter -- and with whom Ramakrishna falls in love. Now, he must make himself worthy of her affection.",6,0.2592
Kalyana Ramudu,18-07-2003,Telugu,Venu Thottempudi,Nikita Thukral,Mani Sharma,"Kalyana Ramudu  is a 2003 Telugu family film and remake of Malayalam film Kalyanaraman, directed by G. Ram Prasad and produced by Venkata Shyam Prasad under SP Entertainments. The film stars Venu Thottempudi, Nikita and Prabhu Deva in the lead roles.",5,0.2547
