Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Dragon,2026-04-09,Telugu,N.T. Rama Rao Jr.,Rukmini Vasanth,Ravi Basrur,Upcoming Prashanth Neel Film starring NTR,0.0,1.2656
Peddi,2026-03-27,Telugu,Ram Charan,Janhvi Kapoor,A.R. Rahman,"In 1980s rural Andhra Pradesh, A spirited villager unites his community through sports to defend their pride against a powerful rival.",0.0,0.5628
Suriya 46,2026-04-10,Telugu,Suriya,Mamitha Baiju,G. V. Prakash Kumar,Upcoming Heist Thriller Directed Venky Atluri,0.0,0.6816
The Paradise,2026-03-26,Telugu,Nani,Sonali Kulkarni,Anirudh Ravichander,"A marginalized tribe stripped of their rights find hope in an unlikely leader, who guides their fight for citizenship and recognition in a system designed to keep them oppressed.",0.0,0.3622
