Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Karthikeya,24-10-2014,Telugu,Nikhil Siddhartha,Swathi Reddy,Shekar Chandra,Nikhil Siddharth and Swathi Reddy are back once again onscreen with Karthikeya. The mystery of the Subramanian Swamy temple which has remained closed for years is the crux of the movie. Local people in the village are curious why the temple has been locked up for years? The lead protagonists take the initiative to solve the mystery.,6.1,1.9375
Manam,23-05-2014,Telugu,Nagarjuna Akkineni,Shriya Saran,Anup Rubens,"A married couple die in an accident, leaving behind a son. As he grows up and becomes successful, he comes across reincarnations of his father and mother as youngsters, and vows to bring them back together.",7,1.6389
1: Nenokkadine,10-01-2014,Telugu,Mahesh Babu,Kriti Sanon,Devi Sri Prasad,"A schizophrenic rock musician, is convinced that his parents were murdered by three men. Taking the support of a journalist, he sets out to find the culprits. Will he succeed in his mission, and in the process, what will he learn about his own roots?",6.6,1.2488
Yevadu,12-01-2014,Telugu,Ram Charan,Jayasudha,Devi Sri Prasad,"Satya is given a different face after he suffers burn-related injuries. After being released from the hospital, he deals with the murderer of his lover Deepti. But his new face has given him new foes.",6.164,1.2862
Aagadu,19-09-2014,Telugu,Mahesh Babu,Tamannaah Bhatia,S. Thaman,"Shankar is an orphan raised by a sincere police officer Raja Rao. In an unexpected situation, Raja Rao's son Bharath kills a kid and Shankar takes the blame, and is imprisoned while Raja Rao warns him not to meet him again.",4.4,1.7264
Rabhasa,28-08-2014,Telugu,N.T. Rama Rao Jr.,Samantha Ruth Prabhu,S. Thaman,"US return student Karthik pledges to marry his uncle Dhanunjay's daughter Indu, which was his mother's wish. A small family feud ends with both the families getting separated. He joins Indu's college to convince her to marry him, but mistakenly assumes Bhagyam as Dhanunjay's daughter. Later, Karthik realizes that Indu is his cousin but she is already in love with another guy. He gets entangled in a risky situation when he tries to help a stranger. The rest of the story is all about how he controls the damage and fulfills the wish of his mother.",5.2,1.0588
Race Gurram,11-04-2014,Telugu,Allu Arjun,Shruti Haasan,S. Thaman,"Ram and Lakshman, aka Lucky, are brothers who are polar opposites in nature. Their mother wishes to see them united.",6.8,0.7963
Alludu Seenu,25-07-2014,Telugu,Bellamkonda Srinivas,Samantha Ruth Prabhu,Devi Sri Prasad,"Deep in debt, Seenu and his uncle, Narasimha, flee to Chennai but land up in a different city. They then discover that Narasimha is the lookalike of the local don and use it to their advantage.",5.6,0.6161
Oka Laila Kosam,17-10-2014,Telugu,Naga Chaitanya Akkineni,Pooja Hegde,Anup Rubens,"A carefree young man leading an aimless life falls in love with a cultured and simple woman, but she does not reciprocate his emotion. However, when circumstances force her to marry him, he embarks upon a journey to make his wife fall in love with him. Will he succeed in his mission?",5.2,0.7101
Ra Ra Krishnayya,04-07-2014,Telugu,Sundeep Kishan,Regina Cassandra,Achu Rajamani,"Kittu / Krishna is a cab driver who saves his money with the cab owner. When the owner refuses to return his money back, Kittu kidnaps owner’s daughter Nandu. Nandu who is fed up with her father’s unilateral decision about her marriage is happy with the kidnapping. They fall in love with each other in the process. When they were about to accept the ransom money, she gets kidnapped by another kidnapper. The rest of the story is all about who kidnapped her and the kidnapper’s connection with Kittu",6.2,0.6841
Rowdy,04-04-2014,Telugu,Mohan Babu,Jayasudha,Sai Karthik,Anna is a much revered Rowdy who is law onto himself. He opposes the construction of a dam that would displace villagers from 30 villages. His enemies plan to eliminate him by manipulating Anna's elder son. But they have to contend with the younger son Krishna.,5,0.4655
Rowdy Fellow,21-11-2014,Telugu,Nara Rohith,Vishakha Singh,Sunny M.R.,"An egoistic wealthy man becomes a cop to settle a score, but gets into a feud with a local politician.",6.2,0.586
