Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Ghilli,17-04-2004,Tamil,Vijay,Trisha Krishnan,Vidyasagar,"Muthu Pandi, a village strongman, decides to marry Dhanalakshmi, and begins his quest by eliminating everyone who opposes their union - starting with both her brothers. In desperation, Dhanalakshmi decides to escape from the village, and in the process is unwittingly assisted by a university Kabaddi player Velu.",7.1,2.6611
7G Rainbow Colony,15-10-2004,Tamil,Ravi Krishna,Sonia Agarwal,Yuvan Shankar Raja,"Kathir is a young underachiever who frequently vents his frustrations through public outbursts. When Anitha, a North Indian girl whose family has fallen on hard times, moves into his housing colony, he soon decides to pursue her with his love, but she keeps rejecting his advances.",6.7,1.391
Bose,15-08-2004,Tamil,Srikanth,Sneha,Yuvan Shankar Raja,"Former army commando Bose gets fired after he stops a rapist's attack on a student. The young woman and Bose fall in love, but then his family is kidnapped, and he discovers that the rapist has connections to terrorists.",4.8,1.0763
Kuthu,14-04-2004,Tamil,Silambarasan,Divya Spandana,Srikanth Deva,"A man falls in love with a girl only to incur the wrath of her evil father, who tries several ways to keep the young couple apart.",5,0.8278
New,16-07-2004,Tamil,S. J. Suryah,Simran,A.R. Rahman,"An 8-year-old boy runs away from home and meets a scientist, who transforms him into a young man of 28, although mentally, he remains a child.",7.5,0.7064
Jana,05-01-2004,Tamil,Ajith Kumar,Sneha,Dhina,"Jana always stands for his villagers, against the atrocities committed by Veerapandi. Manimegalai, Veerapandi's daughter, falls in love with Jana, but is stunned when she learns about his past life.",4.4,0.9145
M. Kumaran S/O Mahalakshmi,03-09-2004,Tamil,Ravi Mohan,Asin Thottumkal,Srikanth Deva,"Kumaran's life is all about his mother Mahalakshmi, who is separated from her husband Eshwar. Kumaran is passionate about kickboxing and he shares a very special relationship with his mother. In between, Kumaran falls in love with Malabar. But his life is destroyed after his mother's death. On the deathbed she tells her son to meet his father, a kick boxing champion, who lives in Malaysia. Kumaran goes to Malaysia to meet him and he comes...",6.7,0.8865
Vasool Raja MBBS,14-08-2004,Tamil,Kamal Haasan,Sneha,Bharathwaj,"A goon, Rajaraman, enrols himself in a medical college to fulfil his father's dream. He defies the college rules and creates problems for Dr Vishwanathan.",6.8,0.842
Vishwa Thulasi,22-10-2004,Tamil,Mammootty,Nandita Das,Ilaiyaraaja,"Thulasi, returns to her village to become a dance teacher. She cannot forget her love, Vishwa, but is haunted by the memory of her cousin's obsession with her.",0,0.8566
Autograph,20-02-2004,Tamil,Cheran,Gopika,Bharathwaj,"Senthil, an advertising executive, decides to invite his old friends to his wedding. His past is unraveled as he sets out on a journey to meet his old friends and lovers.",7.5,0.6542
Virumaandi,14-01-2004,Tamil,Kamal Haasan,Rohini,Ilaiyaraaja,"Angela, a civil advocate interviewing inmates at the Madras Central Prison for a documentary on the death penalty meets Virumaandi and Kothaala, who are sentenced to death and life respectively for their roles in perpetrating the massacre of 24 people during a brutal clash between feuding villages. As tensions mount within the prison walls, she listens to their conflicting accounts of the same story.",6.879,0.6645
