Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Anbe Sivam,14-01-2003,Tamil,Kamal Haasan,Kiran Rathod,Vidyasagar,"Anbarasu, young and arrogant, and Nallasivam, damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",7.6,1.8124
Kadhal Konden,04-07-2003,Tamil,Dhanush,Sonia Agarwal,Yuvan Shankar Raja,"A genius-yet-introverted orphan, raised by a church priest, is sent to college where he turns out to be a social outcast. Although he is shunned by the majority of the other students, one girl shows him kindness and befriends him. Things take a turn when he falls for her, and she in turn falls for another classmate.",7.7,1.6343
Winner,27-09-2003,Tamil,Prashanth,Kiran Rathod,Yuvan Shankar Raja,"A young man moves to his hometown; here he falls in love with the village head's daughter. The village head learns about this and he has the girl abducted; if the young man tries to rescue her, his parent's life will be at stake.",5.1,1.1576
Priyamaana Thozhi,11-07-2003,Tamil,R. Madhavan,Sridevi Vijayakumar,S A Rajkumar,"Two childhood best friends, who does not share any love interest, get married to two other people. But, problem arises when his wife doubts their friendship and his friend's husband's father asks him break their friendship.",6.4,1.0885
Enakku 20 Unakku 18,19-12-2003,Tamil,Tarun,Trisha Krishnan,A.R. Rahman,"Sridhar and Preeti begin to like each other, but part ways without confessing their feelings. Over the years, they search for each other in vain while fate keeps working its own magic.  The film was also simultaneously shot and released in Telugu with a slightly different cast as Nee Manasu Naaku Telusu.",5.5,1.2354
Boys,29-08-2003,Tamil,Siddharth,Genelia D'Souza,A.R. Rahman,"The story centers on six youngsters, who experience the downfalls of teenage life. The film conveys a message about the importance of a good education and career over other distractions, such as romance and sex.",6.7,1.166
Iyarkai,20-11-2003,Tamil,Shaam,Seema Biswas,Vidyasagar,"Marudhu, a sailor, falls in love with Nancy, a fruit vendor. However, she waits for the captain who had promised that he would return and marry her.",7.8,0.9335
Puthiya Geethai,08-05-2003,Tamil,Vijay,Meera Jasmine,Yuvan Shankar Raja,"Sarathy is a brilliant and carefree young man who is unaware that an astrologer has predicted his death at the age of 27. Eventually, he comes to loggerheads with Reddiar over a land deal gone bad.",4.857,1.1111
Jay Jay,14-11-2003,Tamil,R. Madhavan,Priyanka Kothari,Bharathwaj,"Jagan and Jamuna spend all day chatting on their first meeting. Jamuna puts down her details on a 100 rupee note declaring that if the note comes back to Jagan, then they are destined to meet.",7.2,1.0248
Julie Ganapathi,01-02-2003,Tamil,Jayaram,Saritha,Ilaiyaraaja,"Tenkasi, the creator of a hit television show, finds himself in the house of Julie, a fan, after an accident. However, she reveals herself to be emotionally unstable and potentially dangerous.",7.5,0.8851
Dum,12-04-2003,Tamil,Silambarasan,Rakshita,Deva,"Satya (Silambarasan) is the son of a police constable. He gets into fights and ends up in jail where his own father gets him out on bail. While he is returning home from a party drunk, a group of college students beat him up. That is when Suchitra (Rakshitha) comes and takes him to the hospital and gives blood. She is the daughter of a police commissioner. Later, Satya falls in love with Suchitra. That leads to several problems which are faced bravely by Satya in the later part of the film. Finally, all goes well, and Satya also receives the letter confirming his selection for IPS.",5,0.7368
Thirumalai,24-10-2003,Tamil,Vijay,Jyothika,Vidyasagar,"Thirumalai (Vijay), a mechanic, falls in love with Sweta (Jyothika) and after some persistent wooing, she reciprocates his feelings. Sweta's father (Ashwin), the owner of a television channel, seeks the help of Arasu (Manoj K. Jayan), a bad guy, to break up the romance. This rest of the story is about how Thirumalai successfully join hands with Sweta. This movie was later remade in Telugu as Gowri.",5.929,0.8505
Arasu,14-04-2003,Tamil,R. Sarathkumar,Simran,Mani Sharma,"Arasu movie is the story of Thirunavukkarasu(Sarathkumar) who is a mild mannered, quiet man, arrives at the agrahaaram in Kumbakonam to take up the job of handling accounts at the temple. He is helped by the family of Velu Shastri('Delhi' Ganesh) and Velu Shastri's daughter Meera(Simran) falls for him too.But news of a dangerous rowdy being released from a nearby jail brings out the real Arasu - a man who is out to take revenge on the men responsible for several atrocities, including the murder of his parents(Sarathkumar and Roja).",6,0.5572
