Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Sarkar,06-11-2018,Tamil,Vijay,Keerthy Suresh,A.R. Rahman,"NRI corporate Sundar Ramasamy comes to India to vote, only to learn that his vote has already been cast. While he reclaims his right legally, it also sets in motion a chain of events that eventually lead to him entering the political fray, trying to change the system.",5.8,8.2167
Ratsasan,05-10-2018,Tamil,Vishnu Vishal,Amala Paul,Ghibran,"A serial killer is murdering school girls, and a newbie cop has to track him down before the victim count increases.",7.393,3.0304
96,04-10-2018,Tamil,Vijay Sethupathi,Trisha Krishnan,Govindh Vasantha,"Ram is a photographer and nature lover who travels all around India capturing moments. On a chance visit to his hometown Tanjavur, he goes into his school and begins to walk down memory lane to 1994 when he was a student harboring feelings for his classmate Janu.",7.5,2.969
Kadaikutty Singam,13-07-2018,Tamil,Karthi,Sayesha Saigal,D. Imman,"Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united despite him being misunderstood by many.",6.7,2.5348
2,29-11-2018,Tamil,Rajinikanth,Amy Jackson,A.R. Rahman,"An ornithologist who commits suicide returns as fifth force to wreack vengeance on mankind for harming birds with mobile phone radiation. The only thing that is standing in his way is 2.0, the upgraded version of Chitti, the robot.",5.9,2.2349
Vada Chennai,17-10-2018,Tamil,Dhanush,Andrea Jeremiah,Santhosh Narayanan,"A skilled carrom player’s life takes an unexpected turn when a local thug threatens his peaceful love life. Seeking protection, he becomes entangled with a powerful gangster, leading him deeper into the city's underworld. As he navigates shifting alliances and rising tensions, he finds himself caught in a battle that could change his fate forever.",7.8,2.1556
Pariyerum Perumal,28-09-2018,Tamil,Kathir,Anandhi,Santhosh Narayanan,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",8.169,1.9694
The Boy,27-07-2018,Tamil,Delhi Ganesh,Vinodhini Vaidyanathan,Vibin R.,Aswath's thirteenth birthday is the occasion. The celebrating family is confounded by Aswath's lack of enthusiasm towards the various gifts he receives. It turns out that Aswath has been harboring a surprising sentiment.,1,1.0952
Padai Veeran,02-02-2018,Tamil,Vijay Yesudas,Amritha Aiyer,Karthik Raja,"A care-free youngster sets out to become a cop and comes back to his village to control a riot. He realises that he has to take on people, who are close to him, to manage the situation.",0,1.5658
Irumbu Thirai,11-05-2018,Tamil,Arjun Sarja,Samantha Ruth Prabhu,Yuvan Shankar Raja,"Kathiravan, a major in the Indian army with anger management issues, is compelled by circumstances to borrow a loan from a bank with false documents. When the entire money in the account vanishes, Kathiravan tries to track down the scamsters, and it leads him to White Devil, a master hacker.",6.8,1.5617
Oru Nalla Naal Paathu Solren,02-02-2018,Tamil,Vijay Sethupathi,Gayathrie Shankar,Justin Prabhakaran,"A tribal leader comes to the city to kidnap the girl whom he has sworn to marry. But a bumbling college boy, whom the girl has a soft corner for, stands in his way.",5.056,1.3987
Kaali,18-05-2018,Tamil,Vijay Antony,Sunaina,Vijay Antony,"An Indian doctor in the US, haunted by a recurring nightmare, learns that he is adopted, and comes to India to know his real roots. Where does his search lead him to?",5.5,1.5523
