Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Leo,18-10-2023,Tamil,Vijay,Trisha Krishnan,Anirudh Ravichander,"A mild-mannered man becomes a local hero through an act of violence, but it brings forth consequences with connection to a dangerous world, one which will shake his carefully constructed life to its very core.",6.942,4.5071
Viduthalai: Part I,30-03-2023,Tamil,Soori,Bhavani Sre,Ilaiyaraaja,"Kumaresan, a police constable, gets recruited for an operation implanted to capture Perumal Vaathiyar, who leads a separatist group dedicated to fighting against the authorities for committing atrocities against innocent village women in the name of police interrogations.",8.1,2.51
Bagheera,03-03-2023,Tamil,Prabhu Deva,Amyra Dastur,Ganesan Sekar,"A psychopath, who claims to be a saviour for men, murders women who are involved in more than one relationship. Who is he, and what made him such a monster?",5.2,1.6774
Varisu,11-01-2023,Tamil,Vijay,Jayasudha,S. Thaman,"Vijay, The prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family?",5.5,2.9031
Kasethan Kadavulada,27-05-2023,Tamil,Shiva,Priya Anand,R. S. Rajprathap,Ramu schemes a devious plan when an affluent & dominating stepmother refuses him financial aid. Does he succeed in his plot to loot her high-security vault along with his cousin & friend?,3.7,1.2203
Jailer,10-08-2023,Tamil,Rajinikanth,Ramya Krishnan,Anirudh Ravichander,"Muthuvel Pandian, a retired, stern yet compassionate jailer lives a peaceful life with his family, but trouble knocks his door when his cop son’s tryst with an antique mafia gang goes awry and forces Muthu to step back into a dark world he had voluntarily took a break from.",6.7,3.3526
Mark Antony,15-09-2023,Tamil,Vishal Krishna,Ritu Varma,G. V. Prakash Kumar,"Set in 1995, Mark, a skilled mechanic and the son of a former gangster, stumbles upon a phone that has the ability to connect with the past, tries to save his estranged mother from a grim fate. While facing his own family's legacy, Mark must navigate through dangerous consequences of altering the past, as it causes unforeseen repercussions in the present.",6.2,1.9632
Dada,10-02-2023,Tamil,Kavin Raj,Aparna Das,Jen Martin,"Manikandan and Sindhu, final year college students, become parents accidentally. Situations separate them, forcing Manikandan to raise his child, Adhithya, as a single parent. What follows is a beautiful tale of a father and son and their journey against all odds.",7.538,2.2691
Ponniyin Selvan: Part II,28-04-2023,Tamil,Vikram,Aishwarya Rai Bachchan,A.R. Rahman,"968 AD. The Pandyan assassins gather once again to destroy the Chola dynasty. Now the mighty Chola princes must fight the Pandyas, the Rashtrakutas and other Chola enemies who have joined forces. Also, at play are the rumours of Ponniyin Selvan’s death at sea, the powerful Pazhuvettarayar’s betrayal, and the tragic destiny of Aditha Karikalan, whose heart was long lost to the vengeful Nandini.",6.44,1.7043
Thunivu,10-01-2023,Tamil,Ajith Kumar,Manju Warrier,Ghibran,"A gang goes to rob a bank only to find that there's already a criminal mastermind holding it for ransom, but his identities and motives behind the heist remains mysterious. As they plan to collect the bounty and disappear without a trace, their crimes and their past slowly catches up with them.",5.824,1.9788
Vaathi,16-02-2023,Tamil,Dhanush,Samyuktha,G. V. Prakash Kumar,An assistant maths teacher takes up a tedious task of transforming underprivileged students despite the politics around education in the 90s.,6.7,1.6828
Chandramukhi 2,28-09-2023,Tamil,Raghava Lawrence,Kangana Ranaut,M.M. Keeravaani,"A wealthy family moves into the Vettaiyapuram palace to renovate their ancestral temple and perform a pooja, unaware of that it will reawaken the feud between a classical dancer, Chandramukhi and Vettaiyan Raja from centuries ago.",3.2,3.9097
