Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Vedalam,10-11-2015,Tamil,Ajith Kumar,Shruti Haasan,Anirudh Ravichander,"Ganesh, a cab driver and a doting brother to his sister Tamizh, is hunting down three notorious criminals in Kolkata. Who is he actually and what's his motive?",5.856,3.4826
I,04-01-2015,Tamil,Vikram,Amy Jackson,A.R. Rahman,A deformed hunchback kidnaps a bride and holds her hostage while his connection to her and his targets is revealed in a series of flashbacks that unfold as he starts seeking revenge.,6.748,2.7554
O Kadhal Kanmani,16-04-2015,Tamil,Dulquer Salmaan,Nithya Menen,A.R. Rahman,"Aadi and Tara fall in love but both hate the idea of marriage and plan to separate when their lives take them to different countries. However, as they grow closer, their emotions are not easily managed.",6.9,2.0473
10 Endrathukulla,21-10-2015,Tamil,Vikram,Samantha Ruth Prabhu,D. Imman,A skilled car driver takes on an assignment to deliver a 'package' from Chennai to Uttarkhand. What he doesn't realize is that the young woman who is travelling along with him is the 'package'. What is the mystery around her?,4.5,1.8619
Enakkul Oruvan,06-03-2015,Tamil,Siddharth,Deepa Sannidhi,Santhosh Narayanan,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.",6.8,1.7551
Romeo Juliet,12-06-2015,Tamil,Ravi Mohan,Hansika Motwani,D. Imman,"Aishwarya, an air hostess, wants to marry a millionaire, but mistakes Karthik, a gym trainer, for a rich guy and woos him. She calls off the romance when she discovers that he isn't well off, but Karthik will not let her leave that easily.",6.1,1.6825
Pasanga 2,24-12-2015,Tamil,Nishesh,Vidhya Pradeep,Arrol Corelli,"The frustrated parents of two hyperactive kids realise the key to unlock their kids' potential lies in them accepting the kids' exuberant nature, thanks to an understanding doctor and his teacher wife.",7.225,1.7506
Aambala,15-01-2015,Tamil,Vishal Krishna,Hansika Motwani,HipHop Tamizha Adhi,"Three brothers return to their native village to mend the relationship between their estranged father and his sisters. However, to unite the family, the brothers are told to marry their cousins.",5.5,1.3242
Naanum Rowdydhaan,21-10-2015,Tamil,Vijay Sethupathi,Nayanthara,Anirudh Ravichander,"Pandian, the son of a cop and a wannabe rowdy, falls in love with Kadambarai, a hearing-impaired girl, who wants him to take on Killivalavan, a gangster-politician who has murdered her parents.",6.5,1.3959
Inji Iduppazhagi,27-11-2015,Tamil,Arya,Anushka Shetty,M.M. Keeravaani,"An overweight, young woman, who finds it hard to land a husband, learns to accept her 'Size Sexy' figure and leads an awareness campaign against a dubious slimness centre.",5.3,1.2114
Massu Engira Maasilamani,29-05-2015,Tamil,Suriya,Nayanthara,Yuvan Shankar Raja,A conman gains the power to see and communicate with ghosts and decides to use it to make money. His happy-go-lucky lifestyle goes for a toss when a ghost who is his look-alike approaches him with an offer.,4.927,1.3823
Kirumi,24-09-2015,Tamil,Kathir,Vanitha Krishnachandran,Krishna Kumar,"Kathir, a carefree young man, becomes a police informer like his neighbour Prabhakar, and begins to get too close with inspector Soundarapandian, despite the warnings of the latter. It is only when he tries to ride on an ego clash between Soundarapandian and Mathiarasu, a rival inspector, that he realizes he's become a pawn in a dangerous game.",5.4,1.1785
Thoongaavanam,10-11-2015,Tamil,Kamal Haasan,Trisha Krishnan,Ghibran,"An undercover cop finds himself in a Catch-22 situation where he has to return the drugs he had stolen from a kingpin in exchange for his son. The bag containing the drug goes missing, and with both gangsters and cops on his tail, can he get out of this mess?",5.8,1.2235
Kanchana 2,17-04-2015,Tamil,Raghava Lawrence,Kovai Sarala,Leon James,A TV channel’s crew goes to a deserted beachside bungalow to stage a horror show but the place is actually haunted and the ghost(s) in the place possess the director and the cameraman in the team.,5.2,1.0755
Demonte Colony,22-05-2015,Tamil,Arulnithi,Jangiri Madhumitha,Keba Jeremiah,"Four friends go into a haunted mansion on a whim but they do not realize that they have returned home with an evil spirit, from which escape might be impossible.",7.185,1.2157
Thangamagan,18-12-2015,Tamil,Dhanush,Samantha Ruth Prabhu,Anirudh Ravichander,The happiness of Tamizh and his middle-class family is shattered when his dad commits suicide. The youngster tries to understand why his father took this extreme step and clear his name.,5.794,1.0964
Moone Moonu Varthai,26-06-2015,Tamil,Arjun Chidambaram,Aditi Chengappa,Karthikeya Murthy,"Arjun and Karna, two happy-go-lucky friends who have resigned from their jobs, start a bad news delivery service and one of their assigments ends up in a marriage getting cancelled. And the bride happens to be the sister of Arjun’s girlfriend Anjali! Can they undo the damage?",7,0.9961
Anegan,13-02-2015,Tamil,Dhanush,Amyra Dastur,Harris Jayaraj,Madhumitha is convinced that she and her colleague Ashwin were lovers in their past lives and have been brought together by fate. Is there any truth to this or is she merely hallucinating?,6.3,1.0208
36 Vayadhinile,08-05-2015,Tamil,Rahman,Jyothika,Santhosh Narayanan,"A married woman, who has set aside her dreams for the sake of her husband and daughter, rediscovers her true self and becomes an achiever.",6.7,1.2906
Papanasam,03-07-2015,Tamil,Kamal Haasan,Gautami Tadimalla,Ghibran,"A cinephile tries to protect his family by hiding a heat-of-the-moment murder committed by his daughter by taking cues from the films he has watched. With the victim the son of a cop, can he get away with it?",7.924,1.1187
Eetti,11-12-2015,Tamil,Atharvaa Murali,Sri Divya,G. V. Prakash Kumar,An athlete with a rare bleeding disorder gets into a perilous situation where he has to take on a fake currency racket.,6.222,0.9393
Vai Raja Vai,01-05-2015,Tamil,Gautham Karthik,Priya Anand,Yuvan Shankar Raja,"Karthik, who has ESP, helps his friend Panda win a betting game with his power, but this lands him in trouble with Randhai, the gangster who funded the betting operation, who, now, wants him to use his power and make a killing at a casino.",5.769,0.9311
Paayum Puli,04-09-2015,Tamil,Vishal Krishna,Kajal Agarwal,D. Imman,"An extortion gang that murders businessmen kills a policeman working on the case. ACP Jayaseelan exterminates the gang by way of unofficial encounters, but the murders continue. What the cop doesn't realise is that the brain behind the crimes is lurking close to home.",6.467,0.9968
Maari,17-07-2015,Tamil,Dhanush,Kajal Agarwal,Anirudh Ravichander,"A feared local rowdy, known for his dominance in the streets and pigeon racing, finds himself at odds with a newly appointed police officer. As tensions rise, hidden motives and betrayals unfold, shaking the balance of power in the neighborhood.",6.2,0.8717
Thani Oruvan,28-08-2015,Tamil,Ravi Mohan,Nayanthara,HipHop Tamizha Adhi,An idealistic cop and an ambitious scientist-businessman indulge in a high-stake battle of wits.,7.414,0.8692
Kaaka Muttai,05-06-2015,Tamil,J Vignesh,Aishwarya Rajesh,G. V. Prakash Kumar,Two slum kids yearn to taste a pizza after being enticed by the pizza shop that has opened near their locality. What happens when they manage to find the money to buy one?,7.787,0.943
Yennai Arindhaal,29-01-2015,Tamil,Ajith Kumar,Anikha Surendran,Harris Jayaraj,"Sathyadev, who is on a career break, is forced to put on his cop shoes ones again to save Thenmozhi, a young woman who is the target of a criminal organ harvesting group, led by a ghost from his past.",6.936,0.8683
Uttama Villain,01-05-2015,Tamil,Kamal Haasan,Andrea Jeremiah,Ghibran,"Superstar Manoranjan learns that he has only a few days to live and approaches his mentor, director Margadarisi to direct his next project — a folklore-ish comedy about a man who keeps cheating death and his role in saving a kingdom. Meanwhile, he has to sort out his personal lives, which involves an estranged son and a daughter from the love of his life.",6.629,0.9318
Kaaki Sattai,26-02-2015,Tamil,Sivakarthikeyan,Sri Divya,Anirudh Ravichander,"Mathimaran, a police constable, wants to do something worthy of his job and stumbles upon an organ trafficking ring run by Durai that is exploiting immigrant labourers. But, with Durai's connections inside the force and in politics going deep, can the cop succeed?",5.4,0.9587
Puli,01-10-2015,Tamil,Vijay,Sridevi,Devi Sri Prasad,A virtuous soldier Magadheera aka Puli (Tiger) vows to save his people from the rule of a cruel queen and her treacherous Marshal. Does good triumph over evil?,4.155,0.8823
Komban,27-03-2015,Tamil,Karthi,Lakshmi Menon,G. V. Prakash Kumar,An angry young man tries to give up his violent ways after his marriage runs into trouble. But his nemesis will not rest until he is killed.,5.313,0.8389
