Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Sivaji: The Boss,08-06-2007,Tamil,Rajinikanth,Shriya Saran,A.R. Rahman,"A wealthy engineer arrives in India with the mission of serving the nation and investing in the country's welfare but is met with strong opposition from corrupt officials and politicians. After being faced with insurmountable hardships, he decides to take drastic measures.",7,4.629
Thottal Poo Malarum,03-08-2007,Tamil,Sakthi Vasu,Sukanya,Yuvan Shankar Raja,"A happy-go-lucky youngster falls in love with his wealthy classmate. However, the girl's mother is opposed to their relationship and arranges her wedding with a gangster's son.",4.8,2.0439
Billa,14-12-2007,Tamil,Ajith Kumar,Nayanthara,Yuvan Shankar Raja,"The intertwined stories of an international Don in Malaysia, David Billa, chased by the cops, an Indian police officer, a woman who wants to avenge the death of her brother, and a lowly thief, Velu who shares with Billa, an unusual connection.",6.7,1.7094
Kattradhu Thamizh,06-10-2007,Tamil,Jiiva,Anjali,Yuvan Shankar Raja,"A young Tamil-postgraduate, frustrated with the circumstances and futility of his job, slowly loses his mental balance and becomes a sociopath.",7.3,1.6014
Thaamirabharani,14-01-2007,Tamil,Vishal Krishna,Muktha George,Yuvan Shankar Raja,"Bharani, a hot headed man, tries to peacefully resolve the conflict between the families, from the one which he belongs, and the one from which his lover belongs. But several circumstances force him to use his fist than his heart first.",5.55,1.0695
Pokkiri,11-01-2007,Tamil,Vijay,Asin Thottumkal,Mani Sharma,"Amidst gang warfare and police crackdowns, mob hitman Tamizh falls for Shruthi, a nice girl unaware of his true identity. But she may not be the only one Tamizh is hiding secrets from...",6.9,1.6885
Polladhavan,08-11-2007,Tamil,Dhanush,Divya Spandana,G. V. Prakash Kumar,"Prabhu is dejected when he learns that his bike has been stolen. He decides to find the people who stole the bike, but lands in trouble when he realises that his bike has been used to transport drugs.",7.1,0.8963
Vel,08-11-2007,Tamil,Suriya,Asin Thottumkal,Yuvan Shankar Raja,Two sons that are separated as children grow up in drastically different environments.,6.019,0.882
Oram Po,30-11-2007,Tamil,Arya,Pooja Umashankar,G. V. Prakash Kumar,"Chandru (Arya) and Bigilu (Lal) are close friends. Chandru is an expert auto driver & racer while Bigilu is a mechanic expert at customizing autos to run at the dream speed of 130 km/h. Son of Gun (John Vijay) is the chief of a rival group who wants to outsmart the duo. Chandru, the race champ tries to settle the dues for his auto through a race, which is almost a cakewalk for him. He and Bigilu challenge Son of Gun to a race, and a date is fixed.",6.1,0.915
Azhagiya Tamil Magan,08-11-2007,Tamil,Vijay,Shriya Saran,A.R. Rahman,"Guru has the ability to predict future events. With his unique ability, he identifies several future events, including the attempted murder of his lover by a look-alike.",5.1,0.9645
