Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Kannathil Muthamittal,14-02-2002,Tamil,R. Madhavan,P. S. Keerthana,A.R. Rahman,"A little girl is told by her parents that she is adopted. Determined to find her birth mother, her family eventually agrees to take her to Sri Lanka, where they encounter the militant group known as the Tamil Tigers.",7.6,1.8407
Junior Senior,19-04-2002,Tamil,Mammootty,Charulatha,Yuvan Shankar Raja,"Shakthi and Santhosh live together in Malaysia. They both fall in love with the same girl Lena. Eventually, Lena has to choose between them and she chooses Santhosh as he is wealthy. Mammootty comes to know of this and breaks off his engagement to her and walks away, feeling all good.",3.2,1.0242
Panchatanthiram,28-06-2002,Tamil,Kamal Haasan,Simran,Deva,"Ram's friends hire Maggie, a call girl, to help him get over his wife, who mistakenly believes him to be a philanderer. However, they get in trouble when Maggie ends up dead.",7.1,1.0312
Mounam Pesiyadhe,13-12-2002,Tamil,Suriya,Trisha Krishnan,Yuvan Shankar Raja,"Gautham, who runs a restaurant, falls in love with his friend Kannan's cousin, Sandhya. Problems arise when Gautham learns that Kannan's parents want Kannan to marry Sandhya.",6.8,1.0141
Alli Arjuna,14-01-2002,Tamil,Manoj Bharathiraja,Richa Pallod,A.R. Rahman,"Rebellious Arivu (Manoj) -- who's incessantly at odds with his father -- shocks his family with his gallantry in this unconventional romantic drama. Forced to attend a wedding with his parents, Arivu graciously offers to marry Savitri (Richa Pallod) when the groom is a no-show. Though the jilted bride rejects the startling proposal, she later turns to Arivu after losing a cherished friend to suicide.",4,0.9404
Kadhal Azhivathillai,04-11-2002,Tamil,Silambarasan,Charmy Kaur,T. Rajendar,A young man and a woman fall in love with each other. But soon her father gets to know about their affair and goes to extremes to separate the couple.,5.2,0.967
Five Star,04-10-2002,Tamil,Prasanna,Kaniha,Anuradha Sriram,"The story focuses on five friends at the Madras Institute of Technology, who want to remain friends and hope to join the same company after graduation. During a vacation, one of the friends, Ilango, goes home, where he is forced to get married to his rustic cousin, While their dream to work together becomes true, Ilango alone gets a transfer to Bombay. The friends force Elango to visit his wife before leaving for Bombay and put him on a train. But Elango manages to get off the train and from there loses touch with his friends and family in the village. The friends part and six years later, two of the five come back to join the two girls in Chennai. On the train in the journey back, Prabhu, one of the friends, and Ilango's wife Eashwari meet each other. Prabhu falls in love with Eashwari without realizing who she is.",7.2,0.9339
Thamizhan,12-04-2002,Tamil,Vijay,Priyanka Chopra Jonas,D. Imman,"Surya is a lawyer with right values, who tries to redress things the legal way. He falls in love with Priya. His brother-in-law Shakthivel, also an upright lawyer, is killed in the process of upholding justice. Surya's sister also meets a pitiful end at the hands of criminals. But Surya refuses to give up. His mission is to make the layman understand his legal rights and how he does so forms the crux of the story.",5.7,1.0004
Bala,13-12-2002,Tamil,Shaam,Meera Jasmine,Yuvan Shankar Raja,"Bala, a hitman in Pasupathi's gang, is madly in love with Arthi, the daughter of a rival gangster, Jeyamani. The mentor of the two gangs encourages them to get married.",2,0.7652
Charlie Chaplin,14-02-2002,Tamil,Prabhu,Abhirami,Bharani,"Charlie Chaplin is a 2002 Tamil film directed by Sakthi Chidambaram. The film stars Prabhu Ganesan, Prabhu Deva, Abhirami and Gayathri Raghuraman in lead roles.",6,0.774
