Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Saravana,01-02-2006,Tamil,Silambarasan,Jyothika,Srikanth Deva,"Saravana and Krishna are close buddies in college. Saravana sees a video tape of Krishna's sister Sadhana studying in London and falls in love with her. So to meet her, Saravana goes with Krishna to a village near Tirunelveli where he finds that there is a bloody war going on between two warring caste groups. Krishna's brother Soundarapandi his wife and Krishna are killed by the rival group of Dorai Singam. However Saravana saves Sadhana and takes her to Chennai. Initially Sadhana is not accepted by Saravana's large family but slowly when they come to know about her background they support and love her. The rest of the film is how Saravana tries to help Sadhana to go back to London, and in the process eliminates the entire gang of Dorai Singam single-handedly.",4.75,2.9949
Thimiru,04-08-2006,Tamil,Vishal Krishna,Reema Sen,Yuvan Shankar Raja,Ganesh comes to Chennai to pursue his studies. A group of goons are on his pursuit. A kind hearted Ganesh is eventually forced to go back to his old ways to fight them and restore order.,5.571,1.2225
Vettaiyaadu Vilaiyaadu,25-08-2006,Tamil,Kamal Haasan,Jyothika,Harris Jayaraj,"DCP Raghavan sets off on the trail of the killers of Rani, the daughter of a police officer. Following this, many more murders take place, leading him to New York to capture the maniac killer.",7.125,1.1396
Sasanam,28-07-2006,Tamil,Arvind Swamy,Gautami Tadimalla,Bala Barathi,"Muthiah and his wife Visalakshi are a loving couple, and they come across Saroji who with no one to go for, takes refuge in Muthiah's house. Muthiah and Saroji develop soft corner towards each other. The rest is what transpires between the trio, exploring the nuances of an extra-marital affair.",0,0.7772
Pudhupettai,26-05-2006,Tamil,Dhanush,Sneha,Yuvan Shankar Raja,"After running away from home, a young man from the slums falls in with a gang and slowly rises through the ranks of the criminal underworld, transforming into a ruthless gangster as he navigates love, power and betrayal.",7.8,0.8645
Rendu,24-11-2006,Tamil,R. Madhavan,Anushka Shetty,D. Imman,"Sakhti moves to Chennai in search of a job but lands himself in trouble when a CBI officer chases him for a series of murder committed by his lookalike, Kannan.",3.667,1.0886
Aathi,15-01-2006,Tamil,Vijay,Trisha Krishnan,Vidyasagar,"Against the wishes of his foster parents, Aathi goes to college in Chennai. He is actually looking to avenge the murder of his biological parents. He meets and falls for Anjali, who has an agenda as well.",5,0.9
Pattiyal,17-02-2006,Tamil,Arya,Pooja Umashankar,Yuvan Shankar Raja,"Two contract killers, who wish to leave the crime world, are betrayed by their boss.",7.4,0.6745
Thiruvilaiyaadal Aarambam,15-12-2006,Tamil,Dhanush,Shriya Saran,D. Imman,A reckless boy falls for a girl whose disapproving brother is a rich businessman.,6.2,0.7799
Thambi,22-02-2006,Tamil,R. Madhavan,Pooja Umashankar,Vidyasagar,"A man cannot tolerate injustice and opposes it in any form; this earns him the wrath of a local goon, who plans to get rid of him at all costs.",6.2,0.9536
Veyyil,22-12-2006,Tamil,Pasupathy,Bhavana,G. V. Prakash Kumar,"After receiving severe punishment from his father, the eldest son of a family runs away. Several years later, he returns back home with a feeling of remorse.",7.2,0.7049
