Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Mersal,18-10-2017,Tamil,Vijay,Samantha Ruth Prabhu,A.R. Rahman,"A few individuals in the medical profession are murdered or kidnapped, and the cop investigating the case suspects a doctor and arrests him. But is he the one who is behind these crimes? And why are they being committed?",7.2,2.2391
Vikram Vedha,21-07-2017,Tamil,R. Madhavan,Shraddha Srinath,Sam C S,A notorious gangster Vedha surrenders himself to encounter specialist Vikram whom he challenges every step of the way by narrating his life events in the form of riddles that needs to be solved in order to capture him.,7.3,2.1758
Kadugu,24-03-2017,Tamil,Bharath Srinivasan,Subiksha,J Anoop Seelin,A common man wages war against an influential personality to seek justice for a 14-year-old girl molested by a corrupt politician.,8.2,2.0079
Theeran Adhigaaram Ondru,17-11-2017,Tamil,Karthi,Rakul Preet Singh,Ghibran,A hardnosed cop goes after a gang of ruthless dacoits who have been terrorising residents along the highway for a decade.,7.7,1.9034
Yeidhavan,12-05-2017,Tamil,Kalaiyarasan,Satna Titus,Paartav Barggo,"After his sister’s dreams are shattered, an angry youngster takes on fraudsters who have commercialised the education sector for their selfish needs.",7,1.9455
Velaiyilla Pattathari 2,11-08-2017,Tamil,Dhanush,Kajol,Sean Roldan,"A cool-headed crusader for the struggling engineers, Raghuvaran faces the powerful and arrogant owner of a construction company Vasundhara Parameswaran, as they engage in a battle to win the corporate game.",5.702,1.8314
Ivan Thanthiran,30-06-2017,Tamil,Gautham Karthik,Shraddha Srinath,S. Thaman,Two engineering dropouts stumble upon the activities of a corrupt education minister owning engineering colleges and expose him. The minister wants revenge and launches a manhunt for them. The cat-and-mouse game begins...,6,1.7198
Maanagaram,10-03-2017,Tamil,Sri,Regina Cassandra,Javed Riaz,A handful of diverse characters find themselves in extraordinary situations that are interlinked with one another.,7.5,1.5906
Maragadha Naanayam,16-06-2017,Tamil,Aadhi Pinisetty,Nikki Galrani,Dhibu Ninan Thomas,"Senguttuvan and Elango are hired by a jewel smuggler to find a cursed treasure responsible for the death of many. Later, with the help of a priest, they summon three spirits to locate the treasure.",6.639,1.598
Spyder,27-09-2017,Tamil,Mahesh Babu,Rakul Preet Singh,Harris Jayaraj,A surveillance expert who wants to help people comes across a foe who is the very definition of evil. Can he stop the man before he destroys everything?,5.3,1.635
Nibunan,28-07-2017,Tamil,Arjun Sarja,Varalaxmi Sarathkumar,Navin,"A senior cop and his team of two are after a serial killer who is giving them nightmares. Shocked after finding who the next possible victim is going to be, the cop tracks down the assassin with the help of various clues.",6.7,1.3812
Vivegam,24-08-2017,Tamil,Ajith Kumar,Kajal Agarwal,Anirudh Ravichander,"A group of counter-terrorism agents are brought in to track down a man who was once the head of their squad, and is believed to have gone rogue.",4.9,1.6797
Yaanum Theeyavan,30-06-2017,Tamil,Ashwin Jerome,Varsha Bollamma,Achu Rajamani,"Mike is a fun-loving youngster who falls for Sowmya. At one point, the elope from their houses only to get married with the help of their friends. Things turn an ugly turn, when Mike runs a the ruthless serial killer Pasupathy on the wrong side.  Pasupathy and his associates who take them as his hostages and start torturing the young couple. Meanwhile the city police led by senior officer Jayaprkash are entrusted with the job of eliminating Pasupathy. What happens in their lives forms the rest.",6,1.5008
Bogan,02-02-2017,Tamil,Ravi Mohan,Hansika Motwani,D. Imman,A criminal swaps his body with that of the cop who is hunting him.​,6.365,1.4486
Aval,02-11-2017,Tamil,Siddharth,Andrea Jeremiah,Girishh Gopalakrishnan,"Two families have a tough time dealing with a revenge-seeking spirit, which is strangely connected with one of its members",5.7,1.8151
Bairavaa,12-01-2017,Tamil,Vijay,Keerthy Suresh,Santhosh Narayanan,A loan recovery agent takes on a corrupt head of an educational institution to save his girlfriend.​,5.6,1.6165
