Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Sachein,14-04-2005,Tamil,Vijay,Genelia D'Souza,Devi Sri Prasad,"A happy-go-lucky college student falls in love with a beautiful young woman at first sight, but decides to use a unique approach to get close to her, as she has many admirers in the college. How will their relationship evolve?",6.4,8.733
Anniyan,17-06-2005,Tamil,Vikram,Sadha,Harris Jayaraj,"Unable to bear the growing corruption in society and rejection from his love interest,  a meek lawyer becomes diagnosed with multiple personality disorder due to which the personalities of  a vigilante killer and a metrosexual start existing within him.",7.4,2.0679
Ghajini,14-10-2005,Tamil,Suriya,Asin Thottumkal,Harris Jayaraj,"After being hit by an iron rod, Sanjay Ramaswamy, a business tycoon, suffers from anterograde amnesia. He is unable to remember anything beyond fifteen minutes. Under such circumstances, he sets out on a quest to find the people who were responsible for his lover Kalpana's murder.",6.9,1.992
Chandramukhi,14-04-2005,Tamil,Rajinikanth,Jyothika,Vidyasagar,"Creepy happenings in an abandoned mansion are attributed to the ghost of an ancient courtesan, back for revenge.",6.9,1.7731
Aaru,09-12-2005,Tamil,Suriya,Trisha Krishnan,Devi Sri Prasad,"A thug, with his partners, is chosen to work for a criminal gang and he becomes the left-hand man of the leader. The leader declares a war against another criminal and the thug has to protect him despite losing his friends.",5.976,1.1158
Sandakozhi,16-12-2005,Tamil,Vishal Krishna,Meera Jasmine,Yuvan Shankar Raja,"Balu, on a visit to his friend's hometown, falls for the latter's sister, Hema. When he learns that this area is ruled by a local goon, Kaasi, Balu teaches him a lesson. Now, Kaasi is seeking revenge.",6.8,1.0658
Daas,02-12-2005,Tamil,Ravi Mohan,Renuka Menon,Yuvan Shankar Raja,"Antony falls in love with Rajeswari who belongs to an upper caste family. When her father kills her sister for marrying a man from the lower caste, she decides to elope with Antony.",4.3,0.8978
ABCD,12-08-2005,Tamil,Shaam,Sneha,D. Imman,"Anandh, an MBA Chartered Accountant, runs from pillar to post in search of job. He stays in the house of an old Brahmin whose daughter Chandra  returns home following the death of her husband , who had been torturing her since their wedding. She slowly gets attracted towards Anandh for he shows love and affection towards her.Meanwhile, Anandh comes across Bharathy in a bus who misplaces his academic certificates. Bharathy is a woman with revolutionary ideas and looks after her whole family. A sequence of events brings them close leading to Bharathy developing love towards him. Meanwhile, Anandh comes across one Divya Daisy.She is an orphan brought by up church and goes to find a job herself and settles in life all out of her own efforts. Anandh rescues her from an accident and rushes her to a hospital. Over a period of time, they become very close friends eventually leading to Divya Daisy opening her heart to Anandh. Caught in a tight corner, who Anandh decides to marry forms the rest.",6.5,0.9371
Maayavi,05-05-2005,Tamil,Suriya,Jyothika,Devi Sri Prasad,"A famous actress, after being kidnapped by a fan of her's, starts liking him.",6.5,0.6616
Oru Naal Oru Kanavu,26-08-2005,Tamil,Srikanth,Sonia Agarwal,Ilaiyaraaja,"The story revolves around Maya (Sonia Agarwal), a college student, who always wants to triumphs in all her endeavors. She comes across a middle class youth, Cheenu (Srikanth), a happy-go-lucky-youngster, who strives to work hard to get his sisters married well.",3,0.7216
Devathayai Kanden,14-01-2005,Tamil,Dhanush,Sridevi Vijayakumar,Deva,"Babu, a tea vendor, loves Uma, a rich girl. She too loves him for his sincerity. When she receives a proposal from a doctor, she accepts for the sake of a secure future. Babu sues her for cheating.",5.7,0.6943
Sivakasi,01-11-2005,Tamil,Vijay,Asin Thottumkal,Deva,"Muthappa is forced to leave his house at a young age for a crime that his older brother, Udayappa, committed. When he returns home, he learns about his brother's antics and decides to punish him.",5.556,0.8348
Ayya,14-01-2005,Tamil,R. Sarathkumar,Nayanthara,Bharathwaj,A honest and peace loving village man turns into a politician but his past haunts him till he seeks redemption by surrendering himself to law.,5.429,0.6371
Jithan,06-05-2005,Tamil,Jithan Ramesh,Pooja Umashankar,Srikanth Deva,"A girl breaks up with her lover after a rich guy proposes marriage to her. The lover gets the power of invisibility due to an accident; he uses this to hurt his rival, play tricks on people and even commit crime.",7.5,0.6747
Ah Aah: Anbe Aaruyire,15-08-2005,Tamil,S. J. Suryah,Meera Chopra,A.R. Rahman,"Siva, an investigator, is in a live-in relationship with the rich and bratty Madhu. When Madhu starts a restaurant with her friend's brother, it leads to their break up.",6.8,0.5873
