Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Mankatha,31-08-2011,Tamil,Ajith Kumar,Trisha Krishnan,Yuvan Shankar Raja,"Vinayak, a suspended cop, helps a group of four men rob cricket betting money amounting to 500 crores INR. When it comes to splitting the amount, betrayal hits the team hard and a chase ensues.",6.7,2.4758
Osthe,22-11-2011,Tamil,Silambarasan,Richa Gangopadhyay,S. Thaman,"A police officer faces challenges from his family, gangsters and politicians and what happens in the end forms the crux of the story.",4.05,1.752
Yuddham Sei,03-02-2011,Tamil,Cheran,Dipa Shah,Krishna Kumar,A CBCID officer investigates an eccentric series of crimes happening in the city. His investigation leads him to unexpected crime perpetrators.,7.2,1.7765
Deiva Thirumagal,03-06-2011,Tamil,Vikram,Sara Arjun,G. V. Prakash Kumar,"An intellectually disabled man fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",7.333,1.7499
Rowthiram,12-08-2011,Tamil,Jiiva,Shriya Saran,Prakash Nikki,An angry young man who takes on the bad elements to clean the society.,5.286,1.4524
Engeyum Kadhal,06-05-2011,Tamil,Ravi Mohan,Hansika Motwani,Harris Jayaraj,"Kamal, a young billionaire, doesn't believe in love; his philosophy is simple: No love, no commitments = no disappointments. He works hard for 11 months and takes a month's break from all the work related commitments. Cute violinist Kayalvizhi alias Kayal believes in true love and is highly fascinated with Indian culture. Kayal's father Rajasekhar runs a small detective agency in France and Kayal often reads her father's case files for interesting stories. One day, Rajasekhar gets a new client who wants to know about his girlfriend's mystery man. After a brief investigation, Rajasekhar finds that his client's girlfriend is dating Kamal. Sonu gets angry and decides to kill his girlfriend and Kamal.",5.6,0.9508
Siruthai,14-01-2011,Tamil,Karthi,Tamannaah Bhatia,Vidyasagar,"A thief comes across a little girl who says that he's her father. When he learns the truth about his lookalike, who's an honest cop, he decides to turn a new leaf and help get rid of the local baddie.",5.9,1.2364
7Aum Arivu,26-10-2011,Tamil,Suriya,Shruti Haasan,Harris Jayaraj,A genetic engineering student tries to bring back the skills of a legend of the past and use his skills to save India from a deadly virus attack by China.,6.433,1.1867
Aadukalam,14-01-2011,Tamil,Dhanush,Taapsee Pannu,G. V. Prakash Kumar,"Pettaikaaran is famous in his town for an impeccable track record of successes in rooster fights. When one of his aides, Karuppu, goes against his word in a fight, it leads to an enmity between them.",7.6,1.0129
Kanchana,22-07-2011,Tamil,Raghava Lawrence,Kovai Sarala,S. Thaman,"Raghava (Lawrence) is a happy go lucky guy who loves to play cricket but is a chicken at heart. The very mention of the word ghost gives him shivers so much that he sleeps with his mom (Kovai Sarala). He is also in love with Priya (Lakshmi Rai). However, an attempt to play a cricket match in an unused ground leads Raghava to get something dark to his home. The dark spirit begins to cause few weird things at home and one day it enters the body of Raghava which goes on killing few specific people. Who is that evil spirit? Why is it killing few people? Can Raghava get rid of the spirit? All this forms the rest of the story.",5.5,0.8887
