Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Unnai Kodu Ennai Tharuven,25-05-2000,Tamil,Ajith Kumar,Simran,S A Rajkumar,"Surya (Ajith) has been brought up in the army barracks in Ooty, ever since his mother(Sukanya) handed him over as a baby to a brigadier (Nasser). She tells the officer the reason for her action but the audience is not allowed to hear it at this point. Surya grows up to be a patriotic youth and the best soldier in his class. He falls in love with Indu (Simran), the daughter of an army officer. Indu's parents accept her choice of husband but soon after, her father dies in a bomb blast while her mother loses her life on seeing her husband's body. Not wishing to lose her husband too in war, Indu asks Surya to choose between her and the army.",5,0.5735
Pennin Manathai Thottu,01-08-2000,Tamil,Prabhu Deva,Jaya Seal,S A Rajkumar,"Pennin Manadhai Thottu, the romance is quite uninteresting and barely manages to hold out interest. Sunil(Prabhu Deva) is one of the leading heart surgeons in the country. He lives with Ganpat(Mouli) and is loved by everyone in the family. Sunitha(Jeya Seel) arrives at the house, alongwith a kid who has a heart problem. But she lashes out at Sunil when she learns that he is the doctor and meets him face to face. Turns out she has had a bitter past with him. They had been in love in college but he had deserted her at a crucial time. So she hates him for it and doesn't even want him to...",0,0.2696
Vaanathaippola,13-01-2000,Tamil,Vijayakanth,Meena,S A Rajkumar,"ellaichaamy (Vijayakanth) thinks the world of his three brothers, even giving up marriage when he learns that the woman he loves plans to send them to a hostel after the wedding. The brothers live with their grandmother (S. N. Lakshmi). He works hard to raise them and they too reciprocate his love and affection. The eldest of the three, Muthu (Vijayakanth again), is a cook in a small hotel, When Vellachamy learns that Muthu is in love with his childhood playmate (Meena) he goes to the city to his friend (Rajiv) with the marriage proposal. Only to be insulted! Circumstances bring Muthu to the city, to the girl's palatial bungalow where he works as a cook. The girl is arrogant and rude till she realises that Muthu is her childhood pal. And now it is she who does all the wooing and persuades her father to get her married to Muthu.",6.5,0.3143
Kaadhal Rojave,14-01-2000,Tamil,George Vishnu,Pooja Kumar,Ilaiyaraaja,"A spoilt, rich girl who happens to be in love with a playboy, runs away from home and meets a 'poor' and irritating reporter of a small-time newspaper; after some initial hiccups love blossoms. Then misunderstandings crop up between the couple, What transpires later forms the crux of the story.",5,0.5534
Bharathi,01-09-2000,Tamil,Sayaji Shinde,Devayani,Ilaiyaraaja,"A biographical account of the life of the Indian freedom fighter, Mahakavi Subramaniya Bharathiar, who defied conventional norms to bring equality in society.",0,0.4266
James Pandu,21-04-2000,Tamil,R. Parthiban,Kausalya,S A Rajkumar,"James Pandu is a 2000 Tamil film directed by Selva. The film stars Parthiban, Prabhu Deva, Kausalya and Renu Desai in lead roles.",0,0.3544
Eazhaiyin Sirippil,03-02-2000,Tamil,Prabhu Deva,Kausalya,Deva,"Eazhaiyin Sirippil is a 2000 Tamil film directed by SUBHASH. The film stars Prabhu Deva, Kausalya, Roja and Suvalakshmi in lead roles.",7,0.3804
Kannaal Pesavaa,21-08-2000,Tamil,Arun Vijay,Suvalakshmi,Deva,"Kannaal Pesavaa is a 2000 Tamil film directed by Raj Khanna. The film stars Arunkumar, Suvalakshmi, Goundamani and Senthil in lead roles.",0,0.327
Kannukku Kannaga,26-10-2000,Tamil,Murali,Devayani,Deva,"Kannukku Kannaga is a 2000 Tamil film directed by S. Dhayalan. The film stars Murali, Devayani, Vindhya and Raja in lead roles.",0,0.3093
Uyirile Kalanthathu,23-09-2000,Tamil,Suriya,Jyothika,Deva,"A man, who is the youngest in the family and much pampered, is detested by his elder brother. He falls for a girl and decides to meet her family, but out of animosity, his brother damages his image in front of them.",4.9,0.3819
Ennamma Kannu,16-06-2000,Tamil,Sathyaraj,Devayani,Deva,"Ennamma Kannu is a 2000 Indian Tamil drama film, directed by Sakthi Chidambaram, starring Sathyaraj, Devayani and Ranjith in lead roles. The film had musical score by Deva and was released in 2000.",0,0.2803
Veeranadai,21-04-2000,Tamil,Sathyaraj,Khushboo,Deva,"After the death of his sister, Periyakaruppu vows not to marry and raise his niece, Poomayil. When Poomayil grows up, she finds out about her uncle's sacrifices for her and decides to marry him.",0,0.2421
Doubles,11-08-2000,Tamil,Prabhu Deva,Sangeetha Krish,Srikanth Deva,"Doubles is a 2000 Tamil film directed by Pandiarajan. The film stars Prabhu Deva, Pandiarajan, Meena and Sangeetha in lead roles.",0,0.2166
Unnai Kann Theduthey,01-09-2000,Tamil,Sathyaraj,Khushboo,Deva,The police find a dead body in a river holding on to a 'thaali' and a wedding invitation. They begin an investigation that takes them to a house where wedding preparations are in full swing.,0,0.1714
Kannan Varuvaan,25-05-2000,Tamil,Goundamani,Raasi,Sirpi,"Kannan's (Karthik) ambition in life is to take up the construction of the temple left incomplete by his forefathers. Funds are not forthcoming. Goundamani assures him that with his employer's help Kannan's dream could become a reality. But Goundamani is disappointed when his employer, the wealthy landlady's (Manorama) grandson Raghu (Ranjith) turns out to be money minded and heartless. In a fit of anger, Goundamani pushes him into the waters of a river and thinks he has committed a murder. Predictably Kannan is made to enter the scene as an impostor. What follows next forms the crux of the story.",0,0.3182
Vaanavil,27-10-2000,Tamil,Arjun Sarja,Abhirami,Deva,,5.5,0.2828
Athey Manithan,28-04-2000,Tamil,Livingston,Maheswari,Adhithyan,"Despite being in love with Bhagavathi, a poor dancer, Mandhira chooses to marry Bhavani, a rich girl. He ends up killing a pregnant Bhagavathi when she shows up just before his marriage.",0,0.1887
Kakkai Siraginilae,09-03-2000,Tamil,R. Parthiban,Preetha Vijayakumar,Ilaiyaraaja,,0,0.2088
Krodham 2,01-09-2000,Tamil,Prem Menon,Khushboo,Deva,"Krodham 2 is a 2000 Indian Tamil language thriller film, produced, written and directed by Prem Menon. The film stars Prem Menon himself, alongside Radhika Chaudhari and Khushbu, while Nassar and Mansoor Ali Khan portray supporting roles.",0,0.0841
