Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Ra.One,24-10-2011,Hindi,Shah Rukh Khan,Kareena Kapoor Khan,Shekhar Ravjiani,"When the titular antagonist of an action game takes on physical form, it's up to the game's less powerful protagonist to save the world.",5.69,3.9332
Rockstar,11-11-2011,Hindi,Ranbir Kapoor,Nargis Fakhri,A.R. Rahman,"College student Janardhan is a simpleton who desperately seeks inspiration for the musician inside him. Although heartbreak helps him reach his goal, it also leads him to self-destruction.",7.3,2.858
Singham,22-07-2011,Hindi,Ajay Devgn,Kajal Agarwal,Amar Mohile,"An honest, small town cop is transferred to a big city that is controlled by a crime boss that he had once humiliated.",6.5,2.4107
Zindagi Na Milegi Dobara,15-07-2011,Hindi,Hrithik Roshan,Katrina Kaif,Loy Mendonsa,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?",7.6,2.6797
Bodyguard,31-08-2011,Hindi,Salman Khan,Kareena Kapoor Khan,Himesh Reshammiya,"Lovely Singh is extremely respectful of Mr Rana and his daughter Divya. While appointed as Divya's bodyguard, he falls in love with a girl he has never met, unaware that she is none other than Divya.",5.194,2.1104
Desi Boyz,25-11-2011,Hindi,Akshay Kumar,Deepika Padukone,Pritam Chakraborty,"When two cash-strapped UK-based Indians become male escorts amid an economic downturn, money flows right in but everything else in their lives starts falling apart.",6.2,2.1659
Don 2,23-12-2011,Hindi,Shah Rukh Khan,Priyanka Chopra Jonas,Loy Mendonsa,"Having conquered the Asian underworld, crime boss Don sets in motion a plan that will give him dominion over Europe.",6.979,2.4196
The Dirty Picture,02-12-2011,Hindi,Emraan Hashmi,Vidya Balan,Shekhar Ravjiani,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",6.3,1.5479
Ready,03-06-2011,Hindi,Salman Khan,Asin Thottumkal,Pritam Chakraborty,"Prem believes Sanjana is the girl chosen by his dad and falls in love with her. However, she is a runaway bride escaping from a marriage set up by her mafia uncles against her wishes. On learning the truth, he devises a plan to win her over from her uncles who intend to usurp her huge inheritance.",5,1.5658
No One Killed Jessica,07-01-2011,Hindi,Neil Bhoopalam,Rani Mukerji,Amit Trivedi,The true story of model Jessica Lall who was shot dead in a restaurant and the campaign to bring her killer to justice.,6.753,1.3586
Pyaar Ka Punchnama,20-05-2011,Hindi,Kartik Aaryan,Nushrratt Bharuccha,A.D. Boys,Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.,6.8,1.1626
Game,01-04-2011,Hindi,Abhishek Bachchan,Kangana Ranaut,Ehsaan Noorani,"Four strangers are invited by the reclusive Kabir Malhotra, to his private island of Samos, Greece. They don't know each other and they don't know him ... and by the next morning they will wish they had never come.",5.7,1.6712
Delhi Belly,01-07-2011,Hindi,Imran Khan,Shenaz Treasury,Ram Sampath,"Three unsuspecting, average guys find themselves on the hit list of one of India's most-powerful crime syndicates.",7.1,1.3623
Mere Brother Ki Dulhan,09-09-2011,Hindi,Ali Zafar,Katrina Kaif,Sohail Sen,A Mumbai man finds himself in an unpredictable situation when the prospective bride of his older brother is a woman he has history with.,6,1.3657
Dum Maaro Dum,22-04-2011,Hindi,Abhishek Bachchan,Bipasha Basu,Pritam Chakraborty,"ACP Vishnu is sent on a mission to investigate and clean the underbelly of Goa. During his investigation, he uncovers a huge racket and discovers the involvement of various politicians.",5.7,1.4533
7 Khoon Maaf,18-02-2011,Hindi,Vivaan Shah,Priyanka Chopra Jonas,Vishal Bhardwaj,"Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously.",6.3,1.2448
Ladies VS. Ricky Bahl,08-12-2011,Hindi,Ranveer Singh,Anushka Sharma,Sulaiman Merchant,"A smooth and charming conman, Ricky Bahl, cons girls for a living but finally meets his match is this fun-filled ""ROM-CON.""",5.9,1.1054
Shaitan,01-06-2011,Hindi,Rajeev Khandelwal,Kalki Koechlin,Prashant Pillai,Five substance-abusing friends decide to fake a kidnapping in order to bribe a police constable for covering-up a hit-and-run accident.,6.2,0.9605
Aarakshan,12-08-2011,Hindi,Amitabh Bachchan,Deepika Padukone,Ehsaan Noorani,The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.,6.1,1.0859
