Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
3 Idiots,23-12-2009,Hindi,Aamir Khan,Kareena Kapoor Khan,Shantanu Moitra,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",8,11.9099
Billu,13-02-2009,Hindi,Irrfan Khan,Lara Dutta,Pritam Chakraborty,"When a famous Bollywood actor visits a small village for a film's shoot, a poor hairdresser's claim that they were once childhood friends soon makes him the centre of attention.",6.3,2.6565
Aladin,29-10-2009,Hindi,Ritesh Deshmukh,Jacqueline Fernandez,Vishal Dadlani,"Based in the municipality of Khwaish, abused by his classmates, Aladin Chatterjee, who was orphaned when his parents, Arun and Riya, died in an accident in Siachen Valley, lived with his paternal grandfather until the later's passing. Now alone, grown up, studying in Khwaish University, and still being abused by fellow-college mates, he finds himself smitten by the lovely US Exchange Student, Jasmine. Unable to express his feelings for her, he rubs a lamp that was gifted to him on his birthday, which summons a genie named Genius. He gets 3 wishes, but wastes 2 of them, but on the 3rd one he insists that Genius assist him to win Jasmine's heart without any magical tricks. Hilarious chaos result when everything seems to fail while an immortal and deadly entity, Ringmaster, and his hordes, prepares to confront Genius and Aladin so that he can acquire more magical powers with the help of the lamp on the day of the sighting of a rare comet and the truth behind the death of Aladin's parents.",6.189,1.606
Love Aaj Kal,31-07-2009,Hindi,Saif Ali Khan,Deepika Padukone,Pritam Chakraborty,Two lovers break up after they realize that their career goals are pulling them in different directions.,6.3,2.0113
Wake Up Sid,02-10-2009,Hindi,Ranbir Kapoor,Konkona Sen Sharma,Ehsaan Noorani,"Wake Up Sid! is the story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai.",7.23,1.7582
Luck by Chance,30-01-2009,Hindi,Farhan Akhtar,Konkona Sen Sharma,Ehsaan Noorani,"Not wanting the same fate as befell her sisters, Sona Mishra re-locates to Mumbai to try to make a living making movies, but she soon finds that the path she has chosen is not an easy one.",6.5,1.9435
Rocket Singh: Salesman of the Year,11-12-2009,Hindi,Ranbir Kapoor,Gauahar Khan,Salim Merchant,"Rocket Singh: Salesman of the Year is the sometimes thoughtless, sometimes thoughtful story of a fresh graduate trying to find a balance between the maddening demands of the 'professional' way, and the way of his heart - and stumbling upon a crazy way which turned his world upside down, and his career right side up. Welcome to the world of sales boss!",6.8,1.8515
Ajab Prem Ki Ghazab Kahani,06-11-2009,Hindi,Ranbir Kapoor,Katrina Kaif,Salim Merchant,"When his love interest doesn't show up for a meeting, a man and his friends go to Goa in order to find her, where they discover she loves someone else.",6.2,1.8367
Wanted,18-09-2009,Hindi,Salman Khan,Ayesha Takia,Sajid Ali Khan,"Radhe is a hardcore gangster. A sharpshooter with a sharp brain, he works for Gani Bhai, the dreaded Mafioso, but on his own terms. Totally fearless, Radhe single handedly eliminates Gani Bhai's enemies one by one; making more enemies than he bargained for.",5.8,2.1453
Kambakkht Ishq,03-07-2009,Hindi,Akshay Kumar,Kareena Kapoor Khan,Anu Malik,Kambakkht Ishq is about a stuntman and a supermodel that don't believe in love but through a hilarious series of events they fall for each other.,4.2,1.9584
New York,26-06-2009,Hindi,John Abraham,Katrina Kaif,Julius Packiam,New York is a contemporary story of friendship set against the larger than life backdrop of a city often described as the centre of the world. Omar has gone abroad for the first time in his life and soon enough he begins to see and love America through the eyes of his American friends - Sam and Maya. It is the story of these three friends discovering a new world together.,6.3,1.7597
De Dana Dan,27-11-2009,Hindi,Akshay Kumar,Katrina Kaif,RDB,Two down on their luck men try to kidnap a wealthy businesswoman's dog to demand a hefty ransom from her.  But things go haywire when the dog goes missing.,5.6,1.4181
Paa,04-12-2009,Hindi,Amitabh Bachchan,Vidya Balan,Ilaiyaraaja,"Auro suffers from a progeria like syndrome. Mentally he is 13 but physically he looks 5 times older. In spite of his condition, Auro is a very happy boy. He lives with his mother Vidya, who is a gynaecologist. Amol is young, progressive politician. He is a man with a mission. Auro is Amol's son. Paa is a 'rare' story about a father-son, son-father relationship.",6.3,1.3072
