Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Chhorii,26-11-2021,Hindi,Rajesh Jais,Nushrratt Bharuccha,Ranjan Patnaik,"Sakshi is eight months pregnant with her first child when she and Hemant are forced out of their home. They escape from the city and seek refuge in a house located deep inside sugarcane fields. The house is ridden with dark secrets that start unravelling as the story unfolds, posing a threat to Sakshi and her unborn child. Even as Sakshi tries to save herself and her unborn baby, scary sightings of three mysterious kids and a charred monster coupled with an eerie lullaby, emanating from an old transistor, wreak havoc with her sanity.",6,8.7455
The Girl on the Train,26-02-2021,Hindi,Tota Roy Chowdhury,Parineeti Chopra,Pritam Chakraborty,"When a voyeuristic divorcee fixates on the lives of a perfect couple a far, she soon gets embroiled in a murder mystery that unfolds revealing truths about her own life.",6.006,4.6862
Shershaah,12-08-2021,Hindi,Sidharth Malhotra,Kiara Advani,Azeem Dayani,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",7.2,4.1371
Sooryavanshi,05-11-2021,Hindi,Akshay Kumar,Katrina Kaif,JAM8,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",5.8,3.6412
Sardar Udham,16-10-2021,Hindi,Vicky Kaushal,Kirsty Averton,George Joseph,"A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",7.1,3.7808
State of Siege: Temple Attack,09-07-2021,Hindi,Akshaye Khanna,Manjari Fadnnis,Kartik Shah,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",6.1,2.1757
Haseen Dillruba,30-06-2021,Hindi,Vikrant Massey,Taapsee Pannu,Amit Trivedi,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",6.6,2.3168
Shiddat,01-10-2021,Hindi,Mohit Raina,Radhikka Madan,Manan Bhardwaj,"Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding as he doesn't want to be friend-zoned.",6.8,2.3002
Roohi,11-03-2021,Hindi,Rajkummar Rao,Janhvi Kapoor,Ketan Sodha,Roohi is set in a fictional town of North India. The film revolves around two small-town boys Bhaura and Kattanni who are stuck in a forest with Roohi. But there’s an insidious spirit following them with feet turned backwards.,4.4,1.9872
Ajeeb Daastaans,16-04-2021,Hindi,Abhishek Banerjee,Konkona Sen Sharma,John Stewart Eduri,An anthology of four stories that explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,6.2,1.3404
83,23-12-2021,Hindi,Ranveer Singh,Deepika Padukone,Julius Packiam,"On the 25th of June 1983, the Lord’s Cricket Ground witnessed one of the biggest underdog stories in the history of sports. Fourteen inspired players - led by a man's self-belief and conviction - fought against all odds and orchestrated India’s greatest sporting triumph by beating the two-time World Champions West Indies.",7.152,1.9077
The Big Bull,08-04-2021,Hindi,Abhishek Bachchan,Ileana D'Cruz,Chandan Saxena,"Inspired by events from the late '80s and the early '90s that shook the country's financial fabric, The Big Bull tells the story of the biggest hustle in the stock market.",5.2,1.5852
Meenakshi Sundareshwar,05-11-2021,Hindi,Abhimanyu Dasani,Sanya Malhotra,Justin Prabhakaran,"Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups — and hilarity — that arise from their long-distance marriage.",5.5,1.5843
Ramprasad Ki Tehrvi,01-01-2021,Hindi,Naseeruddin Shah,Konkona Sen Sharma,Sagar Desai,"Ramprasad's entire family gathers under one roof for 13 days after his death, to perform and observe the Hindu traditions and rituals called the tehrvi. During the course, the family’s dynamics, politics, and insecurities come out, and then they realise that the importance of people and things are only evident in retrospect.",6.2,1.6478
200: Halla Ho,20-08-2021,Hindi,Amol Palekar,Rinku Rajguru,Anshuman Mukherjee,"Inspired by true events, the film narrates the story of women terrorised by a mobster who gang-raped, robbed, terrorised and murdered 300 families for 15 years until he met his nemesis in a young Dalit girl.",8.5,0.7942
Radhe,12-05-2021,Hindi,Salman Khan,Disha Patani,Wajid Khan,"As Mumbai’s youth are falling prey to rampant drug abuse, suspended cop Radhe is recalled for a clean-up mission. But Radhe is up against a dangerous new outlaw Rana, who will stop at nothing to rule the city.",4.2,1.4743
Chehre,27-08-2021,Hindi,Amitabh Bachchan,Krystle D'Souza,Clinton Cerejo,"An ad agency executive takes shelter at an old man's home in mountains amid a dangerous snow storm, but soon finds himself trapped with no way out when the man and his clan of veterans hook him for a game of crime and punishment.",6.5,1.1162
Pagglait,26-03-2021,Hindi,Ashutosh Rana,Sanya Malhotra,Arijit Singh,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",6.7,1.5268
Madam Chief Minister,22-01-2021,Hindi,Saurabh Shukla,Richa Chadha,Mangesh Dhakade,A political-drama where a young woman from a small village rises to power into the world of politics by breaking barriers of caste and patriarchy and overcomes the obstacles placed by her opponents to become the chief minister and work for the upliftment of backward classes.,5.8,1.1512
Mimi,26-07-2021,Hindi,Pankaj Tripathi,Kriti Sanon,A.R. Rahman,"An aspiring actress in a small town in Rajasthan agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes an unexpected turn when they refuse to have the child anymore.",6.8,1.6139
Sardar Ka Grandson,18-05-2021,Hindi,Arjun Kapoor,Neena Gupta,Tanishk Bagchi,"A devoted grandson's mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair.",7.2,1.2382
Dhamaka,19-11-2021,Hindi,Kartik Aaryan,Amruta Subhash,Vishal Khurana,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",6.9,1.6631
Tribhanga,15-01-2021,Hindi,Kunaal Roy Kapur,Kajol,Sanjoy Chowdhury,"When her estranged mother falls into a coma, a self-made single mom grapples with regret and resentment while reflecting on their strained relationship.",7.1,1.4938
