Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Samrat Prithviraj,03-06-2022,Hindi,Akshay Kumar,Manushi Chhillar,Shankar Mahadevan,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",6.917,6.1867
Attack,01-04-2022,Hindi,John Abraham,Rakul Preet Singh,Shashwat Sachdev,"With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi.",6.8,5.4727
Brahmāstra Part One: Shiva,08-09-2022,Hindi,Ranbir Kapoor,Alia Bhatt,Simon Franglen,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.",6.4,4.5259
Laal Singh Chaddha,11-08-2022,Hindi,Aamir Khan,Kareena Kapoor Khan,Pritam Chakraborty,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",6.5,3.6791
Bhool Bhulaiyaa 2,20-05-2022,Hindi,Kartik Aaryan,Kiara Advani,Tanishk Bagchi,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for eighteen years.",6.4,2.7836
Chup,23-09-2022,Hindi,Dulquer Salmaan,Shreya Dhanwanthary,Amit Trivedi,"A series of bizarre and disturbing murders rock the city of Mumbai. Film critics are being killed week after week with the release of every new film. Arvind Mathur, Head of Crime Branch Mumbai, is tasked with solving the case. With the help of Zenobia, a criminal psychologist, he tries to understand the mind of the killer to trap him.",6.5,2.3786
Drishyam 2,18-11-2022,Hindi,Ajay Devgn,Tabu,Devi Sri Prasad,"7 years after the case related to Vijay Salgaonkar and his family was closed, a series of unexpected events bring truth to light that threatens to change everything for the Salgaonkars. Can Vijay save his family this time?",7.9,3.1909
Gangubai Kathiawadi,24-02-2022,Hindi,Ajay Devgn,Alia Bhatt,Sanjay Leela Bhansali,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",7.426,2.2955
Ek Villain Returns,29-07-2022,Hindi,John Abraham,Tara Sutaria,Ankit Tiwari,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman's son cross paths in a twisted tale where good and evil is blurred.",6,2.2963
Mili,04-11-2022,Hindi,Manoj Pahwa,Janhvi Kapoor,A.R. Rahman,"Mili Naudiyal, a nursing graduate is planning to move to Canada. She takes up a job at a food outlet for the time being but her sudden disappearance without a clue leaves her loved ones in a desperate search for her in this survival drama.",6.3,1.6685
The Kashmir Files,11-03-2022,Hindi,Mithun Chakraborty,Pallavi Joshi,Swapnil Bandodkar,"Based on a true tragedy, the emotionally triggering film sheds light on the plight of Kashmiri Pandits (Hindus), a religious minority in the 1990s Kashmir valley, who were compelled to flee their homes by the Islamic militants.",7.194,2.0589
Gehraiyaan,11-02-2022,Hindi,Siddhant Chaturvedi,Deepika Padukone,Ankur Tewari,"Alisha Khanna, 30, ambitious, now finds herself at crossroads in life. Her six year long relationship has grown monotonous, her career seems to be going nowhere. But just when she had begun to accept this reality as unchangeable, her life is usurped by the arrival of her cousin, Tia and her fiancé, Zain, with whom she bonds over a troubled past and a common wish to break from its confines.",5.406,1.9649
Thank God,25-10-2022,Hindi,Sidharth Malhotra,Rakul Preet Singh,Tanishk Bagchi,"An egoistic real estate broker in huge debts, meets with an accident. As he gains consciousness, he realizes that he is in heaven. God appears before him and informs him that he must play a 'Game of Life'. If he manages to win, he will be sent back to earth; if he loses, he will be sent to hell.",6.4,1.9853
Looop Lapeta,04-02-2022,Hindi,Tahir Raj Bhasin,Taapsee Pannu,Santanu Ghatak,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",6.1,1.5153
Cuttputlli,02-09-2022,Hindi,Akshay Kumar,Rakul Preet Singh,Tanishk Bagchi,"When a small town gets plunged into the nightmare of serial killings, rookie cop Arjan embarks on a chase for the truth and unravels a gruesome conspiracy.",5.6,1.889
Dobaaraa,19-08-2022,Hindi,Pavail Gulati,Taapsee Pannu,Shor Police,"In the 1990s, during a wild thunderstorm night, 12-year-old Anay dies in a road accident shortly after he sees his next-door neighbor committing a crime. Twenty-five years later, in a strange turn of events, on an identical stormy night, Antara finds herself in front of a TV set through which she attempts to save Anay’s life but her good deed causes a disturbing chain of unexpected consequences.",5.5,1.3179
Darlings,05-08-2022,Hindi,Vijay Varma,Alia Bhatt,Prashant Pillai,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",6.942,1.5842
Doctor G,14-10-2022,Hindi,Ayushmann Khurrana,Rakul Preet Singh,Amjad Nadeem,"Uday Gupta, a medical college student wanted to specialise in Orthopaedic, but is stuck in an all-female class of Gynaecology. Will he change his department, or will the department change him?",6.1,1.158
Cirkus,23-12-2022,Hindi,Ranveer Singh,Pooja Hegde,Devi Sri Prasad,"Two sets of identical twins are accidentally separated at birth. Several years later, when they are coincidentally in the same town, there is a lot of confusion and misunderstanding when people mistake them for each other.",3.7,1.5779
Phone Bhoot,04-11-2022,Hindi,Ishaan Khatter,Katrina Kaif,Roy,"Two crazy, jobless, horror-film addicts Major and Gullu, under immense family pressure to find work, hit upon the idea to float a unique ghost-capturing service when they meet a spirit, Ragini, who makes their business a success but in return asks them for a favour which they are compelled to honour.",5.1,1.4425
Jersey,22-04-2022,Hindi,Shahid Kapoor,Mrunal Thakur,Parampara Thakur,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",7.1,2.0984
Dasvi,07-04-2022,Hindi,Abhishek Bachchan,Yami Gautam,Sachin Sanghvi,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",5.6,1.387
Bachchhan Paandey,18-03-2022,Hindi,Akshay Kumar,Kriti Sanon,Amaal Mallik,A budding director tries to research a merciless gangster for making a film on gangsterism. But her secret attempts to conduct the research fail when she gets caught for snooping.,5.3,1.4322
