Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Angry Indian Goddesses,04-12-2015,Hindi,Arjun Mathur,Sarah-Jane Dias,Cyril Morin,A photographer invites her closest friends to vacation at her family's home in Goa in celebration of her upcoming marriage.,6.9,1.6039
Singh Is Bliing,02-10-2015,Hindi,Akshay Kumar,Amy Jackson,Meet Bros Anjjan,"Raftaar Singh is always looking to have fun and runs away from responsibility. Fed up, his father orders Raftaar to go to Goa and work, and learn to take on responsibility. Once in Goa, he impresses his new boss with his enthusiasm and creative thinking. Soon he gets an assignment, and meets Sara Amy Jackson - and thus begins their unique love story. What ensues is a great comedy of errors, as one hilarious situation after another unfolds. Raftaar falls head over heels for this exotic, mysterious girl. The romance takes a deadly turn when he realizes that Sara is not who he thinks she is and has an agenda, which takes him to Romania. Will Raftaar be able to win her over in a distant and dangerous land?",5.4,1.5281
Hunterrr,20-03-2015,Hindi,Gulshan Devaiah,Radhika Apte,Khamosh Shah,"An ordinary bachelor pursues girls like a hunter, but not with the intention of settling down in life.",6.191,1.352
Hero,11-09-2015,Hindi,Sooraj Pancholi,Athiya Shetty,Manmeet Singh,"After meeting the chief of police's pretty daughter, a gangster kidnaps the girl. During the journey they fall in love and the gangster decides to set her free.",6.018,1.499
Badlapur,20-02-2015,Hindi,Varun Dhawan,Huma Qureshi,Jigar Saraiya,"After his wife and son are killed, a young man finds out the man behind the murder and fights against him, along committing some big mistakes.",6.923,1.4724
Hate Story 3,04-12-2015,Hindi,Sharman Joshi,Zareen Khan,Harmeet Singh,Siya appears to be the bone of contention between warring businessmen Aditya and Saurav. But this one runs deeper than your average love triangle.,4.9,1.2674
Umrika,29-07-2015,Hindi,Suraj Sharma,Smita Tambe,Dustin O'Halloran,"When a young village boy discovers that his brother, long believed to be in America, has actually gone missing, he begins to invent letters on his behalf to save their mother from heartbreak, all the while searching for him.",6.041,1.3344
Tanu Weds Manu: Returns,22-05-2015,Hindi,R. Madhavan,Kangana Ranaut,Tanishk Bagchi,"After Tanu and Manu's marriage breaks apart, the latter finds himself smitten by Datto, a lookalike of his ex-wife. But the estranged couple's feelings begin to spark again.",6.839,1.131
Phantom,28-08-2015,Hindi,Saif Ali Khan,Katrina Kaif,Pritam Chakraborty,"Phantom is an action thriller that unfolds across various countries around the world. The plot revolves around protagonist Daniyal, whose journey to seek justice takes him from India to Europe, America and the volatile Middle East. However, he finds out that in a mission like this, there is always a price to pay, in this case, a very personal price.",5.7,1.2455
Haraamkhor,02-11-2015,Hindi,Nawazuddin Siddiqui,Shweta Tripathi Sharma,Jasleen Kaur Royal,"When a vulnerable new student finds comfort in her brash teacher, their academic relationship takes a manipulative and troubling turn.",5.7,1.2639
Hey Bro,06-03-2015,Hindi,Ganesh Acharya,Mahie Gill,Sony Chandy,"Gopi is a care-free, oversized young guy who lives with his grandfather. He suddenly discovers that his parents had separated following a spat right after his birth and he has a twin brother who lives in Mumbai with their mother...",3.5,1.1887
