Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Uri: The Surgical Strike,11-01-2019,Hindi,Vicky Kaushal,Yami Gautam,Shashwat Sachdev,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",7,7.6981
Kesari,21-03-2019,Hindi,Akshay Kumar,Parineeti Chopra,Jasbir Jassi,"In 1897, an army of 21 Sikhs battles 10,000 Afghans to prevent the Saragarhi Fort from being taken down.",7.106,6.7274
War,02-10-2019,Hindi,Hrithik Roshan,Anupriya Goenka,Shekhar Ravjiani,"Khalid, entrusted with the task of eliminating former soldier turned rogue Kabir, engages in an epic battle with his mentor who taught him everything.",6.8,3.6816
Student of the Year 2,10-05-2019,Hindi,Tiger Shroff,Ananya Panday,Shekhar Ravjiani,"A student must overcome bullies and hardships, both academic and romantic, in order to win his college's coveted Student of the Year trophy.",4.4,3.9467
Fraud Saiyaan,18-01-2019,Hindi,Arshad Warsi,Flora Saini,Sumit Armaan,The story of a con artist in North India who convinces women to marry him just so he can live off their money.,4.2,2.8754
Badla,08-03-2019,Hindi,Amitabh Bachchan,Taapsee Pannu,Amaal Mallik,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,7.361,2.3508
Kalank,17-04-2019,Hindi,Varun Dhawan,Alia Bhatt,Sanchit Balhara,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down.",5.6,2.973
Posham Pa,21-08-2019,Hindi,Imaad Shah,Mahie Gill,Prabuddha Banerjee,Gundeep and Nikhat are making a documentary on the government-based project of psycho women who killed several kids with her daughters. Prajakta Deshpande was a psycho woman who would sleep with men and kill them after robbing their valuables this bought a very bad upbringing for her daughter Rega who also lost mental imbalance as she was badly abused by Prajakta. Prajakta then married military officer Deshpande and had a daughter Shikha and things were going fine but old habits die soon.,6,2.2961
Bharat,05-06-2019,Hindi,Salman Khan,Katrina Kaif,Julius Packiam,"At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.",6.2,2.3947
Article 15,28-05-2019,Hindi,Ayushmann Khurrana,Isha Talwar,Anurag Saikia,"A young IPS officer’s new posting in rural India has him confronting caste disparities and uncomfortable truths in the face of a gruesome crime. When three girls go missing in the fictional village of Lalgaon, two of them are found dead and there is no trace of the third one. Where is she and who is responsible for this heinous act?",7.536,1.9587
