Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Devdas,11-07-2002,Hindi,Shah Rukh Khan,Aishwarya Rai Bachchan,Bishwadeep Dipak Chatterjee,"In 1900s India, Calcuttan zamindar Devdas Mukherjee — unable to marry his lover — takes up alcohol and the company of a courtesan to alleviate the pain.",7.503,2.7671
Mujhse Dosti Karoge!,08-08-2002,Hindi,Hrithik Roshan,Rani Mukerji,Rahul Sharma,"A man falls in love with his childhood friend, but her sister is the one who reciprocates his feelings.",6.2,2.3696
Kuch Tum Kaho Kuch Hum Kahein,28-06-2002,Hindi,Vikram Gokhale,Farida Jalal,R. P. Patnaik,"Two feuding neighbouring families are brought together to celebrate the wedding anniversary of Vishnupratap Singh (Vikram Gokhale) and his wife (Farida Jalal), much to the dislike of Rudra Pratap (Sharad Kapoor). During this get together Abhayendra Singh (Fardeen Khan) falls in love with Mangala Solanki (Richa Pallod). Abhayendra comes to know of the background of the two families' feud, and makes attempts to reconcile the two families - with disastrous results.",6.9,1.3284
Aap Mujhe Achche Lagne Lage,19-04-2002,Hindi,Hrithik Roshan,Ameesha Patel,Rajesh Roshan,"Sapna Dholakia desires nothing more than to be married to her love Rohit, but her conservative family and stubborn father will stop at nothing to make sure she marries the son of a friend of the family.",5.1,1.3041
Shakti: The Power,20-09-2002,Hindi,Nana Patekar,Karisma Kapoor,Ismail Darbar,A couple visits the husband's family in India and finds itself in the middle of a fratricidal battle.,6.4,1.4095
Saathiya,20-12-2002,Hindi,Vivek Oberoi,Rani Mukerji,A.R. Rahman,A couple elopes to get married and set up home hoping that just love will do the trick - but that's just the beginning of their story.,6,1.5722
Hum Kisi Se Kum Nahin,31-05-2002,Hindi,Ajay Devgn,Aishwarya Rai Bachchan,Anu Malik,"The movie revolves around Munnabhai a dreaded but good-hearted underworld don of Mumbai. Once while beating up one of his foes, he sees Komal and is so smitten by her beauty that he starts visualizing her wherever he goes and in whatever he does. Not understanding this new phenomenon in Munnabhai""s life, his men take him to Doctor Rastogi. The Doctor realizes it""s a love virus so he advises him to woo the girl somehow, not realizing that Munnabhai has fallen for none other than his own younger sister Komal. Munnabhai starts wooing Komal but she is in love with Raja, a local vagabond doing nothing except working in a bowling alley as a bouncer. It is not long before the doctor realizes that his underworld patient is in love with his own sister, so he decides to take her to Malaysia and get her married off...",5.8,1.3019
Raaz,01-02-2002,Hindi,Dino Morea,Bipasha Basu,Daboo Malik,"Sanjana and Aditya decide to give their marriage one last chance. They plan a holiday in Ooty, but they don't know that a vengeful spirit is waiting for them.",5.846,1.2476
The Legend of Bhagat Singh,07-06-2002,Hindi,Ajay Devgn,Amrita Rao,A.R. Rahman,"Born in British India, Bhagat Singh witnesses numerous atrocities during his childhood and grows up to become one of the most fearless freedom fighters in the country.",7,1.4605
Waah! Tera Kya Kehna,01-11-2002,Hindi,Govinda,Raveena Tandon,Jatin Pandit,"Kishan Oberoi has three sons - Dilip, Ashish, and Raj. While Dilip and Ashish are married, Raj (Govinda) is in love with Meena. Kishan does not trust his two elder sons, but trusts Raj, and Raj in turn, is devoted to his dad. One day Raj loses his mind in an accident, and the two elder brothers begin a conspiracy that includes the death of their dad, and the disinheritance of their brother Raj, by declaring him mentally incompetent. Raj mysteriously disappears, and Kishan falls off a building; Murari, a greedy employee of the Oberoi family, brings in a look-alike of Raj, namely Banne Khan (also Govinda), and his wife, Salma Khan, who poses as his nurse, so that Banne Khan and Murari both rule over the Oberoi family, and reap the benefits.",6,0.9857
Dil Vil Pyar Vyar,18-10-2002,Hindi,R. Madhavan,Namrata Shirodkar,Rahul Dev Burman,"Three friends, who have known each other for a long time, decide to enter a singing and musical competition. The events that lead to this competition, and their personal lives, including their romantic ties, is the theme of this movie. Included are popular Burman Movie songs, a delight to hear any time.",5.3,0.8849
Hum Tumhare Hain Sanam,24-05-2002,Hindi,Shah Rukh Khan,Madhuri Dixit,Daboo Malik,"Radha and Suraj have been friends since childhood. Gopal has been in love with Radha ever since they spent a few years together as kids. Years later, Gopal's guardian proposes to Radha a marriage with Gopal, and she accepts.",5.5,0.8969
