Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Aashiqui 2,26-04-2013,Hindi,Aditya Roy Kapur,Shraddha Kapoor,Jeet Gannguli,"A young woman meets a failing musician who launches her singing career, but their relationship is doomed when people assume he's with her for her fame and fortune.",6.8,7.864
Chennai Express,08-08-2013,Hindi,Shah Rukh Khan,Deepika Padukone,Vishal Dadlani,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",6.5,4.8605
Dhoom 3,19-12-2013,Hindi,Aamir Khan,Katrina Kaif,Pritam Chakraborty,"To avenge his father's death, a circus entertainer trained in magic and acrobatics robs banks to take down a corrupt bank owner. Two cops from Mumbai are assigned to the case.",6.1,4.1771
Raanjhanaa,21-06-2013,Hindi,Dhanush,Sonam Kapoor Ahuja,A.R. Rahman,A small-town boy needs to break through the class divide to gain acceptance from his childhood sweetheart who is in love with big city ideals.,6.6,3.0887
The Lunchbox,20-09-2013,Hindi,Irrfan Khan,Nimrat Kaur,Max Richter,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.",7.328,3.2377
Krrish 3,01-11-2013,Hindi,Hrithik Roshan,Priyanka Chopra Jonas,Salim Merchant,Krrish and his father must team up to save the world from a psychokinetic evil man named Kaal and his army of mutants.,5.6,2.8901
Yeh Jawaani Hai Deewani,31-05-2013,Hindi,Ranbir Kapoor,Deepika Padukone,Pritam Chakraborty,"On a trekking trip, an introverted Naina falls for a charming ex-classmate, whose thirst for adventure drives them apart. Years later, their paths cross again.",7.252,2.8431
Goliyon Ki Raasleela Ram-Leela,14-11-2013,Hindi,Ranveer Singh,Deepika Padukone,Sanjay Leela Bhansali,Ran and Leela are passionately in love with each other. The only problem is that their respective clans have been enemies for 500 years.,7,2.4225
Ramaiya Vastavaiya,19-07-2013,Hindi,Girish Kumar,Shruti Haasan,Jigar Saraiya,A wealthy NRI falls hard for a country girl during a visit to his homeland.,6.1,2.6223
Bhaag Milkha Bhaag,12-07-2013,Hindi,Farhan Akhtar,Sonam Kapoor Ahuja,Shankar Mahadevan,"The true story of the ""Flying Sikh"" world champion runner and Olympian Milkha Singh who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.",7.4,2.2309
Gori Tere Pyaar Mein,22-11-2013,Hindi,Imran Khan,Kareena Kapoor Khan,Vishal Dadlani,"Sriram Venkat is the most shallow guy on earth who doesn't value relationships, family, friends, life or the country. Not necessarily in that order. Because he couldn't care less about the order. This makes him the clear 'black' sheep of the family.",6,1.7139
Bombay Talkies,03-05-2013,Hindi,Randeep Hooda,Rani Mukerji,Amit Trivedi,One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,6.4,1.8589
R... Rajkumar,06-12-2013,Hindi,Shahid Kapoor,Sonakshi Sinha,Pritam Chakraborty,"Rajkumar, an aimless youth, works for a drug baron and is sent to kill a rival dealer. His life is changed forever when he meets Chanda, and has no idea she is the adopted daughter of the man he is supposed to kill.",6.2,1.8447
Nasha,22-07-2013,Hindi,Mohit Chauhan,Poonam Pandey,Sangeet Haldipur,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",4.3,1.3603
Go Goa Gone,10-05-2013,Hindi,Kunal Khemu,Puja Gupta,Sachin Sanghvi,A rave party off the coast of Goa goes horrifyingly and hilariously wrong when the island is overrun with zombies.,5.813,1.1357
Chashme Baddoor,05-04-2013,Hindi,Ali Zafar,Taapsee Pannu,Wajid Khan,"Seema rejects six marriage proposals set by her father and leaves for Goa. After Jai and Omi fail to impress her, they come up with a cruel plan when they realise that their friend Sid is dating her.",4.3,0.9719
Race 2,25-01-2013,Hindi,Saif Ali Khan,Deepika Padukone,Pritam Chakraborty,"Ranveer Singh (Saif Ali Khan) travels to exotic locales and confronts the Turkish mafia on a mission to avenge the death of his lover Sonia in this action-packed sequel. In the process of seeking her killers, Ranveer crosses Armaan Mallick (John Abraham) and Aleena (Deepika Padukone) -- two of the most feared figures in the Turkish underworld. Meanwhile, Ranveer's loyal friend RD (Anil Kapoor) and his new partner Cherry (Amisha Patel) offer a helping hand in a world where love is cheap and trust is a luxury most agents can't afford.",5.5,1.4677
Main Krishna Hoon,25-01-2013,Hindi,Paresh Ganatra,Juhi Chawla Mehta,Amjad Nadeem,"In answer to an orphan boy's prayers, the divine Lord Krishna comes to Earth, befriends the boy, and helps him find a loving family.",6.08,1.3354
Commando - A One Man Army,11-04-2013,Hindi,Vidyut Jammwal,Pooja Chopra,Prasad Sasthe,A disavowed Indian commando helps protect a woman from a local thug who is hellbent on forcing her to marry him.,6.5,1.373
Madras Cafe,23-08-2013,Hindi,John Abraham,Nargis Fakhri,Shantanu Moitra,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,6.5,1.2624
Saheb Biwi Aur Gangster Returns,08-03-2013,Hindi,Irrfan Khan,Soha Ali Khan,Tigmanshu Dhulia,"The Royal Scandal, the war for power and fight for money continues with the return of Saheb Biwi Aur Gangster. Aditya Pratap Singh (Jimmy Sheirgill) is crippled and is trying to recover from the physical disability and his wifes betrayal. The lover cum seductress Madhavi Devi (Mahie Gill) is now an MLA, her relationship with Aditya may have broken to shambles but her relation with alcohol is deep, dark and daunting. Indarjeet Singh, a ragged prince who has lost everything but his pride, pledges to get back his familys respect which was once destroyed by Adityas ancestors. Ranjana is a modern ambitious girl who is madly in love with Indarjeet Singh (Irrfan Khan). The story takes a new turn when Aditya falls in love with Ranjana and forces Birendra (Raj Babbar) her father, for their marriage. In this game of live chess between Saheb, Biwi and Gangster, the winner, the survivor takes it all.",6.8,1.2774
Lootera,04-04-2013,Hindi,Ranveer Singh,Sonakshi Sinha,Amit Trivedi,"In a village, a young archaeologist falls in love with a landlord's daughter. Their union seems doomed. But destiny brings them together a year later. Will they live happily ever after?",7,1.2285
Grand Masti,13-09-2013,Hindi,Ritesh Deshmukh,Karishma Tanna,Anand Raj Anand,"Meet, Prem, and Amar look to have a blast at their college reunion, though they soon find themselves in another predicament.",4.7,1.1323
Bullett Raja,29-11-2013,Hindi,Saif Ali Khan,Sonakshi Sinha,Wajid Khan,"A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.",5.8,1.1052
Kai Po Che!,13-02-2013,Hindi,Sushant Singh Rajput,Amrita Puri,Amit Trivedi,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,7,0.8272
Table No. 21,03-01-2013,Hindi,Paresh Rawal,Tina Desai,Gajendra Verma,"A couple live a mediocre life and are thrilled to have won an exotic vacation to Fiji & their excitement increases when they get a chance to play ""Tell all truth"" game for a mind boggling prize money. The game begins and the couple discovers that the game isn't really a game, but is a game of survival.",6.4,1.072
Ek Thi Daayan,18-04-2013,Hindi,Emraan Hashmi,Huma Qureshi,Vishal Bhardwaj,A popular magician seeks help from a psychiatrist to protect him from a witch that has haunted him since childhood.,5,0.9601
ABCD,07-02-2013,Hindi,Prabhu Deva,Lauren Gottlieb,Jigar Saraiya,"When a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle.",5.875,0.9021
Special 26,07-02-2013,Hindi,Akshay Kumar,Divya Dutta,Himesh Reshammiya,"In the early 1980s in India, a group of con artists rob businessmen and politicians by conducting fake raids, posing as officers of the CBI or Income Tax Department . They plan to execute their biggest con as a final job while a relentless cop is on their trail.",7.259,0.8812
Inkaar,18-01-2013,Hindi,Arjun Rampal,Chitrangda Singh,Shantanu Moitra,"At a leading ad agency, the battle for the top job between Rahul Verma, the advertising CEO, and Maya Luthra, his ambitious protégée, takes an ugly turn when Maya files a sexual harassment complaint against Rahul.",5.4,0.8845
Murder 3,14-02-2013,Hindi,Randeep Hooda,Aditi Rao Hydari,Pritam Chakraborty,"A hot-shot fashion and wildlife photographer Vikram gets into a relationship with Nisha. She moves in with him in his palatial house outside of the city. The old world house, made decades ago is as beautiful as it is scary. It holds many secrets which Nisha is soon to unearth; of the life of the man who made it and of Vikram, who is dealing with the mysterious disappearance of his former girlfriend Roshni",3.7,0.8854
Mahabharat,27-12-2013,Hindi,Shatrughan Sinha,Vidya Balan,Rajendra Shiv,"Mahabharat is considered as the greatest and the longest epic in world literature It has all the possible elements that a story could have - conflict, duty, sacrifice, heroism, truth, justice, romance, adventure, fantasy and relationships - making it truly an all-encompassing fascinating saga.",7.5,1.2745
Matru Ki Bijlee Ka Mandola,10-01-2013,Hindi,Imran Khan,Anushka Sharma,Vishal Bhardwaj,"Harry is an industrialist who loves his daughter Bijlee, and the bond they share with Harry's man friday, Matru. Bijlee's plan to wed the son of a politician, however, brings twists and turns in the lives of Matru, Bijlee and Mandola.",5.6,0.9598
Shahid,18-10-2013,Hindi,Rajkummar Rao,Prabhleen Sandhu,Karan Kulkarni,"A story based on real-life human-rights and criminal lawyer, Shahid Azmi, who was slain while defending the wrongly accused by the law in terrorist activities.",7.2,1.0025
Rajjo,15-11-2013,Hindi,Prakash Raj,Kangana Ranaut,Uttam Singh,The journey of a nautch girl in the most extraordinary circumstances. Rajjo and Chandu fall in love against the backdrop of the dying Kothas of Mumbai.,3,1.0372
Jackpot,13-12-2013,Hindi,Makrand Deshpande,Sunny Leone,Sharib Sabri,"JACKPOT THE SET UP -  Jackpot is a fast-paced thriller con, with sharp comic one-liners and crazy characters, set entirely in Goa against the backdrop of casino boats.  The film goes back and forth in time, capturing one Goan monsoon of Full Jhol. Its a card game between the players in the con. Who will come out Aces and who will end up being the Joker?  An amateur gang of young Goans plan the perfect con - no nuksaan, no pareshan. However, all good plans often  It doesn't take long for them to discover that a reverse con has been played back on them - by the very people they were trying to con.  In doing so, the five members of the gang split and start suspecting each other. After all, when there is cash in a briefcase, and a beautiful woman with a gun, things tend to go horribly wrong.",3.1,0.8717
