Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Kill,03-07-2024,Hindi,Lakshya Lalwani,Tanya Maniktala,Ketan Sodha,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on, one by one.",7.14,7.6433
Fighter,24-01-2024,Hindi,Hrithik Roshan,Deepika Padukone,Vishal Dadlani,"As India faces a militant attack in Kashmir, the country’s best combat aviators join forces under a reckless yet brilliant squadron leader to form 'Air Dragons', faces mortal dangers and their inner demons.",6.1,6.0741
Sikandar Ka Muqaddar,29-11-2024,Hindi,Jimmy Shergill,Tamannaah Bhatia,Payal Dev,"After an unsolved diamond heist, a hard-nosed cop’s pursuit of his key suspect turns into obsession, until they finally face each other — and the truth.",5.567,6.646
Stree 2,15-08-2024,Hindi,Rajkummar Rao,Shraddha Kapoor,Sachin Sanghvi,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.",6.623,7.07
Baby John,25-12-2024,Hindi,Varun Dhawan,Keerthy Suresh,S. Thaman,"John's peaceful life with daughter Khushi is disrupted by a sex-trafficking gang. Revealing his past as DCP Satya, he seeks revenge for his family's murder, saving minor girls and punishing the criminals, before starting anew.",5.231,6.1526
Yodha,15-03-2024,Hindi,Sidharth Malhotra,Raashii Khanna,Shantanu Moitra,"When terrorists hijack a passenger plane, a suspended commando onboard under mysterious circumstances, crafts a plan to thwart the hijackers and safeguard the passengers' survival despite the engine's failure.",6.5,3.6126
Teri Baaton Mein Aisa Uljha Jiya,09-02-2024,Hindi,Shahid Kapoor,Kriti Sanon,Tanishk Bagchi,A robotics engineer searching for his perfect partner finds himself falling in love with a human-like android.,5.6,5.5907
Lost Ladies,01-03-2024,Hindi,Sparsh Shrivastava,Nitanshi Goel,Ram Sampath,"In 2001, somewhere in rural India, two young brides get accidentally swapped on a train. In the ensuing chaos, they both encounter a host of colourful characters, resulting in hilarious and unexpected consequences.",7.7,4.0477
Do Patti,24-10-2024,Hindi,Shaheer Sheikh,Kajol,Anurag Saikia,A puzzling investigation leads a no-nonsense cop down a dark path involving the vicious rivalry between twin sisters and the volatile man they both love.,7.151,3.9491
Jigra,10-10-2024,Hindi,Vedang Raina,Alia Bhatt,Achint Thakkar,"When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free.",6.235,3.978
Singham Again,01-11-2024,Hindi,Ajay Devgn,Kareena Kapoor Khan,S. Thaman,The cop universe expands with newer additions while the old ones return led by Bajirao Singham. Singham Again interweaves the mythological epic Ramayana's good vs evil narrative when his wife Avni Kamath gets abducted by Danger Lanka setting Bajirao and his gang of Sangram Bhalerao and Veer Sooryavanshi along with Satya and Shakti Shetty on a mission to rescue her.,4.3,5.7411
Crew,29-03-2024,Hindi,Diljit Dosanjh,Tabu,Diljit Dosanjh,Three ordinary air hostesses from Mumbai embark on a journey to pursue their dreams but find themselves caught up in unexpected misfortunes.,6.858,5.0935
Yudhra,20-09-2024,Hindi,Siddhant Chaturvedi,Malavika Mohanan,Shankar Mahadevan,"Yudhra, who is struggling with anger issues, is assigned an undercover mission to bring down a powerful drug syndicate headed by Firoz and his son Shafiq. Yudhra accepts the responsibility as he wants to exact revenge against Firoz for his parents's death.",4,2.6539
Santosh,17-07-2024,Hindi,Brij Bhushan Shukla,Shahana Goswami,Luisa Gerstein,"A government scheme sees newly widowed Santosh inherit her husband’s job as a police constable in the rural badlands of Northern India. When a low-caste girl is found raped and murdered, she is pulled into the investigation under the wing of charismatic feminist inspector Sharma.",7.103,3.6185
Munjya,07-06-2024,Hindi,Abhay Verma,Sharvari Wagh,Sachin Sanghvi,"A young man's visit to his native village unveils a family secret and a vengeful spirit, Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches leading to a humorously chaotic and terrifying adventure.",5.739,2.9138
Shaitaan,08-03-2024,Hindi,R. Madhavan,Janki Bodiwala,Amit Trivedi,"Kabir and his family's fun weekend retreat takes terrifying turn when an intruder takes over the control of the  body of his teenage daughter, putting her at the mercy of his increasingly sinister orders.",6.224,2.8885
Bhool Bhulaiyaa 3,01-11-2024,Hindi,Kartik Aaryan,Vidya Balan,Pritam Chakraborty,"Rooh Baba ventures into a haunted mansion in the kingdom of Raktaghat in West Bengal, where he confronts two vengeful spirits, both asserting to be Manjulika.",5.7,5.0989
