Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Raat Akeli Hai,31-07-2020,Hindi,Nawazuddin Siddiqui,Radhika Apte,Karan Kulkarni,"When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart.",6.8,2.4506
Laxmii,09-11-2020,Hindi,Akshay Kumar,Kiara Advani,Sandeep Shirodkar,Aasif's belief in logic and science shatters when he gets possessed by a transgender's ghost.,4.5,2.1935
Street Dancer 3D,24-01-2020,Hindi,Varun Dhawan,Shraddha Kapoor,Sachin Sanghvi,"Two rival dance groups from India and Pakistan who are always competing against each other, join forces when it comes to competing at an international dance competition.",6.6,1.8489
Class of '83,21-08-2020,Hindi,Bobby Deol,Monika Panwar,Viju Shah,A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen.,5.9,1.3488
Tanhaji: The Unsung Warrior,10-01-2020,Hindi,Ajay Devgn,Kajol,Ajay Gogavale,"When Aurangzeb recruits his trusted soldier Udaybhan to control the Kondhana fort, Shivaji's military leader Tanhaji Malusare and his army of Maratha warriors set out to recapture the fortress.",6.293,1.7459
Ginny Weds Sunny,09-10-2020,Hindi,Vikrant Massey,Yami Gautam,Shahbad Karan,"Delhi girl Ginny lives with her matchmaker mother and is set up with Sunny, who has given up on the idea of love. He just wants to get married and settle down. But, the match is not that simple. As Ginny meets Sunny, there’s a lot more that comes to the fore than previously imagined in this tale of love, life, weddings and music.",6.4,1.7702
Malang,06-02-2020,Hindi,Aditya Roy Kapur,Disha Patani,Ved Sharma,"Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.",6.945,1.7523
Panga,24-01-2020,Hindi,Jassie Gill,Kangana Ranaut,Sanchit Balhara,'Panga' follows the triumphs and struggle of a national level Kabbadi player from India who receives the love and support from her family to help achieve her dream.,6.8,1.6092
Khaali Peeli,02-10-2020,Hindi,Ishaan Khatter,Ananya Panday,Ankit Balhara,"The story is about two childhood sweethearts Pooja and Blackie who gets separated due to certain circumstances when they were kids. Pooja, who is now aprostitute, decides to escape the brothel on turning 18, with a bag full of  stolen money. She bumps into Blackie who is now a very ‘chalu’ Bombay taxi driver. He agrees to ‘drive’ her to freedom, in exchange for a hefty amount.This leads to a series of chase and escape – with the goons on Pooja's trail and the cops on the goons’ trail.",6.091,1.0869
Coolie No. 1,25-12-2020,Hindi,Varun Dhawan,Sara Ali Khan,Mohsin Shaikh,"Insulted by Rosario, a rich businessman, Jai Kishen a Matchmaker teaches him a lesson by getting his daughter married to Raju, a Coolie, who poses to be a millionaire. They sense something fishy and Raju's deceptions are discovered. In an attempt to cover it up, he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go awry culminating in a comedy of errors.",5.3,1.4304
Khuda Haafiz,14-08-2020,Hindi,Vidyut Jammwal,Shivaleeka Oberoi,Mithoon Sharma,"When the 2008 recession leaves Sameer Chaudhary and his wife Nargis jobless, they struggle to make a living and after three months, succeed when they find jobs in a Middle East country named Noman. Due to delay in arrival of documents, Sameer stays in India while Nargis heads to Noman, upon arriving where she is abducted as she pleads for help over a phone call to Sameer. Enraged and helpless, Sameer heads to Noman and teams up with a local taxi driver to find Nargis before it is too late.",7,1.4963
Baaghi 3,06-03-2020,Hindi,Tiger Shroff,Shraddha Kapoor,Vishal Dadlani,A man embarks on a bloody rampage to save his kidnapped brother.,6.445,1.8424
Indoo Ki Jawani,11-12-2020,Hindi,Aditya Seal,Kiara Advani,Neel Adhikari,A feisty girl from Ghaziabad makes her profile on an online dating app and her left and right swipes on the app lead to hilarious consequences.,3.5,0.9698
Yeh Ballet,21-02-2020,Hindi,Julian Sands,Kalyanee Mulay,Ankur Tewari,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",7.5,1.5243
Ghost Stories,01-01-2020,Hindi,Vijay Varma,Janhvi Kapoor,Benedict Taylor,An anthology of four short horror tales.,5.1,1.1589
Ludo,12-11-2020,Hindi,Pankaj Tripathi,Fatima Sana Shaikh,Pritam Chakraborty,"Ludo is about the butterfly effect and how, despite all the chaos and crowd of the world, all our lives are inextricably connected. From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",7.2,1.6946
Bhangra Paa Le,03-01-2020,Hindi,Sunny Kaushal,Rukshar Dhillon,Vee Kay,Jaggi comes from a Punjabi background and he aspires to take the popular Punjabi dance form of 'Bhangra' to an international platform and passionately works towards his dream. He meets his college rival in Simi and they both compete with each other to win the international dance competition.,5.3,1.3355
Kaali Khuhi,30-10-2020,Hindi,Satyadeep Misra,Shabana Azmi,Daniel B George,"When a restless spirit curses a Punjab village that has a history of female infanticide, the town's fate lies in the hands of a 10-year old girl, Shivangi.",4.522,1.2127
Shubh Mangal Zyada Saavdhan,21-02-2020,Hindi,Ayushmann Khurrana,Pankhuri Awasthy,Vayu,"Partners Karthik and Aman don't have it easy in their road to achieving a happy ending, while Aman's family tries to get him married to someone else, Karthik doesn't step down unless he marries Aman.  A sequel to the 2017 film, titled Shubh Mangal Saavdhan.",5.9,1.1991
