Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Kabhi Alvida Naa Kehna,11-08-2006,Hindi,Shah Rukh Khan,Rani Mukerji,Ehsaan Noorani,"Dev and Maya are both married to different people. Settled into a life of domestic ritual, and convinced that they are happy in their respective relationships, they still yearn for something deeper and more meaningful, which is precisely what they find in each other.",6.393,3.2867
Rang De Basanti,26-01-2006,Hindi,Aamir Khan,Alice Patten,A.R. Rahman,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",7.081,3.2948
Vivah,10-11-2006,Hindi,Shahid Kapoor,Amrita Rao,Ravindra Jain,"Poonam, a traditionally brought-up young woman, is to marry Prem, a groom chosen by her uncle. Poonam and Prem's faith and love are to be tested however, when an accident occurs and Poonam might be scarred for life.",6.6,3.3271
Dhoom 2,24-11-2006,Hindi,Hrithik Roshan,Aishwarya Rai Bachchan,Pritam Chakraborty,"Jai and Ali return, this time on the trail of an international thief who steals priceless artifacts and has chosen Mumbai as his next target.",6.58,2.7807
Krrish,23-06-2006,Hindi,Hrithik Roshan,Priyanka Chopra Jonas,Rajesh Roshan,"In Singapore, Krishna is forced by circumstances to use his superpowers and become a masked superhero named Krrish, before getting drawn towards his lost legacy.",6.3,2.7401
Phir Hera Pheri,09-06-2006,Hindi,Akshay Kumar,Bipasha Basu,Himesh Reshammiya,"Raju,  Shyam and Baburao are living happily after having risen from rags to riches. However, they lose it all after falling victim to a chit fund scam due to their greed for more money. Soon, they find themselves in new mess and encounter eccentric and dangerous characters in their quest for a shortcut to riches again.",6.6,2.5493
Fanaa,26-05-2006,Hindi,Aamir Khan,Kajol,Lalit Pandit,"Zooni Ali Beg is a blind Kashmiri girl who travels without her parents for the first time with a dance troupe to Delhi to perform in a ceremony for independence day. On her journey, she meets Rehan Khan, a casanova and tour guide who flirts with her. Although her friends warn Zooni about him, she cannot resist falling in love with him and he takes her on a private tour of New Delhi. But there is more to Rehan than meets the eye and Zooni will have to make a heartbreaking decision.",6.7,2.5053
Bhagam Bhag,22-12-2006,Hindi,Akshay Kumar,Lara Dutta,Pritam Chakraborty,"After their lead actress quits their drama troupe; Bunty, Babla and their boss Champak search for a new heroine in London where they have just arrived, and get embroiled in a murder case involving a mysterious woman.",6.5,1.7453
Lage Raho Munna Bhai,01-09-2006,Hindi,Sanjay Dutt,Vidya Balan,Shantanu Moitra,"Lovable goon Munna falls for a morning radio host by the name of Jahnvi, who also runs an elders' home which an unscrupulous builder seeks to attain. In order to gain Jahnvi’s attention, he cheats his way to winning a Mahatma Gandhi radio quiz. When Jahnvi consequently expresses interest in Munna, he and his best friend Circuit attempt to keep up the facade.",7.2,1.5245
Don,20-10-2006,Hindi,Shah Rukh Khan,Priyanka Chopra Jonas,Loy Mendonsa,"DCP DeSilva sees a way to bring to justice the feared head of a criminal empire by recruiting a man named Vijay, who looks exactly like the crime boss. The ruse works too well, and soon Vijay finds his life in danger when DeSilva, the only one who knows his true identity, dies.",6.877,1.966
Omkara,28-07-2006,Hindi,Ajay Devgn,Kareena Kapoor Khan,Subir Kumar Das,"Half-caste bandit Omkara Shukla abducts his lady love, Dolly Mishra, from her family. Thanks to his cleverness, he gets away with the kidnapping. A conspiracy, however, forms against him when he denies his right-hand man, Langda Tyagi, a promotion. Ultimately, this plot threatens not only his relationship with Dolly, but their lives and those of their associates as well.",6.8,1.4886
Chup Chup Ke,09-06-2006,Hindi,Shahid Kapoor,Kareena Kapoor Khan,Himesh Reshammiya,"After surviving a suicide attempt in which his family and fellow villagers believe he drowned, a debt-ridden man decides to start his life afresh in another village. He pretends to be mute and starts working for a rich man where he falls in love with his mute daughter.",6.2,1.2906
Mixed Doubles,10-02-2006,Hindi,Ranvir Shorey,Konkona Sen Sharma,Sagar Desai,"Bored with his sex life, a man tries to convince his wife to swap partners.",7,1.4155
36 China Town,21-04-2006,Hindi,Akshaye Khanna,Kareena Kapoor Khan,Himesh Reshammiya,"An inspector heads to 36 China Town to investigate a murder, where every suspect is hiding a secret.",5.7,1.4558
Golmaal – Fun Unlimited,14-07-2006,Hindi,Ajay Devgn,Sushmita Mukherjee,Vishal Dadlani,Four runaway cons take shelter in a bungalow owned by an old blind couple.,6.6,1.2765
Baabul,08-12-2006,Hindi,Amitabh Bachchan,Rani Mukerji,Aadesh Shrivastava,"When his only son dies in an accident, Balraaj urges his depressed daughter-in-law to marry a man who has long loved her in silence.",6,1.0908
Darna Zaroori Hai,28-04-2006,Hindi,Manoj Pahwa,Bipasha Basu,Amar Mohile,Five children enter a haunted house and find an old woman. She promises to tell them six scary stories that they won't be able to handle.,5,1.0388
Naksha,08-09-2006,Hindi,Sunny Deol,Sameera Reddy,Pritam Chakraborty,"20 years after the death of an archaeologist, Kapil Malhotra, his younger son, Vicky attempts to uncover his father's mission with the help of an ancient map.",3.9,0.8224
Sandwich,31-07-2006,Hindi,Govinda,Raveena Tandon,Rajesh Gupta,"Shekar has moved to Mumbai from his home in Punjab and has fallen in love with Nisha. However, he is called back to his home to hear that his disabled sister is to marry a young man named Harpreet, but on the condition that Shekar marry Harpreet's sister. Unable to refuse, Shekar must lead a double life until matters come to a head many years later.",5.4,0.9772
Gangster,28-04-2006,Hindi,Emraan Hashmi,Kangana Ranaut,Pritam Chakraborty,"An alcoholic barmaid is distraught when her former lover, a notorious gangster, re-enters her life. She is forced to relive painful past experiences and choose between the gangster and a pleasant singer she has found comfort in.",6.8,0.997
Aksar,03-02-2006,Hindi,Emraan Hashmi,Udita Goswami,Himesh Reshammiya,A love triangle where everybody is blackmailing the other two gets a nasty upset when one of them is suddenly found murdered.,4.2,0.8085
Pyare Mohan,21-04-2006,Hindi,Fardeen Khan,Esha Deol,Anu Malik,"Two friends, one blind and one deaf, become involved in a mob assassination plot after rescuing two girls.",4.5,0.9578
Alag,16-06-2006,Hindi,Akshay Kapoor,Dia Mirza,Aadesh Shrivastava,"When an old widow passes away, the police searches his house and finds his son locked in the basement. They take the boy to an institution, where it is discovered that he possesses supernatural powers.",4.4,1.0291
Family: Ties of Blood,12-01-2006,Hindi,Amitabh Bachchan,Bhumika Chawla,Ram Sampath,"The story is on the concept of karma and bad deeds. It follows Viren Sahai (Amitabh Bachchan), underworld don who rules over India. His son Abhir (Sushant Singh) is spoilt and believes he can do anything due to his father's power. When Viren's enemy Khan (Kader Khan) attacks Abhir, Viren demands revenge.",5.8,0.6913
Ahista Ahista,18-08-2006,Hindi,Abhay Deol,Soha Ali Khan,Abhishek Ray,"A professional witness at the marriage registrar helps a runaway girl when her boyfriend does not show up for the wedding. He falls in love with her, but then the missing groom returns.",7.2,0.6271
Yun Hota To Kya Hota,21-07-2006,Hindi,Irrfan Khan,Konkona Sen Sharma,Viju Shah,"Four individuals from different parts of India board a US-bound flight. However, they are stuck in an unfortunate situation as the flight is hijacked soon after take-off.",6.2,0.8842
Deadline: Sirf 24 Ghante,10-11-2006,Hindi,Irrfan Khan,Konkona Sen Sharma,Anshul Vijayvargiya,"Heart surgeon Dr. Viren Goenka, his wife Sanjana and their seven-year-old daughter Anishka live in Mumbai. Their joys have just multiplied with Viren being honored with a prestigious award for his contribution to the medical world. Viren is all set to visit New Delhi to receive this award. He promises to celebrate his daughter's birthday once he returns. But fate has something else planned for Viren and his family: Anishka is kidnapped under Sanjana's nose. She is startled with the presence of a creepy man named Krish in her house. Krish tells her that Anishka will be fine as long as Sanjana and Dr. Goenka follow his instructions.",4.6,0.5989
Mere Jeevan Saathi,03-02-2006,Hindi,Akshay Kumar,Karisma Kapoor,Nadeem Akhtar Saifi,"Vicky (Akshay Kumar) is an aspiring singer who is devoted to his true love, Anjali (Amisha Patel). He gets a big offer from a music company in Canada and accepts it. In Canada, he meets the owner of the company, Natasha (Karisma Kapoor). Natasha helps Vicky become a star, however, Vicky is unaware of Natasha's hidden motives. Natasha knew Vicky in college and harboured a deep infatuation for him. Natasha's father had warned her that her love for Vicky can never be, as Vicky loved Anjali, but she refused to listen. When Natasha's father died in a car accident, Natasha, with no one else to love, put all her love and devotion on Vicky aside, and has been alone ever since.",3.4,0.5355
Fight Club: Members Only,17-02-2006,Hindi,Suniel Shetty,Dia Mirza,Pritam Chakraborty,Four friends head off to Bombay and get involved in the mother and father of all gang wars.,6.4,0.6971
Banaras,07-04-2006,Hindi,Naseeruddin Shah,Urmila Matondkar,Himesh Reshammiya,"Banaras: A Mystic Love Story is the name of an Indian Bollywood film directed by Pankaj Parashar released in 2006. The film takes place in the Hindu holy city of Varanasi (the city, once known as Banaras, serves as a destination for the pilgrimage of millions of Hindu worshippers annually) and is centered around the relationship of a young woman with her parents and her lover. The storyline also has a strong religious dimension. Most of the film was shot in Varanasi, with some scenes shot in Mauritius.",6.3,0.4616
Humko Deewana Kar Gaye,14-04-2006,Hindi,Akshay Kumar,Bipasha Basu,Anu Malik,"Aditya (Akshay Kumar), an engineer, travels to Canada for training. There he meets Jia (Katrina Kaif), a beautiful woman from an influential family. Fate keeps pushing the pair together, and even though both are already betrothed to others, Adi and Jia fall in love.",4.9,0.6729
Malamaal Weekly,10-03-2006,Hindi,Ritesh Deshmukh,Reema Sen,Uttank Vora,"After one of his customers dies from the shock of winning a lottery, lottery ticket seller Lilaram hatches a plan to have that money all for himself. But others from the village have also got their eyes on the money.",6.1,0.64
Woh Lamhe,26-09-2006,Hindi,Shiney Ahuja,Kangana Ranaut,Jawad Ahmad,"Based upon the life of actress Parveen Babi, this film describes the life of a schizophrenic actress Sana Azim, and the love of her life - Aditya Garewal.",5.4,0.668
Shiva,15-09-2006,Hindi,Vinod Jaywant,Priyanka Kothari,Ilaiyaraaja,"Shiva Kumar re-locates to Mumbai to live with his brother, and joins the police force. However, he befriends a rebel journalist hoping to expose the corruption of the force he works for.",3.2,0.5918
Jaan-E-Mann,20-10-2006,Hindi,Salman Khan,Preity Zinta,Anu Malik,"Agastya a NASA scientist comes in search of his crush Piya. In order to make her fall for him, he gets Suhaan to help this out. However, everything goes well till a shocking past stands in front of them, turning their lives upside down.",5.5,0.5557
Khosla Ka Ghosla!,22-09-2006,Hindi,Anupam Kher,Tara Sharma,Tutul,"Recent retiree Kamal Khosla's land is grabbed by a land shark named Khurana. In a bid to retrieve their land, Khosla's elder son hatches a clever plan to con the crook and enlists the help of his friends and his dysfunctional family.",7.2,0.618
The Killer,21-07-2006,Hindi,Irrfan Khan,Priyanka Kothari,Sajid Ali Khan,A cold-blooded contract killer hires the services of a cab driver for a full night. He forces the driver to go around Dubai as he keeps finishing off witnesses scheduled to testify against a gangster.,4.1,0.544
I See You,29-12-2006,Hindi,Arjun Rampal,Sonali Kulkarni,Vishal Dadlani,"Dr Shivani Dutt living and working in a hospital in London, notices some of her colleagues delving in organ trafficking. Before she can expose them she is involved in an accident, leaving her on a life support machine.",5.8,0.6856
Shaadi Karke Phas Gaya Yaar,04-08-2006,Hindi,Salman Khan,Shilpa Shetty Kundra,Daboo Malik,"Ayaan tricks a model into marrying him, when she leaves her diary in his family's garage, allowing him to follow her around.",3.5,0.5836
Dil Diya Hai,08-09-2006,Hindi,Emraan Hashmi,Kitu Gidwani,Himesh Reshammiya,"Mr & Mrs Mehra and their 2 daughters travel to London. Travel guide Sahil Khanna helps Neha when she misses a train. She falls in love with him, little knowing that he is about to con her.",5.2,0.4606
Saawan... The Love Season,07-04-2006,Hindi,Salman Khan,Saloni Aswani,Aadesh Shrivastava,"Raj and Kajal get married and after coming back from their honeymoon, Kajal meets a man who can predict the future. About her, he says she will die within two days and this does happens. After which, Raj kills that man and Kajal is back to life.",6.2,0.4098
Aryan: Unbreakable,15-12-2006,Hindi,Sohail Khan,Sneha Ullal,Anand Raj Anand,"Aryan is the college champion in boxing. He is training under Ranveer Singh in order to achieve his dream: winning the national championship. His girlfriend Neha supports him unconditionally and he relies heavily upon her. However, after his life turns unexpectedly into another direction, he gives up boxing and marries instead. He becomes a father and takes up a job as a sports commentator. Despite this, he is not happy.  When Ranveer Singh offers him a chance to get back into the ring, Aryan accepts. However, his wife leaves him and he start his journey to reattain is dream and his love.",5.8,0.4991
Jawani Diwani: A Youthful Joyride,06-01-2006,Hindi,Emraan Hashmi,Hrishitaa Bhatt,Sajid Ali Khan,A struggling singer tries to attract the interests of a young wealthy girl in order to help him succeed.,4.8,0.3513
Dor,22-09-2006,Hindi,Shreyas Talpade,Ayesha Takia,Salim Merchant,"Shankar Singh and his wife, Meera, live in Jodhpur, Rajasthan, India along with widowed paternal grandmother, Laxmibai, his mom, Gowri, and dad, Randhir. The family feel that they are blessed after Meera's entry in this family. Shankar must go and abroad in Saudi Arabia and bids farewell to Meera, promising to keep in touch, which he does, and also sends them a large portion of his earnings, which is used to pay off the family's debts. Then when no word is received from him, a worried Meera phones, and is devastated to learn that Shankar has been killed by being thrown off a 10th floor balcony. Her status quickly changes, her jewelery, ornaments, fancy clothes are taken off, and she is told to remain indoors. wear dark clothes, and is only allowed to pray at a Mandir.",7.3,0.483
Rocky,22-09-2006,Hindi,Zayed Khan,Isha Sharvani,Himesh Reshammiya,"Rocky is a short-tempered guy who makes an enemy in Anthony. Ultimately, it leads to Rocky's girlfriend being killed and a shattered Rocky leaving the country. But Rocky's past returns to haunt him.",2.5,0.2769
