Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Deva,2025-01-31,Hindi,Shahid Kapoor,Pooja Hegde,Vishal Mishra,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",6.0,121.3989
Superboys of Malegaon,2025-02-28,Hindi,Adarsh Gourav,Muskkaan Jaferi,Sachin Sanghvi,"The residents of Malegaon look to Bollywood cinema for a much-needed escape from daily drudgery. Amateur filmmaker Nasir Shaikh gets inspired to make a film for the people of Malegaon, by the people of Malegaon. He bands together his ragtag group of friends to bring his vision to life, thereby bringing a fresh lease of life into the town.",8.0,97.9609
Sky Force,2025-01-24,Hindi,Akshay Kumar,Nimrat Kaur,Tanishk Bagchi,"In the 1965 Indo-Pak War, India faces a devastating surprise attack. Wing Commander Ahuja leads a retaliatory strike, but Squadron Leader Vijaya goes missing after a heroic solo engagement against a superior enemy jet. Ahuja spends 23 years seeking the truth and uncovering a cover-up.",6.581,51.9833
Chhaava,2025-02-14,Hindi,Vicky Kaushal,Rashmika Mandanna,A.R. Rahman,"Shivaji's death sparks the Maratha-Mughal conflict. His son Sambhaji leads resistance against Aurangzeb's forces. Amid battles and intrigue, both sides face challenges in a struggle for power.",6.738,32.2416
Jaat,2025-04-10,Hindi,Sunny Deol,Saiyami Kher,S. Thaman,"After a ruffian accidentally ruins his meal, a traveler retorts violently and demands an apology, unintentionally finding himself in a web of violence, crime and corruption spun by a feared criminal.",7.5,29.2409
Dhoom Dhaam,2025-02-13,Hindi,Pratik Gandhi,Yami Gautam,Clinton Cerejo,"On their wedding night, an oddball couple is thrust into a chaotic chase, dodging goons and cops in a frenzied hunt for the mysterious ""Charlie.""",6.671,20.2698
Sikandar,2025-03-29,Hindi,Salman Khan,Rashmika Mandanna,Pritam Chakraborty,"Sanjay ""Sikandar"" Rajkot, the king of Rajkot, becomes a target for Minister Rakesh Pradhan after he gets in an altercation with his son.",5.3,14.0912
Nadaaniyan,2025-03-01,Hindi,Ibrahim Ali Khan,Khushi Kapoor,Sachin Sanghvi,A privileged Delhi socialite hires a middle-class student to pose as her boyfriend to maintain her social status. Their pretense becomes complicated when genuine feelings develop between them.,6.0,11.1182
Kesari Chapter 2: The Untold Story of Jallianwala Bagh,2025-04-17,Hindi,Akshay Kumar,Ananya Panday,Shashwat Sachdev,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre.",8.0,5.7867
Emergency,2025-01-17,Hindi,Anupam Kher,Kangana Ranaut,G. V. Prakash Kumar,"Based on true events that unfolded in 1975, the film chronicles incidents that took place under the leadership of Indira Gandhi, one of the most powerful women in Indian history.",2.3,4.277
Fateh,2025-01-10,Hindi,Sonu Sood,Jacqueline Fernandez,Hans Zimmer,"Ex-Special Ops officer Fateh Singh springs back to action when a girl falls prey to a cybercrime syndicate. Racing against time, can he bring down the mafia?",6.8,4.1129
The Diplomat,2025-03-07,Hindi,John Abraham,Sadia Khateeb,Ishaan Chhabra,"The Deputy High Commissioner, J.P. Singh, faces an unusual crisis when a mysterious woman rushes inside the Indian High Commission in Islamabad, claiming to be an Indian citizen and seeking a return to India.",6.8,3.0806
Mere Husband Ki Biwi,2025-02-21,Hindi,Arjun Kapoor,Bhumi Pednekar,John Stewart Eduri,"A hilarious and heartwarming modern-day romance set in Delhi, where love, fate, and unexpected twists put one man in a chaotic dilemma. Caught between a rekindled spark with Antara and an unexpected twist with Prabhleen, Ankur’s life takes a hilariously unpredictable turn.",7.2,3.0693
Be Happy,2025-03-14,Hindi,Abhishek Bachchan,Nora Fatehi,Harsh Upadhyay,"A dance-drama film that follows a single father and his witty, wise-beyond-her-years daughter. When his daughter's dream of performing in the country's biggest dance reality show collides with a life-altering crisis, the father is driven to do the unthinkable, showcasing the extraordinary lengths he will go to fulfill her wishes and find happiness.",6.222,2.8004
Bhool Chuk Maaf,2025-05-09,Hindi,Rajkummar Rao,Wamiqa Gabbi,Tanishk Bagchi,"A quirky romantic drama set in a small town, revolving around a couple caught in an unusual circumstance.",0.0,2.5608
War 2,2025-08-14,Hindi,Hrithik Roshan,Kiara Advani,Pritam Chakraborty,"Sequel to the 2019 action-thriller film War, 6th Movie of the YRF Spy Universe",0.0,2.5117
Crazxy,2025-02-28,Hindi,Sohum Shah,Shilpa Shukla,Vishal Bhardwaj,"A renowned surgeon, Abhimanyu Sood is carrying ₹5 crores for a hush hush settlement that will save him from going to jail, when he gets a chilling phone call—his 16-year-old daughter, Vedica, has been kidnapped. The ransom? The exact amount he is carrying right now. Is this even a real kidnapping—or an elaborate trap?",4.4,2.0234
Azaad,2025-01-17,Hindi,Ajay Devgn,Rasha Thadani,Amit Trivedi,"In 1920s India, a young stable boy bonds with a spirited horse. Amid rebellion and tyranny, his quest to ride the majestic animal becomes a journey of courage, awakening him to the country's fight for freedom.",6.6,1.9577
Raid 2,2025-05-01,Hindi,Ajay Devgn,Vaani Kapoor,Amit Trivedi,Amay Patnaik conducts his 75th raid on the premises of a influential politician named Dada Bhai.,0.0,2.0401
Loveyapa,2025-02-07,Hindi,Junaid Khan,Khushi Kapoor,Tanishk Bagchi,The madness after a couple exchanges their mobile phones and begins to unearth bitter truth about each other.,6.0,1.5061
Badass Ravi Kumar,2025-02-07,Hindi,Himesh Reshammiya,Kirti Kulhari,Himesh Reshammiya,The Xpose franchise now goes to the next level  with Himesh Reshammiya doing a spin off from his iconic character Ravi Kumar.,2.5,1.7351
Jewel Thief - The Heist Begins,2025-04-25,Hindi,Saif Ali Khan,Nikita Dutta,Shezan Shaikh,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",0.0,1.4338
Thama,2025-10-17,Hindi,Ayushmann Khurrana,Rashmika Mandanna,Sachin Sanghvi,"A determined historian, sifts through old manuscripts, seeking clues about the mysterious legends of vampires in Vijay Nagar.",0.0,0.9732
Sunny Sanskari Ki Tulsi Kumari,2025-09-12,Hindi,Varun Dhawan,Janhvi Kapoor,Pritam Chakraborty,"A rom com, plot not yet revealed.",0.0,0.911
Ground Zero,2025-04-25,Hindi,Emraan Hashmi,Sai Tamhankar,Rohan Pradhan,An Indian army officer embarks on a mission leading to India’s most successful counter-terrorism operation in history.,0.0,0.8257
Aashiqui 3,2025-10-17,Hindi,Kartik Aaryan,Sreeleela,Pritam Chakraborty,,0.0,0.7771
The Shameless,2025-03-20,Hindi,Tanmay Dhanania,Anasuya Sengupta,Petar Dundakov,"In the dead of night, Renuka escapes from a Delhi brothel after stabbing a policeman to death. She takes refuge in a community of sex workers in northern India, where she meets Devika, a young girl condemned to a life of prostitution. Their bond develops into a forbidden romance. Together, they embark on a perilous journey to escape the law and forge their path to freedom.",2.5,0.8897
Pintu Ki Pappi,2025-03-21,Hindi,Vijay Raaz,Aditi Sanwal,Nitin Arora,A man starts a lucrative business with his uncle when they realise he has a special power.,3.0,0.8739
Sweet Dreams,2025-01-24,Hindi,Amol Parashar,Mithila Palkar,Dewal Parshar,"A tale that blurs the line between fantasy and reality, Sweet Dreams captures the magic of serendipity and the intensity of love that transcends the ordinary. It’s a film that asks: do we find love by chance, or does love find us? The answer might just lie in the dreams we dare to dream.",4.0,0.5806
Metro... In Dino,2025-07-04,Hindi,Anupam Kher,Neena Gupta,Pritam Chakraborty,Sequel to Life in a Metro.,0.0,0.7066
Yugantar,2025-11-14,Hindi,Rannvijay Singha,Prajakta Koli,Amit Trivedi,These movies are based on the research of changes in humans due to Vedic changes born in humans over time.,0.0,0.5397
Panjab '95,2025-02-07,Hindi,Diljit Dosanjh,Geetika Vidya,Marc Marder,"Based on real events, Honey Trehan’s second feature tells the story of human rights activist Jaswant Singh Khalra’s courageous campaign to uncover murderous corruption during the nadir of Punjab’s period of insurgency.",0.0,0.5525
Tumko Meri Kasam,2025-03-21,Hindi,Anupam Kher,Adah Sharma,Prateek Walia,"""Tumko Meri Kasam"" is an emotional rollercoaster of love, betrayal, courtroom drama, and the unbreakable power of a promise made to the one you can't live without.",5.0,0.6325
Kesari Veer,2025-05-16,Hindi,Sooraj Pancholi,Akanksha Sharma,Monty Sharma,,0.0,0.476
Bokshi,2025-01-31,Hindi,Sandeep Shridhar Dhabale,Prasanna Bisht,Advait Nemlekar,"Anahita, traumatised by the brutal disappearance of her mother, finds comfort in Shalini, her history teacher. On an unconventional school excursion to a mysterious prehistoric site, she confronts her terrifying destiny.",0.0,0.5937
Kapkapiii,2025-05-23,Hindi,Tusshar Kapoor,Siddhi Idnani,Ajay Jayanthi,Remake of the Malayalam film 'Romancham',0.0,0.3398
Param Sundari,2025-07-25,Hindi,Sidharth Malhotra,Janhvi Kapoor,Sachin Sanghvi,"An action flick, plot not yet revealed.",0.0,0.3469
Homebound,2025-05-14,Hindi,Ishaan Khatter,Janhvi Kapoor,Amit Trivedi,,0.0,0.3886
Kaushaljis vs Kaushal,2025-02-21,Hindi,Pavail Gulati,Isha Talwar,Vikram Montrose,"Yug Kaushal, a 27-year-old, leaves behind his small-town roots in Kannauj and moves to Delhi. Always cribbing about his parent not adapting to the modern lifestyle and more urban way of living their life, Yug gets the shock of his life when the senior Kaushals consider mutual separation as the situation spirals into chaos.",0.0,0.3454
Tere Ishk Mein,2025-11-28,Hindi,Dhanush,Kriti Sanon,A.R. Rahman,,0.0,0.3281
Maalik,2025-06-20,Hindi,Rajkummar Rao,Manushi Chhillar,Jigar Saraiya,Plot not yet revealed.,0.0,0.2909
Match Fixing - The Nation At Stake,2025-01-10,Hindi,Vineet Kumar Singh,Ekavali Khanna,Hrishi Giridhar,A secret war was hatched. A fake narrative took shape. A nation was deceived. Unveil a shocking conspiracy that shook the country.,0.0,0.3313
Bobby Aur Rishi Ki Love Story,2025-02-11,Hindi,Atul Sharma,Kaveri Kapur,Amar Mohile,"Set against the picturesque backdrop of Cambridge, the film follows the journey of Bobby and Rishi as they going through the complexities of love and life. The story revolves around their passionate romance, which faces numerous challenges and misunderstandings. Despite being separated by circumstances, their love remains strong. Years later, fate gives them a second chance to rekindle their relationship and overcome the obstacles that once tore them apart.",2.0,0.4573
Badminton,2025-01-02,Hindi,Jim Sarbh,Sayani Gupta,Dibakar Banerjee,"Set in a bar, the story revolves around witty banter, secrets, and an unpredictable turn of events.",0.0,0.2964
Inn Galiyon Mein,2025-03-14,Hindi,Jaaved Jaffery,Avantika Dassani,Amaal Mallik,"A romantic drama that intertwines themes of love, society, and the impact of social media",0.0,0.2196
Pinch,2025-06-06,Hindi,Badri Chavan,Geeta Agrawal Sharma,Raashi Kulkarni,"When Maitri, an aspiring travel blogger, is groped by her landlord while traveling to a festival, she impulsively takes retributive steps. The ramifications rock her tight-knit community in this darkly comic exploration of guilt, trauma and the strength it takes to stand up to power.",0.0,0.0782
Aasma,2025-02-10,Hindi,Sunny Hinduja,Elena Kazan,Anurag Saikia,"At the pinnacle of the splendor of the Himalayas sits the Kashmir valley, one of the most stunningly picturesque places on earth. But today, its grandeur has also become ubiquitous with the ravages of terrorism and counter terrorism operations. Under these circumstances, anyone roaming these hills would tell you the shocking truth: that combat soldiers are statistically safer than women.",0.0,0.0453
