Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Chandu,10-05-2002,Kannada,Sudeep,Sonia Agarwal,Gurukiran,A 2002 Kannada film,2,0.2237
Ekangi,01-01-2002,Kannada,V. Ravichandran,Ramya Krishnan,,"Ekangi is a psychological thriller which portrays the peace and joy in lonely life. Ravi, an adult who happily lives alone in a big house and always follows his father's last words ""Be happy to be alone, Be alone to be happy"". One day at a bar, he falls for a beautiful lady and invites her to his house. From that moment, how Ravi's life takes wrong turn forms the rest of the story.",0,0.2172
Nagarahavu,22-08-2002,Kannada,Upendra,Jyothika,Hamsalekha,"Ajay Sharma is set out to kill Madan Chopra and destroy his family, who is responsible for Ajay's father, Vishwanth's death. Will Ajay succeed?",0,0.1522
Super Star,01-01-2002,Kannada,Upendra,Keerthi Reddy,,A 2002 Kannada film.,0,0.1528
Naanu Naane,01-01-2002,Kannada,Upendra,,,A 2002 Kannada film.,0,0.1985
Guest,08-08-2002,Kannada,Prakash Raj,,,"Atithi is an attempt to examine the 'other face' - flashes of humanity - of a young man totally immersed in the cult of terrorism. Strange as it may sound, we also see flashes of violence (at times) that trickle into the thinking of another man with total belief in non-violence as the ultimate truth of life.",0,0.1834
H2O,29-03-2002,Kannada,Upendra,Priyanka Upendra,Sadhu Kokila,A 2002 Kannada film.,7,0.1276
Balagalittu Olage Baa,01-01-2002,Kannada,Mukhyamantri Chandru,Chitra Shenoy,,A 2002 Kannada movie.,0,0.1199
Dakota Express,11-04-2002,Kannada,Rockline Venkatesh,,Hamsalekha,"Owners of a bus, Krishna and Sundar, face numerous problems due to poor conditions. However, their life takes a turn when the daughter of the minister takes refuge in their bus.",0,0.1573
Simhadriya Simha,07-06-2002,Kannada,Vishnuvardhan,,,"Narasimhe Gowda (Vishnuvardhan), head of 48 villages has high regards for his sincerity and wisdom in his judgements. After his untimely death, his elder son Gowda (Vishnuvardhan) takes his throne and passes a wrong judgement against his brother Chikka (Vishnuvardhan). What circumstances lead to this",6,0.0831
Thavarige Baa Thangi,01-11-2002,Kannada,Shivaraj Kumar,Radhika Kumaraswamy,,,0,0.1356
