Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Ninne Premistha,14-09-2000,Telugu,Srikanth,Soundarya,,A young man meets with an accident and loses his eyesight; three months later he recovers and goes back to his job. He meets a lady who is very affectionate towards him; But why?,5,0.4087
Moodu Mukkalaata,01-09-2000,Telugu,Jagapati Babu,Soundarya,M. M. Srilekha,"Three girls, Shravani, Lahari and Aliveni, are in love with Shanti Swaroop, a lecturer. His life takes a turn when these girls execute different ways to woo him.",0,0.322
Tirumala Tirupati Venkatesa,21-12-2000,Telugu,Ravi Teja,Maheswari,Vandemataram Srinivas,Three sisters are obsessed with money and dream to marry wealthy grooms. They marry three prospective grooms but later learn that they are ordinary people and refuse to live with them.,0,0.3252
Kodanda Ramudu,01-01-2000,Telugu,J. D. Chakravarthi,Rambha,S.V. Krishna Reddy,"Ramu, a tour guide, is deeply in love with Mounika, who does not believe in the concept of love. She pretends to be smitten by him and then humiliates him when he proposes marriage.",6,0.2574
Goppinti Alludu,21-07-2000,Telugu,Nandamuri Balakrishna,Simran,Saluri Koteswara Rao,"Goppinti Alludu is a family based movie in which, Murali Manohar(Balakrishna) is son of the industrialist SVR(SPB). He arrives India from Switzerland after finishing his graduation. SVR fixes a girl for him and asks him to marry her. To get rid of unwanted marriage, Maohar escapes back to Switzerland. Sowmya(Simran) is the grand daughter of Achyuta Ramayya(Satyanarayana). Achyuta Ramayya",0,0.2428
Manoharam,13-05-2000,Telugu,Jagapati Babu,Laya,,"The film begins with the ISI moles scheming to destabilize India, followed by bomb blasts in Coimbatore and Hyderabad. Basha, an ISI agent, enters India to plant bombs at various places. Anand is a regular bank employee and through a case of mistaken identity by police, he exposes the nefarious ISI network. Anand is tried and sentenced to 14 years imprisonment. Anand's wife Usha tries to prove her husband's innocence with the help of CBI officer Srinivasa Murthy.",6.5,0.3873
Chiru Navvuto,10-11-2000,Telugu,Venu Thottempudi,Prema,,Chirunavvutho is the story about Venu (Venu) who moves to Hyderabad after being dumped by Aruna (Prema). He falls in love with another girl called Sandhya (Shaheen Khan) and proposes to her. Sandhya who is already engaged to another man rejects his proposal. How Venu wins her love is the rest of the story.,7.5,0.2112
Mechanic Mavayya,14-10-2000,Telugu,Dr. Rajasekhar,Rambha,,"Srivatsav develops a new effective formula of saving petrol, he is killed by a criminal, who too wants the formula. Srivatsav becomes a ghost and with the help of a mechanic takes his revenge.",0,0.1607
Hands Up,09-02-2000,Telugu,Nagendra Babu,Jayasudha,Shashi Pritam,,6,0.2381
Manasunna Maraju,01-01-2000,Telugu,Dr. Rajasekhar,Laya,Vandemataram Srinivas,"A benevolent landlord helps an ambitious girl who aspires to become a doctor. While the two spend time with each other, they fall in love and get married.",0,0.2446
