Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Gang,14-04-2000,Hindi,Jackie Shroff,Juhi Chawla Mehta,Rahul Dev Burman,"After falling prey to underworld, four friends jeopardise their personal lives with point of no return.",5,0.4522
Kunwara,14-07-2000,Hindi,Govinda,Urmila Matondkar,,Raju meets Urmila in New Zealand. They have a fast romance and things are going well until Raju must make a trip back to India...,5.2,0.3426
Joru ka Ghulam,15-06-2000,Hindi,Govinda,Twinkle Khanna,,"Dhaneshwar Pitamber, has four daughters. All the four daughters are not ready to marry, each one having their own reason. The daughters always play mischievous tricks on the one coming with a proposal of marriage, and their gang leader is the youngest daughter Durga. Kader Khan is so desperate to get his daughters married that he is ready to give a dowry of five crores to each son-in-law. Raja and Kanahaiya are small time con men at the airport. Raju Patel is an NRI from America who comes to India to get married to one of the daughters of Dhaneshwar.",5.923,0.4547
Dil Pe Mat Le Yaar!!,29-09-2000,Hindi,Manoj Bajpayee,Tabu,Vishal Bhardwaj,"Takes a slightly different look at various layers of life in a city like Mumbai through the eyes of Ram Saran (Manoj Bajpai), a garage mechanic who hails from a small town. The film is also about his interaction with the different layers of society that is prevalent in the city.",0,0.3654
Jung,12-05-2000,Hindi,Sanjay Dutt,Raveena Tandon,Anu Malik,"The son of Police Inspector Veer Chauhan requires a near impossible to find bone-marrow transplant.  With time running out, Veer finds a viable candidate, a criminal he was responsible for apprehending.",4.1,0.4576
Gaja Gamini,01-12-2000,Hindi,Naseeruddin Shah,Madhuri Dixit,Bhupen Hazarika,"A mysterious and beautiful woman, in her various incarnations, inspires artists throughout the ages.",6.7,0.6355
Anjaane,01-01-2000,Hindi,Anupam Kher,Farida Jalal,,"Aditya and Shivani are a married couple who have spent the last few years living together. They share two beautiful children together and everything is going seemingly well until a new young lady introduces herself into Aditya's life. He is so head over heels in love with this new young lady that he decides to start a new life with her. Against his better judgment, Aditya leaves Shivani and his two children behind in order to pursue a new life with this lady. The two are very close until something from within their relationship causes a massive breakdown in communication.",0,0.4216
Dhaai Akshar Prem Ke,29-07-2000,Hindi,Abhishek Bachchan,Aishwarya Rai Bachchan,Jatin Pandit,"Karan Khanna is an orphan and a captain in the Rajputana Armed Forces. He's madly in love with beautiful model Nisha, with whom he plans to tie the knot during his next leave.",5.9,0.5047
Jungle,14-07-2000,Hindi,Fardeen Khan,Urmila Matondkar,Sandeep Chowta,A couple is kidnapped and held for ransom until one of the kidnappers' associates is released from custody.,6,0.4358
Baaghi,07-04-2000,Hindi,Sanjay Dutt,Manisha Koirala,,"Growing up in Mumbai, Surya is in awe of a powerful local gangster and helps out his gang. Soon, he enters into a life of crime where there is no turning back.",5,0.342
