Title,Release Date,Language,Vote Average,Popularity
Varushamellam Vasantham,03-05-2002,Tamil,0,0.932
Azhagi,14-01-2002,Tamil,6.2,0.4944
Kadhal Azhivathillai,04-11-2002,Tamil,5.2,0.534
Mounam Pesiyadhe,13-12-2002,Tamil,6.8,0.5171
Junior Senior,19-04-2002,Tamil,3.2,0.4472
Alli Arjuna,14-01-2002,Tamil,4,0.3907
Ramanaa,04-11-2002,Tamil,7.5,0.5291
Baba,15-08-2002,Tamil,6.4,0.5639
Youth,19-07-2002,Tamil,6,0.4025
Ezhumalai,21-06-2002,Tamil,6.2,0.3631
Panchatanthiram,28-06-2002,Tamil,7.1,0.4209
Bala,13-12-2002,Tamil,2,0.386
Run,09-05-2002,Tamil,6.8,0.4053
University,04-10-2002,Tamil,0,0.4041
Padai Veetu Amman,04-11-2002,Tamil,7,0.2549
Five Star,04-10-2002,Tamil,7.2,0.2535
Thenkasi Pattanam,21-06-2002,Tamil,5.5,0.222
Devan,14-06-2002,Tamil,6,0.2766
Villain,04-11-2002,Tamil,6.4,0.3757
Raja,05-07-2002,Tamil,4,0.288
Namma Veetu Kalyanam,27-09-2002,Tamil,0,0.2502
123,01-06-2002,Tamil,5.778,0.2171
Thamizhan,12-04-2002,Tamil,5.7,0.384
King,06-09-2002,Tamil,5.9,0.276
Red,05-05-2002,Tamil,5.063,0.2679
Bagavathi,04-11-2002,Tamil,5.441,0.3334
Samasthanam,27-09-2002,Tamil,5.2,0.255
Samurai,05-05-2002,Tamil,5.5,0.316
Pammal K. Sambandam,14-01-2002,Tamil,6.5,0.3878
Gemini,12-04-2002,Tamil,5.7,0.2539
Shree,19-07-2002,Tamil,6.5,0.2592
Ivan,14-07-2002,Tamil,0,0.2678
Dhaya,14-02-2002,Tamil,0,0.1504
Thulluvadho Ilamai,10-05-2002,Tamil,7,0.2846
Mutham,05-12-2002,Tamil,0,0.1846
Vivaramana Aalu,14-01-2002,Tamil,2,0.1669
Thamizh,14-04-2002,Tamil,6,0.1354
Kadhal Virus,26-12-2002,Tamil,0,0.1546
Virumbugiren,21-12-2002,Tamil,4,0.1537
Karmegam,02-08-2002,Tamil,0,0.2312
Solla Marandha Kadhai,04-11-2002,Tamil,0,0.137
Punnagai Desam,14-01-2002,Tamil,5.8,0.1786
April Maadhathil,29-11-2002,Tamil,4.6,0.1632
Sundhara Travels,06-09-2002,Tamil,4.5,0.1764
Naina,30-08-2002,Tamil,0,0.1754
Yey! Nee Romba Azhaga Irukke,13-07-2002,Tamil,8,0.1913
Unnai Ninaithu,10-05-2002,Tamil,6.3,0.1772
Shakalaka Baby,18-10-2002,Tamil,0,0.2161
Kamarasu,22-02-2002,Tamil,0,0.1074
Sri Bannari Amman,19-04-2002,Tamil,0,0.1361
Roja Koottam,22-02-2002,Tamil,4.6,0.236
Raajjiyam,14-04-2002,Tamil,5.5,0.136
Game,04-11-2002,Tamil,0,0.1395
Nanba Nanba,27-12-2002,Tamil,0,0.1059
The Call Home,01-01-2002,Tamil,0,0.0256
Anbe Sivam,14-01-2003,Tamil,7.6,1.1494
Boys,29-08-2003,Tamil,6.7,0.702
Puthiya Geethai,08-05-2003,Tamil,4.857,0.4953
Iyarkai,20-11-2003,Tamil,7.8,0.5901
Julie Ganapathi,01-02-2003,Tamil,7.5,0.4369
Priyamaana Thozhi,11-07-2003,Tamil,6.4,0.4179
Kadhal Konden,04-07-2003,Tamil,7.7,0.5266
Saamy,05-05-2003,Tamil,6.4,0.3209
Winner,27-09-2003,Tamil,5.1,0.3614
Enakku 20 Unakku 18,19-12-2003,Tamil,5.5,0.4372
Whistle,04-07-2003,Tamil,6.8,0.3608
Kaakha Kaakha,01-08-2003,Tamil,7.456,0.4458
Vaseegara,15-01-2003,Tamil,6,0.5436
Jay Jay,14-11-2003,Tamil,7.2,0.4569
Thirumalai,24-10-2003,Tamil,5.929,0.3594
Arasu,14-04-2003,Tamil,6,0.366
Thennavan,15-08-2003,Tamil,2.5,0.2588
Anjaneya,05-05-2003,Tamil,2.5,0.3274
Nala Damayanthi,03-07-2003,Tamil,7.5,0.3806
Jayam,03-03-2003,Tamil,6.6,0.2137
Aasai Aasaiyai,31-01-2003,Tamil,0,0.3453
Thiruda Thirudi,05-09-2003,Tamil,6.1,0.3017
Dhool,15-01-2003,Tamil,5.9,0.3208
Joot,19-12-2003,Tamil,0,0.2834
Dum,12-04-2003,Tamil,5,0.2518
Three Roses,27-09-2003,Tamil,2,0.1812
Naam,19-09-2003,Tamil,0,0.2432
Pithamagan,24-10-2003,Tamil,7.4,0.2475
Diwan,10-10-2003,Tamil,6,0.367
Anbe Anbe,01-05-2003,Tamil,6.5,0.2476
Thithikudhe,03-03-2003,Tamil,7.5,0.2363
Pallavan,28-02-2003,Tamil,0,0.2478
Nadhi Karaiyinile,28-11-2003,Tamil,0,0.2433
Alai,08-07-2003,Tamil,4.5,0.1646
Kadhal Kirukkan,25-12-2003,Tamil,7,0.1416
Paarai,14-06-2003,Tamil,7,0.1723
Ramachandra,15-01-2003,Tamil,0,0.2332
Parthibhan Kanavu,23-05-2003,Tamil,6.1,0.2007
Kurumbu,21-11-2003,Tamil,1,0.1718
Aalukkoru Aasai,12-09-2003,Tamil,0,0.1899
Parasuram,05-05-2003,Tamil,6,0.1781
Banda Paramasivam,14-04-2003,Tamil,0,0.1823
Yes Madam,21-02-2003,Tamil,7,0.1844
Ennai Thalatta Varuvala,03-03-2003,Tamil,0,0.2057
Kadhaludan,13-02-2003,Tamil,0,0.1809
Lesa Lesa,16-05-2003,Tamil,6.8,0.2612
Punnagai Poove,20-04-2003,Tamil,6,0.1861
Unnai Charanadaindhen,19-09-2003,Tamil,0,0.1243
Pop Carn,24-01-2003,Tamil,5,0.1244
Kadhal Sadugudu,13-04-2003,Tamil,6.1,0.1353
Sena,12-04-2003,Tamil,0,0.0995
Eera Nilam,08-08-2003,Tamil,0,0.1178
Galatta Ganapathi,26-09-2003,Tamil,0,0.1252
Kovilpatti Veeralakshmi,04-07-2003,Tamil,0,0.1279
All over the heart,20-03-2003,Tamil,0,0.0848
Indru,10-07-2003,Tamil,0,0.0698
Urumattram,01-01-2003,Tamil,0,0.0413
Ice,04-07-2003,Tamil,0,0.0377
Alaudin,15-08-2003,Tamil,5,0.0286
Anbu Thollai,14-02-2003,Tamil,0,0.0646
Ghilli,17-04-2004,Tamil,7.1,2.4239
Kamaraj,13-02-2004,Tamil,5,0.9076
7G Rainbow Colony,15-10-2004,Tamil,6.7,0.695
Autograph,20-02-2004,Tamil,7.5,0.4186
Vasool Raja MBBS,14-08-2004,Tamil,6.8,0.6269
Virumaandi,14-01-2004,Tamil,6.879,0.4097
Arasatchi,22-09-2004,Tamil,6,0.3061
Vishwa Thulasi,22-10-2004,Tamil,0,0.2587
Jana,05-01-2004,Tamil,4.4,0.44
New,16-07-2004,Tamil,7.5,0.3858
Madurey,29-08-2004,Tamil,4.733,0.3267
Perazhagan,16-04-2004,Tamil,6.059,0.3998
Bose,15-08-2004,Tamil,4.8,0.2357
M. Kumaran S/O Mahalakshmi,03-09-2004,Tamil,6.7,0.4012
Arul,07-05-2004,Tamil,6.5,0.3517
Aayitha Ezhuthu,21-05-2004,Tamil,7.1,0.3437
Aai,01-12-2004,Tamil,4.125,0.2927
Gambeeram,06-04-2004,Tamil,5,0.2045
Neranja Manasu,08-11-2004,Tamil,3.5,0.2749
Kovil,14-01-2004,Tamil,5.4,0.2947
Chatrapathy,03-02-2004,Tamil,5,0.2544
Jore,12-11-2004,Tamil,6,0.2252
Dreams,01-11-2004,Tamil,0,0.2638
Engal Anna,15-01-2004,Tamil,5.1,0.3027
Kuthu,14-04-2004,Tamil,5,0.2468
Azhagiya Theeye,30-07-2004,Tamil,8.5,0.1968
Chellamae,10-09-2004,Tamil,5.682,0.2542
Thendral,05-02-2004,Tamil,6,0.2736
Super Da,25-06-2004,Tamil,0,0.3359
Kannadi Pookal,14-07-2004,Tamil,0,0.2387
Kaadhal,17-12-2004,Tamil,6.9,0.235
Kudaikul Mazhai,03-09-2004,Tamil,6.2,0.1953
Udhaya,28-03-2004,Tamil,5.1,0.19
Shock,01-05-2004,Tamil,4,0.1586
Sullan,23-07-2004,Tamil,4.9,0.2575
Attagasam,12-11-2004,Tamil,5.5,0.1897
Giri,10-01-2004,Tamil,5.3,0.1656
Pudhukottaiyilirundhu Saravanan,14-01-2004,Tamil,4.8,0.1241
Maha Nadigan,03-12-2004,Tamil,0,0.2242
Gajendra,22-09-2004,Tamil,4,0.1748
Manathil,16-07-2004,Tamil,0,0.173
Birth,16-12-2004,Tamil,0,0.1234
Jai Surya,17-12-2004,Tamil,6,0.1478
Kangalal Kaidhu Sei,20-02-2004,Tamil,7.5,0.1712
Vaanam Vasappadum,16-04-2004,Tamil,0,0.1476
Aethiree,23-04-2004,Tamil,4.667,0.103
Manmadhan,12-11-2004,Tamil,5.9,0.1488
Adi Thadi,05-03-2004,Tamil,5,0.1353
Adhu,15-10-2004,Tamil,0,0.0669
Varnajalam,13-02-2004,Tamil,6.2,0.0629
Arivumani,10-08-2004,Tamil,0,0.0588
Sinthamal Sitharamal,14-04-2004,Tamil,0,0.0683
Oru Murai Sollividu,01-10-2004,Tamil,0,0.0214
Sandakozhi,16-12-2005,Tamil,6.8,0.8658
Anniyan,17-06-2005,Tamil,7.4,0.9496
Chandramukhi,14-04-2005,Tamil,6.9,0.8023
Sachein,14-04-2005,Tamil,6.4,0.5805
Aaru,09-12-2005,Tamil,5.976,0.5889
Ghajini,14-10-2005,Tamil,6.9,0.725
Ji,21-02-2005,Tamil,5.5,0.5266
Mazhai,30-08-2005,Tamil,5,0.3699
Mumbai Xpress,15-04-2005,Tamil,5.8,0.4493
ABCD,12-08-2005,Tamil,6.5,0.3383
Daas,02-12-2005,Tamil,4.3,0.506
Thirupaachi,14-01-2005,Tamil,5.868,0.3948
Kanda Naal Mudhal,20-11-2005,Tamil,4.7,0.3835
Maayavi,05-05-2005,Tamil,6.5,0.3049
Jithan,06-05-2005,Tamil,7.5,0.3208
Devathayai Kanden,14-01-2005,Tamil,5.7,0.3362
Aayudham,14-01-2005,Tamil,4,0.2731
Adhu Oru Kana Kaalam,02-11-2005,Tamil,5,0.3155
Navarasa,01-01-2005,Tamil,5.5,0.2504
Arinthum Ariyamalum,20-05-2005,Tamil,6.8,0.2926
Priyasakhi,14-04-2005,Tamil,3.4,0.2718
Oru Naal Oru Kanavu,26-08-2005,Tamil,3,0.363
Ah Aah: Anbe Aaruyire,15-08-2005,Tamil,6.8,0.3163
Oru Kalluriyin Kathai,02-09-2005,Tamil,3,0.2909
Sivakasi,01-11-2005,Tamil,5.556,0.2698
Kundakka Mandakka,05-10-2005,Tamil,2,0.2272
Ayya,14-01-2005,Tamil,5.429,0.4292
Majaa,02-11-2005,Tamil,5.3,0.3546
