Title,Release Date,Language,Hero,Heroine
Chennakesava Reddy,22-09-2002,Telugu,Nandamuri Balakrishna,Shriya Saran
Sreeram,21-06-2002,Telugu,Uday Kiran,Anita Hassanandani Reddy
Takkari Donga,12-01-2002,Telugu,Mahesh Babu,Lisa Ray
Nuvvu Leka Nenu Lenu,14-01-2002,Telugu,Tarun,Aarthi Agarwal
Seema Simham,10-01-2002,Telugu,Nandamuri Balakrishna,Simran
Avunu Valliddaru Ishtapaddaru!,02-08-2002,Telugu,Ravi Teja,Kaveri
Thotti Gang,06-12-2002,Telugu,Allari Naresh,Gajala
Kalusukovalani,08-02-2002,Telugu,Uday Kiran,Gajala
Sandade Sandadi,13-12-2002,Telugu,Jagapati Babu,Urvashi
Allari Ramudu,18-07-2002,Telugu,N.T. Rama Rao Jr.,Aarthi Agarwal
Aaduthu Paaduthu,04-04-2002,Telugu,Srikanth,Gayatri Jayaraman
Santosham,09-05-2002,Telugu,Nagarjuna Akkineni,Shriya Saran
Premaku Swagatam,18-01-2002,Telugu,J. D. Chakravarthi,Soundarya
Gemeni,11-10-2002,Telugu,Venkatesh,Namitha
Nee Thodu Kavali,28-03-2002,Telugu,Arjan Bajwa,Charmy Kaur
Trinetram,01-01-2002,Telugu,Shiju,Raasi
Dhanalaxmi I Love You,18-10-2002,Telugu,Allari Naresh,Ankitha
Manasunte Chalu,02-05-2002,Telugu,Brahmanandam,
Hrudayanjali,01-01-2002,Telugu,,Girija Shettar
O Chinadaana,25-01-2002,Telugu,Srikanth,Gajala
"The Rite, a Passion",01-01-2002,Telugu,Brahmaji,Annapoorna
Action No. 1,15-02-2002,Telugu,Raghu Babu,
Neethone Vuntanu,01-02-2002,Telugu,Upendra,Rachana Banerjee
Show,13-09-2002,Telugu,Surya Bhagawan Das,Manjula Ghattamaneni
Siva Rama Raju,01-11-2002,Telugu,Jagapati Babu,
Lahiri Lahiri Lahirilo,01-05-2002,Telugu,,
Mounamelanoye,25-04-2002,Telugu,,
Simhadri,09-07-2003,Telugu,N.T. Rama Rao Jr.,Bhumika Chawla
Okkadu,15-01-2003,Telugu,Mahesh Babu,Bhumika Chawla
Aithe,11-04-2003,Telugu,Shashank,
Gangotri,28-03-2003,Telugu,Allu Arjun,Aaditi Agarwal
Tagore,24-09-2003,Telugu,Chiranjeevi,Shriya Saran
Abhimanyu,17-06-2003,Telugu,,
Nijam,24-05-2003,Telugu,Mahesh Babu,Rakshita
Johnny,25-04-2003,Telugu,Pawan Kalyan,Renu Desai
Sambaram,31-07-2003,Telugu,Nithiin,Nikita Thukral
Ninne Ishtapaddanu,13-06-2003,Telugu,Tarun,Sridevi Vijayakumar
Naaga,10-01-2003,Telugu,N.T. Rama Rao Jr.,Sadha
Amma Nanna O Tamila Ammayi,19-04-2003,Telugu,Ravi Teja,Asin Thottumkal
Raghavendra,28-03-2003,Telugu,Prabhas,Shweta Agarwal
Seetayya,22-08-2003,Telugu,Mukesh Rishi,Simran
