Title,Release Date,Language,Vote Average,Popularity
Aamdani Atthanni Kharcha Rupaiya,21-12-2001,Hindi,4.976,0.353
Kyo Kii... Main Jhuth Nahin Bolta,21-09-2001,Hindi,4.9,0.3568
Zubeidaa,19-01-2001,Hindi,5.2,0.3302
Love Ke Liye Kuch Bhi Karega,21-06-2001,Hindi,5.7,0.3494
One 2 Ka 4,30-03-2001,Hindi,5.6,0.4472
Tera Mera Saath Rahen,07-11-2001,Hindi,4.3,0.2483
Pyaar Tune Kya Kiya,09-05-2001,Hindi,6,0.3048
Moksha: Salvation,30-11-2001,Hindi,5.9,0.3283
Lajja,19-09-2001,Hindi,7,0.448
Style,28-12-2001,Hindi,6.2,0.3028
Cover Story,19-08-2001,Hindi,5,0.2642
Tere Liye,14-12-2001,Hindi,6,0.3546
Kuch Khatti Kuch Meethi,19-01-2001,Hindi,6,0.2798
Shirdi Sai Baba,01-01-2001,Hindi,0,0.265
Bas Itna Sa Khwaab Hai,06-07-2001,Hindi,6,0.3565
Yeh Teraa Ghar Yeh Meraa Ghar,12-10-2001,Hindi,5,0.2074
Yeh Raaste Hain Pyaar Ke,10-08-2001,Hindi,4.5,0.2343
Aashiq,26-01-2001,Hindi,4.5,0.3683
Tum Bin,25-06-2001,Hindi,7.2,0.2848
Zahreela,05-03-2001,Hindi,5,0.1956
Pyaar Ishq Aur Mohabbat,03-08-2001,Hindi,4.9,0.1935
Officer,21-03-2001,Hindi,3.7,0.1853
Bhairav,26-01-2001,Hindi,0,0.1887
Pyaar Zindagi Hai,07-09-2001,Hindi,0,0.1963
Woh Kaun Thi,01-01-2001,Hindi,0,0.1448
Dil Ne Phir Yaad Kiya,07-09-2001,Hindi,6.5,0.1708
Aks,13-07-2001,Hindi,5.2,0.2171
Dattak,01-11-2001,Hindi,0,0.2059
Albela,19-04-2001,Hindi,3.3,0.2218
Grahan,16-02-2001,Hindi,0,0.2038
Chhupa Rustam: A Musical Thriller,23-03-2001,Hindi,4,0.1859
Prem Jaal,01-01-2001,Hindi,0,1.2057
Hum Ho Gaye Aap Ke,03-08-2001,Hindi,9,0.1702
Daman: A Victim of Marital Violence,04-05-2001,Hindi,3.7,0.1343
Paagalpan,08-06-2001,Hindi,0,0.1894
Daughters of This Century,14-03-2001,Hindi,0,0.1222
Kasam,12-10-2001,Hindi,0,0.1102
Ek Aur Jung,03-03-2001,Hindi,0,0.4073
Ehsaas: The Feeling,11-01-2001,Hindi,4,0.1687
Jagira,16-02-2001,Hindi,3.5,0.1166
Mitti,26-10-2001,Hindi,6,0.1444
Arjun Devaa,23-11-2001,Hindi,0,0.1116
Khatron Ke Khiladi,04-05-2001,Hindi,0,0.0988
Smita,30-12-2001,Hindi,0,0.1026
Maut Ki Haveli,09-11-2001,Hindi,0,0.1065
Rahul,23-03-2001,Hindi,3.5,0.0988
Dial 100,05-10-2001,Hindi,0,0.0913
Dafan,15-03-2001,Hindi,0,0.0885
Meri Pyaari Bahania Banegi Dulhania,31-08-2001,Hindi,10,0.0864
Kunwari Chudail,01-01-2001,Hindi,0,0.0932
Tahkhana,01-06-2001,Hindi,0,0.0697
Bub,01-12-2001,Hindi,0,0.0646
Qatil Haseeno Ka,02-04-2001,Hindi,0,0.0588
Maya,07-09-2001,Hindi,7,0.1184
Ittefaq,30-06-2001,Hindi,0,0.0585
Bhookha Sher,31-08-2001,Hindi,5,0.0831
Malkin,01-01-2001,Hindi,0,0.0338
Heroine No.1,01-01-2001,Hindi,0,0.0404
Main Hoon Qatil Jaadugarni,01-01-2001,Hindi,0,0.0368
Kaam Granth,01-01-2001,Hindi,0,0.0357
Bholi Bhali Ladki,11-06-2001,Hindi,0,0.0286
Bhayanak Bhootani,01-01-2001,Hindi,0,0.0214
Bengal tiger,08-06-2001,Hindi,10,0.0311
Ramgadh Ki Ramkali,01-01-2001,Hindi,0,0.0143
Devi Tere Roop Anek,01-01-2001,Hindi,0,0.0143
Aage Maut Peeche Maut,02-03-2001,Hindi,0,0.0071
Saugandh Geeta Ki,01-10-2001,Hindi,0,0
Jaydev,25-05-2001,Hindi,5,0.0071
Uljhan,04-05-2001,Hindi,8,0.0071
Mere Yaar Ki Shaadi Hai,07-06-2002,Hindi,5.8,2.8182
Sur: The Melody of Life,13-09-2002,Hindi,5.5,0.9139
Agni Varsha,30-08-2002,Hindi,3.3,0.901
Devdas,11-07-2002,Hindi,7.5,1.7815
Mujhse Dosti Karoge!,08-08-2002,Hindi,6.2,1.2375
Waah! Tera Kya Kehna,01-11-2002,Hindi,6,1.4514
Company,15-04-2002,Hindi,6.8,0.4731
Shakti: The Power,20-09-2002,Hindi,6.4,0.6602
Hum Kisi Se Kum Nahin,31-05-2002,Hindi,5.8,0.5532
Rishtey,18-08-2002,Hindi,5.8,0.6649
Kaante,20-12-2002,Hindi,5.4,0.4622
Saathiya,20-12-2002,Hindi,6,0.5703
Aap Mujhe Achche Lagne Lage,19-04-2002,Hindi,5.1,0.5377
Ek Chhotisi Love Story,06-09-2002,Hindi,4.6,0.4515
Kuch Tum Kaho Kuch Hum Kahein,28-06-2002,Hindi,6.9,0.3498
Tumko Na Bhool Paayenge,24-02-2002,Hindi,5.9,0.6271
Dil Hai Tumhaara,05-09-2002,Hindi,5.7,0.4665
Awara Paagal Deewana,21-06-2002,Hindi,5.5,0.5489
Yeh Dil Aashiqanaa,18-01-2002,Hindi,5.8,0.3712
Maine Dil Tujhko Diya,23-08-2002,Hindi,5.5,0.3867
The Legend of Bhagat Singh,07-06-2002,Hindi,7,0.5038
Makdee,22-11-2002,Hindi,6.6,0.3779
Kranti,27-03-2002,Hindi,7,0.2877
Om Jai Jagadish,08-07-2002,Hindi,5,0.2555
Aankhen,27-03-2002,Hindi,6.4,0.3392
Pitaah,04-01-2002,Hindi,6.4,0.3403
Kali Salwar,01-02-2002,Hindi,5.7,0.2223
Raaz,01-02-2002,Hindi,5.8,0.349
Chor Machaaye Shor,23-08-2002,Hindi,3.7,0.3522
Chalo Ishq Ladaaye,07-11-2002,Hindi,4.2,0.3088
Kitne Door Kitne Paas,01-05-2002,Hindi,5.3,0.4199
Vadh,29-03-2002,Hindi,7.7,0.2258
Dil Vil Pyar Vyar,18-10-2002,Hindi,5.3,0.3784
